vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(60.0, 60.0, 40.0, 0.0, 0.0, 0.0, 0.0)",140,38,,"W001856,W001873,W001879,W001882,W001883,W001884,W001890,W001891",Bushmills NAS | Glendalough 12yo | Gooderham & Worts 10yo
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",72,71,exact,"W002049,W002091,W002185,W002395,W002453,W002713,W002714,W002715","Bardstown Bourbon Co. Fusion Series Kentucky Straight (no. 2) | Grace O’Malley, 40%, $37 Satsuma Peel, Mandarin Segments, Butter Biscuits, Dry Oak, Bookbindings, And Hints Of Baking Spices On The Nose. Warm Orange Sweet Vanilla, Creamy Pudding, Sherbet, And A Mellow Pepperiness On The Palate, But As The Citrus Theme Swells, A Taste Of Grapefruit Bitterness Washes Over It, Making For A Sharp Bitter FInish. With Its | Blade And Bow 22 Year Old"
"(60.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0)",48,43,,"W003562,W003565,W003587,W003593,W003595,W003604,W003611,W003613",Aberlour 16 Double Cask | Amrut Indian Cask Strength | Balblair 15
"(10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0)",46,9,,"W001097,W3408,W3444,W3548,W3548,W001570,W3393,W3429",Ardbeg 21yo | Indri | Mccormick
"(0.0, 0.0, 0.0, 0.7, 0.75, 0.35, 0.0)",45,28,p4_source_only_retry_ready,"W000352,W000265,W000001,W001109,W001095,W000370,W001214,W000281",Aberlour 12yo Double Cask Matured | Aberlour 16yo Double Cask Matured | Aberlour A'Bunadh
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",31,22,,"W001786,W001345,W001701,W001337,W000453,W001198,W3378,W3434",Balcones Baby Blue | Grant's Family Reserve Blended | Old Weller Antique 107
"(0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0)",28,3,,"W003893,W3359,W3318,W3318,W3318,W3318,W3318,W3318",Ballechin 10 YO Heavily Peated | E.H. Taylor | Black Velvet
"(0.0, 50.0, 50.0, 75.0, 100.0, 75.0, 0.0)",22,0,,"W3299,W3299,W3299,W3299,W3299,W3299,W3299,W3299",Alberta | Alberta | Alberta
"(0.0, 1.0, 0.095, 0.095, 0.0, 0.0, 0.0)",20,3,,"W000001,W000001,W000001,W000001,W000001,W000001,W000001,W000001",Aberlour A'Bunadh | Aberlour A'Bunadh | Aberlour A'Bunadh
"(0.0, 7.0, 100.0, 35.0, 7.0, 14.0, 0.0)",20,0,,"W3406,W3406,W3406,W3406,W3406,W3406,W3406,W3406",Hyde | Hyde | Hyde
"(0.5, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0)",19,7,,"W000422,W000443,W000477,W000492,W000520,W001916,W001918,W001920",macallan edition no. 6 | macallan edition no. 2 | macallan edition no. 1
"(100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",18,0,,"W001561,W001561,W001561,W001561,W3521,W3521,W3521,W3521",Alberta Premium | Alberta Premium | Alberta Premium
"(0.0, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",15,15,exact,"W002041,W002113,W002118,W002175,W002343,W002437,W002521,W002583",Doc Swinson’s 15 Year Old Exploratory Cask Series Kentucky Straight (barrel No. 18) | Doc Swinson’s Alter Ego Solera Method Rum Cask Finished Rye | Two Stacks Single Pot Still Cabernet Franc Ice Wine Finish
"(0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 20.0)",15,0,,"W3335,W3335,W3335,W3335,W3335,W3335,W3335,W3335",Canadian Club | Canadian Club | Canadian Club
"(0.0, 0.25, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11,11,exact,"W002171,W002201,W002344,W002516,W002867,W002879,W002921,W002966",Old Forester Birthday | Jack Daniel’s Bottled In Bond | Kooper Family Whiskey Sweetheart Of The Rodeo Straight
"(0.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10,9,exact,"W000875,W001290,W002182,W002534,W002540,W002547,W002709,W003020",Cardhu 12yo | Buchanan's Master Blended | Milam & Greene Unabridged Volume 2
"(0.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10,10,exact,"W002039,W002124,W002183,W002345,W002484,W002843,W002904,W002936",Sam Houston 14 Year Old Kentucky Straight (batch mkt-1) | Blackadder Black Snake Vat No. 2 Sixth Venom | Four Roses Limited Edition Small Batch 135th Anniversary (2023)
"(0.0, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10,10,exact,"W002055,W002200,W002291,W002303,W002633,W002635,W002901,W002987","Daviess County French Oak Cask-finished | Basil Hayden Malted | Gordon & Macphail 125th Anniversary 1975 (glencraig, Distilled At Glenburgie; Cask No. 9686)"
"(0.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10,10,exact,"W002107,W002120,W002127,W002229,W002595,W002664,W002849,W002896",Puni Gold | Glencadam 18 Year Old | Benromach Contrasts: Air Dried Oak
"(0.0, 0.0, 0.0, 0.5, 0.6, 0.0, 0.0)",9,8,p4_manual_axis_user_approved,"W001095,W000033,W000459,W000449,W000136,W000455,W000671,W000126",Ardbeg Uigeadail | Highland Park 40yo | Glenmorangie Astar
"(0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,9,exact,"W001993,W002019,W002087,W002214,W002263,W002690,W003076,W003286",Compass Box Rogues’ Banquet | Glenmorangie Grand Vintage Malt 1996 | J.J. Corry The Hanson
