whisky_id,name,match_method,enrichment_version,source_count,evidence_count,superseded_by
W000796,Few Single Malt,,1,1,1,
W001495,Crown Royal Xo,,1,1,1,
W001495,Crown Royal Xo,,1,1,1,
W001535,Canadian Club 100% Rye,,1,1,1,
W001535,Canadian Club 100% Rye,,1,1,1,
W001535,Canadian Club 100% Rye,,1,1,1,
W001570,Jim Beam Rye,,1,1,1,
W003633,Canadian Club Classic 12,,1,1,1,
W003633,Canadian Club Classic 12,,1,1,1,
W003722,Glenmorangie X,,1,1,1,
W3318,Black Velvet,,1,1,1,
W3358,DYC,,1,1,1,
W3358,DYC,,1,1,1,
W3367,"English, The",,1,1,1,
W3393,Heaven Hill,,1,1,1,
W3393,Heaven Hill,,1,1,1,
W3393,Heaven Hill,,1,1,1,
W3406,Hyde,,1,1,1,
W3406,Hyde,,1,1,1,
W3406,Hyde,,1,1,1,
W3408,Indri,,1,1,1,
W3408,Indri,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3415,Jim Beam,,1,1,1,
W3428,Kyro,,1,1,1,
W3428,Kyro,,1,1,1,
W3428,Kyro,,1,1,1,
W3429,"Lakes, The",,1,1,1,
W3443,McConnell's,,1,1,1,
W3444,Mccormick,,1,1,1,
W3456,Nikka,,1,1,1,
W3456,Nikka,,1,1,1,
W3479,Puni,,1,1,1,
W3485,Rebel,,1,1,1,
W3486,Red Bank,,1,1,1,
W3486,Red Bank,,1,1,1,
W3494,Santis,,1,1,1,
W3548,Wild Turkey,,1,1,1,
W3548,Wild Turkey,,1,1,1,
W3557,1792,,1,1,1,
W3557,1792,,1,1,1,
