dedupe_hash,whisky_name_raw,source_score,rating_points,review_year,matched_whisky_id,matched_whisky_name,name_match_score,conflict_flags,decision,decision_reason,internal_source_url,internal_audit_only
fba7d2300f061bc013698ddb,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
6123986a07ee63cbd997ec7e,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
3e9e9a9b229f95a046cdbb41,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
ca71a2109f8a9ab46aed08ec,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
486e349dadda8706d4f3356f,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
40aa9152f147eedc99aff335,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
06b0e7aa45c5cb201817961a,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
d67916377bd4df2425a10348,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
82bc248d8d78d562cf835dc5,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,,,,W000145,aberlour 12yo non-chill-filtered,57.14,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
048d071963970fed38c0cc73,Aberfeldy 18-year-old,,,,W000282,aberfeldy 18yo,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
9b2aceb90de9255b90d0992d,Aberfeldy 18-year-old,,,,W000282,aberfeldy 18yo,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
65233025fa075aa13b16f07c,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
14e77b3266cdfcfd81d5bae5,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
2103e6c4e7200bfaa8938886,Aberfeldy 21-year-old  Limited Release,,,2014,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
83b8a39935d3927199359a8c,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
28a8dc5d58b6182a4fa5e561,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
2d3f10076854d6c1061782ed,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
68117b820467e61284f91b30,Aberfeldy 21-year-old  Limited Release,,,,W001244,jameson 18yo limited reserve,65.52,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
579175797a988757b7e02d8b,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
d3321032ae7d4e7e13227e0c,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
50903ef8bd9266e5f17bf844,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
d59bf75b40bc2178db1ba8f5,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
dae544f8805a932097ebe02f,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
1286dea3137f05dee20f6a23,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
5ddc2b932ecb78c4ebad3e68,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
c406d0c0d4bb6bb9f2eafa95,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
79a3bc2f37308c22420a0575,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
b27fb5cffefd4d7ba740b192,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
595c3ed3e5eef267c013f9e8,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
374b7e4357bc588977316dcc,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
dfc0de57db08a9f45af6500b,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
1eba7326ea6a0a0a6910014d,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
bf39ed7d9da6f763ad033bbd,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
fc5b427ecca8419da64dc6a7,Aberlour 12-year-old  Double Cask Matured,,,,W000352,aberlour 12yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
644b53390407c6f438728388,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
43649852d557ebc02e5774dd,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
71e9289a6b8b65d31f31f04a,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
aaba1741742dce558ed33458,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
54bd465507982fc5bfb50d26,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
c2a48675dfc8c9a0c9fd3bae,Aberlour 14-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,96.97,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
2d0222a3b5b6421c217d482c,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
fd084b71fa5534052538d810,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
086a088550c553066f1af41b,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
4f29122062e8a0a5ee54c7e6,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
2e97b910d227858939960c00,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
c03332cfc25bc54e480e2beb,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
3e50f6131e6c1673428fc7af,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
770bd56d10dc4f1768239f34,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
be86abb70fb2b5f8156f5fa4,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
cbca8254436594f272511391,Aberlour 16-year-old  Double Cask Matured,,,,W000265,aberlour 16yo double cask matured,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
c0cd16d55d35777ccfe36909,Aberlour 18-year-old,,,,W000195,aberlour 18yo,100.0,,KEEP_PRODUCT_FEATURE,score_gte_94_no_conflict,,true
248bf7f482403effb34fbe0b,Aberlour Triple Cask,,,,W000265,aberlour 16yo double cask matured,64.15,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
5b78c52ead22a6c1a811ee8f,Aberlour Triple Cask,,,,W000265,aberlour 16yo double cask matured,64.15,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
609452ef5e74a0783e674808,Aberlour Triple Cask,,,,W000265,aberlour 16yo double cask matured,64.15,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
3d542192c58c871507dda9e5,Aberlour Triple Cask,,,,W000265,aberlour 16yo double cask matured,64.15,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
e0756fc3301ca737f74ac567,Allt-a-Bhainne Single Malt Scotch Whisky,,,,W000799,kavalan single malt whisky,72.73,,REJECT_LOW_CONFIDENCE,score_lt_86,,true
