script_name,action
discover_real_web_tasting_note_sources.py,archived_frozen
fetch_web_tasting_note_snapshots.py,archived_frozen
extract_tasting_notes_from_seed_candidates.py,archived_frozen
validate_tasting_note_extraction_preview.py,archived_frozen
seed_existing_real_tasting_note_sources.py,archived_frozen
recover_scotchgit_text_snapshots.py,archived_frozen
dryrun_apply_staging_tasting_notes.py,archived_frozen
apply_staging_tasting_notes.py,preserved_active
url_safety.py,preserved_active
plan_tasting_note_acquisition_strategy.py,preserved_active
qa_real_web_staging_tasting_notes.py,preserved_active
purge_invalid_web_staging_tasting_notes.py,preserved_active
