path,exists,modified_time,row_count,expected_lineage,stale_or_current
data/output/web_tasting_note_real_source_candidates.csv,True,2026-06-21T16:10:43.771675,22,12P-REAL,CURRENT
data/output/web_tasting_note_snapshots.csv,False,N/A,0,12P-REAL,N/A
data/output/web_tasting_note_snapshots_index.csv,True,2026-06-21T16:11:24.944531,22,12P-REAL,CURRENT
data/output/web_tasting_note_extraction_preview.csv,True,2026-06-21T16:11:34.452847,2,12P-REAL,CURRENT
data/output/web_tasting_note_staging_preview.csv,True,2026-06-21T16:14:52.279590,2,12P-REAL,CURRENT
data/output/real_web_tasting_note_source_candidates.csv,False,N/A,0,12P-REAL,N/A
data/output/real_web_tasting_note_snapshots.csv,False,N/A,0,12P-REAL,N/A
data/output/real_web_tasting_note_extraction_preview.csv,False,N/A,0,12P-REAL,N/A
data/output/real_web_tasting_note_staging_candidates.csv,True,2026-06-21T16:14:52.280094,2,12P-REAL,CURRENT
data/output/real_web_tasting_note_rejected.csv,False,N/A,0,12P-REAL,N/A
data/output/real_web_tasting_note_manual_review.csv,False,N/A,0,12P-REAL,N/A
output/reports/269_real_web_tasting_note_pipeline_report.md,True,2026-06-21T16:14:52.355876,0,12P-REAL,CURRENT
output/reports/270_12p_real_web_tasting_note_pipeline_gate.txt,True,2026-06-21T16:14:52.355876,0,12P-REAL,CURRENT
