whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,extraction_status,match_score,mismatch_flags,nose_notes,palate_notes,finish_notes,aroma_tags,extracted_profile_vector,recommended_action,production_ready
W000978,port ellen douglas laing mcgibbon's provenance john milroy 23yo (all editions),https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-(all-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000978_0.html,,,extracted,95,,,,,,,manual_review,false
W000944,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1982-2005,https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-1982-2005-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000944_2.html,,,extracted,95,,,,,,,manual_review,false
W001029,port ellen douglas laing mcgibbon's provenance john milroy 23yo 1978-2001,https://www.whiskynotes.be/search/port-ellen-douglas-laing-mcgibbon's-provenance-john-milroy-23yo-1978-2001-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001029_3.html,,,extracted,95,,,,,,,manual_review,false
W000713,mackinlay's shackleton rare old highland malt (both limited editions),https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-(both-limited-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000713_4.html,,,extracted,90,,,,,,,manual_review,false
W001720,"buffalo trace experimental collection 12yo floor #1 (wheat, 2015)","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#1-(wheat,-2015)-tasting-notes-review",whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001720_5.html,,,extracted,95,,,,,,,manual_review,false
W000968,bruichladdich port charlotte 10yo heavily peated (second edition),https://www.whiskynotes.be/search/bruichladdich-port-charlotte-10yo-heavily-peated-(second-edition)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000968_6.html,,,extracted,95,,,,,,,manual_review,false
W000983,bruichladdich port charlotte 10yo heavily peated (first edition),https://www.whiskynotes.be/search/bruichladdich-port-charlotte-10yo-heavily-peated-(first-edition)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000983_7.html,,,extracted,95,,,,,,,manual_review,false
W001617,"buffalo trace experimental collection 12yo floor #5 (rye, 2014)","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#5-(rye,-2014)-tasting-notes-review",whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001617_8.html,,,extracted,95,,,,,,,manual_review,false
W001737,"buffalo trace experimental collection 12yo floor #1 (rye, 2014)","https://www.whiskynotes.be/search/buffalo-trace-experimental-collection-12yo-floor-#1-(rye,-2014)-tasting-notes-review",whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001737_9.html,,,extracted,95,,,,,,,manual_review,false
W000696,mackinlay's shackleton rare old highland malt discovery edition,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-discovery-edition-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000696_10.html,,,extracted,90,,,,,,,manual_review,false
