dedupe_hash,whisky_name_raw,distillery,source_score,review_year,review_date,identity_status,match_source,matched_whisky_id,matched_whisky_name,matched_distillery,name_match_score,distillery_match,conflict_flags,decision,decision_reason,internal_audit_only,internal_source_url
19ce63bd5e0756d1993c76f7140e63b7714335ccfd2da68e842a83c37c98cd00,"Cragganmore 18 yo 1993/2011 (55.3%, Duncan Taylor, Rare Auld, cask #1385, 494 bottles)",Cragganmore,88,2012,2012-01-11,explicit_distillery,index,W000489,cragganmore nas (special release 2016),,84.6,False,"vintage_mismatch,release_mismatch,low_name_score",REJECT_CONFLICT,"vintage_mismatch,release_mismatch",True,https://www.whiskyfun.com/archivejanuary12-1.html
5533ab4dda8383744a383281070dbca55ac8f61de5250ad44be79241bc8bec64,"Tomatin 35 yo 1976/2011 (51.4%, The Whisky Agency, refill sherry, 313 bottles )",Tomatin,91,2012,2012-01-11,explicit_distillery,index,W000106,tomatin 40yo,,73.7,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
ee332d45b6b7b65c3fd3e9563b6e6c9b1d38d2f0cc1490be5da653fb7be1cc61,"Glenrothes 42 yo 1969/2011 (44.7%, Duncan Taylor for Men O'Quaich, octave, cask #49884, 65 bottles)",Glenrothes,91,2012,2012-01-11,explicit_distillery,index,W000136,glenrothes 25yo,,80.0,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
89dd39f0ce9d921086d8a51568231fa9d9b6bdde0284930ec5f568b27b3d9ec0,"Imperial 20 yo 1991/2011 (46%, Part des Anges, bourbon barrel, 270 bottles)",Imperial,89,2012,2012-01-10,explicit_distillery,index,W001207,smogen single cask 4yo 20/2011,,48.1,False,"age_mismatch,vintage_mismatch,low_name_score",REJECT_CONFLICT,"age_mismatch,vintage_mismatch",True,https://www.whiskyfun.com/archivejanuary12-1.html
ceb091436e1bac1b2ed946374f6f2e984c3bd757e4a3cec9e757c77205fa4edd,"Glen Elgin 16 yo 1995/2011 (50%, Liquid Treasures, bourbon)",Glen Elgin,79,2012,2012-01-10,explicit_distillery,index,W000588,glen elgin 12yo,,80.0,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
f1d32eb03b1bc0bd17a3c820bd3e92c34d184a388b51ffdc7ec552fa32229b70,"Glen Grant 19 yo 1992/2011 (59.4%, James MacArhur, Old Masters, bourbon, cask #35955)",Glen Grant,85,2012,2012-01-10,explicit_distillery,index,W000017,glen grant 10yo,Glen Grant,80.0,True,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
8c80b46d7ceb282c809eee554a253e4c1ce1e858390f5f1c47e5f61af336ac16,"Glen Moray 17 yo 1994/2011 (55%, Duncan Taylor, Rare Auld, cask #1877, 303 bottles)",Glen Moray,78,2012,2012-01-10,explicit_distillery,index,W000383,glen moray 16yo,,80.0,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
986d248609017a48ce0edf512d0d6326801e626f393c28108c47b42490c0954c,"Cragganmore 20 yo 1991/2011 (53.5% Master of Malt, cask #1146)",Cragganmore,84,2012,2012-01-10,explicit_distillery,index,W000489,cragganmore nas (special release 2016),,84.6,False,"vintage_mismatch,release_mismatch,low_name_score",REJECT_CONFLICT,"vintage_mismatch,release_mismatch",True,https://www.whiskyfun.com/archivejanuary12-1.html
eb0d06a752886a8172dede37549e0c46a06deffc1878f91fa7d7e16a85065f49,"Clynelish 11 yo 1998/2010 (46%, Hart Bros)",Clynelish,74,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
96ae9c658dfb7e78180370095a2f123fda88697ba6b49d90ff297a8f2db7ae2c,"Clynelish 15 yo 1995/2011 (46%, Aberdeen Distillers, cask #ABD 1007, 224 bottles)",Clynelish,85,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
6aab93b1610217195965b5404da6e12052b2d7909ddf53bb4eac02ff1d756a4e,"Clynelish 13 yo 1998/2011 (48.8%, The Whisky Agency, House Malt, bourbon, 267 bottlest)",Clynelish,86,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
8e481b45679e5bd8a05580b653527f3767123c32b14ee968e0241ea66242623a,"Clynelish 11 yo 1995 (52.5%, The Maltman, +/-2006)",Clynelish,80,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
1f6f4eee03d78904ce13224764af5163cdf2e78b6885d85377a411bfd364325f,"Clynelish 13 yo 1997/2010 (52.1%, James MacArthur, Old Masters, bourbon, cask #4643)",Clynelish,86,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
0ff80619f7a0de5e374cdde1c356aa69a8a0a47b20625d2008d2c118045c93e8,"Clynelish 22 yo 1989/2011 (50.9%, The Whisky Agency, bourbon, 267 bottles)",Clynelish,91,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-1.html
bf6db237fb0e3451b78b477de54a35a91e3839d17834e7ae22c5a52eb20fe915,"Caol Ila 20 yo 1991/2011 (53.4%, Cadenhead, bourbon hogshead, 276 bottles)",Caol Ila,89,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
1b3010c84562649b9dc7cbd76e9de8813a14d220ea065bf767cfa0e78a82283a,"Caol Ila 28 yo 1983/2011 (51.7%, Duncan Taylor, The Octave, cask #400926, 70 bottles)",Caol Ila,85,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
9bc6fa0ab3fa27e1f1da7e66da13ea94d1e66ebe26f92bd551e30402229d59ca,"Caol Ila 27 yo 1983/2011 (46%, Mo Or Collection, bourbon hogshead, cask #4824, 400 bottles)",Caol Ila,90,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
17de53c240172c8c889bfb40a4b5ad131cdb558539db594bcd43e00605c9df58,"Caol Ila 27 yo 1984/2011 (53.5%, The Whisky Agency, Private Stock, bourbon, 66 bottles)",Caol Ila,89,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
117f0f1fdbddbbf91a8a2d02531f62c42291cd905023d835a92f27d1d2912f76,"Glen Moray 12 yo 1989/2001 (46%, Signatory, sherry butt, cask #4674, 780 bottles)",Glen Moray,59,2012,2012-01-30,name_matched,name,W000383,glen moray 16yo,,80.0,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
12df8e075346a0f03a35ef7c6cdb42fa4a3ed6dbbf75a45ee98387f626e60ba5,"Glen Moray 20 yo 1991/2012 (54.8%, Duncan Taylor, Dimensions, cask #9408)",Glen Moray,83,2012,2012-01-30,name_matched,name,W000383,glen moray 16yo,,80.0,False,"age_mismatch,low_name_score",REJECT_CONFLICT,age_mismatch,True,https://www.whiskyfun.com/archivejanuary12-2.html
91fea2dba550cc0f79f288c21361d425bc1c27e0abd33a2ce70d5e7656de0881,"Br2 (49.3%, Specialty Drinks, Elements of Islay, 2011)",Bruichladdich,87,2012,2012-01-13,undisclosed_but_indexed,index,W000831,wolfburn (nas),,36.4,False,low_name_score,REJECT_LOW_CONFIDENCE,identity_status undisclosed_but_indexed,True,https://www.whiskyfun.com/archivejanuary12-1.html
e3b47d53fc8599ef6182a4281bfc5614d786651a0a28db72d3b7eed04c74200b,"Bruichladdich 2001/2011 (62.5%, Queen of the Moorlands, sherry hogshead, cask #312, 200 bottles)",Bruichladdich,89,2012,2012-01-13,name_matched,name,W000346,bruichladdich rocks,,81.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 81.2,True,https://www.whiskyfun.com/archivejanuary12-1.html
1e5ea1919ec6e13b17868e03fd738805a5f9ca44e64cf9944450a06ca63ce0d3,"Clynelish 2003/2009 (46%, Càrn Mor, Scottish Liqueur Centre, cask #2223, 20cl)",Clynelish,65,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 78.3,True,https://www.whiskyfun.com/archivejanuary12-1.html
9486441d3a0924df37e2977259dd1a250944ecbbc296ba9be3ae54f0880686c1,"Clynelish 1997/2011 (53.9%, Archives)",Clynelish,87,2012,2012-01-09,name_matched,name,W000496,clynelish 14yo,,78.3,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 78.3,True,https://www.whiskyfun.com/archivejanuary12-1.html
7ee25ba11f7f7a4bd05ff3fadbd129cee79b436026ec40b612cee952be6baa43,"Caol Ila 12yo (43%, OB, +/- 2011)",Caol Ila,84,2012,2012-01-31,name_matched,name,W000995,caol ila 12yo,,100.0,False,,REJECT_LOW_CONFIDENCE,name_match_score 100.0,True,https://www.whiskyfun.com/archivejanuary12-2.html
c0d9da7d6277812ccc4a697629cfaca73698cb1274c321e4d578b2a2d735a002,"Caol Ila 1998/2011 (43% Gordon & MacPhail, Connoisseur's Choice, first fill sherry)",Caol Ila,80,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 76.2,True,https://www.whiskyfun.com/archivejanuary12-2.html
f49e2e286aff862938934c745e364fc38399a9fe097a79a40e0bf74362fb4889,"Caol Ila 2000/2011 (58.7%, Gordon & MacPhail for Scoma, 1st fill sherry hogshead, cask #30981, 296 bottles)",Caol Ila,90,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 76.2,True,https://www.whiskyfun.com/archivejanuary12-2.html
93433c8c87012b34d9643761c0fa9128e1961d3e4a2ea74ca5dc9b9a5f1322a1,"Caol Ila 2000/2011 (59.1%, Archives, Inaugural Collection, barrel, cask #3309899, 220 bottles)",Caol Ila,87,2012,2012-01-31,name_matched,name,W000909,caol ila 35yo,,76.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 76.2,True,https://www.whiskyfun.com/archivejanuary12-2.html
f05c4c1cb07214df834c222817355142798e39ed6b9245b0f8b83540d8151ce8,"Miltonduff 10 yo 1989/2000 (43%, Hart Bros)",Miltonduff,76,2012,2012-01-27,name_matched,name,W000663,miltonduff 10yo (f&f),,80.0,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 80.0,True,https://www.whiskyfun.com/archivejanuary12-2.html
492d1a46412a9d927c4bbae1ea7e62507a2cf5ef51dc0bc4651713baef2b390b,"Caol Ila 1982/2008 (61.2%, Scott's Selection)",Caol Ila,86,2012,2012-01-23,name_matched,name,W000909,caol ila 35yo,,76.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 76.2,True,https://www.whiskyfun.com/archivejanuary12-2.html
8e52ebe3b35602d2fd1dab4ed18f49467f5a2d0ce1ceda7ee82d3a81fb560604,"Caol Ila 2000/2011 (55.3%, Single Cask Collection, Willi Opitz Homok finish, bourbon)",Caol Ila,90,2012,2012-01-23,name_matched,name,W000909,caol ila 35yo,,76.2,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 76.2,True,https://www.whiskyfun.com/archivejanuary12-2.html
4798afaed6b7e20524075c050faf43f3d7c2f4fb3fc0c2b0a381ae1f998c5714,"St Magdalene 1975/1987 (64.6%, Scotch Malt Whisky Society, #49.1, 75cl, screw cap)",St-Magdalene,86,2012,2012-01-18,name_matched,name,W000108,balvenie tun 1509 (all batches),,56.4,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 56.4,True,https://www.whiskyfun.com/archivejanuary12-2.html
59e3c607d7aeb28bf15793bd1ca472f10baf810907a9f7839b11729b62ff3022,"Glendronach 1971/1990 (43%, Moon Import, The Birds, sherry, 600 bottles)",Glendronach,91,2012,2012-02-13,name_matched,name,W001027,glendronach peated,,75.9,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 75.9,True,https://www.whiskyfun.com/archivefebruary12-1.html
e63973d7475a3f4e704fc9a0b2b3f17e7e8e3a19d5df49de50d796efcda68c2f,"Glendronach 18 yo 1970 (43%, The Prestonfield, Highlander, casks #542-558, +/-1988)",Glendronach,89,2012,2012-02-13,name_matched,name,W001027,glendronach peated,,75.9,False,low_name_score,REJECT_LOW_CONFIDENCE,name_match_score 75.9,True,https://www.whiskyfun.com/archivefebruary12-1.html
