metric,value
total_rows,11149
reject_conflict_rows,6516
reject_low_confidence_rows,2295
review_upgrade_candidates_score_ge_94,430
distillery_upgrade_candidates_score_ge_90,0
decision:REJECT_CONFLICT,6516
decision:REJECT_LOW_CONFIDENCE,2295
decision:REVIEW_PRODUCT_FEATURE,1497
decision:KEEP_DISTILLERY_FEATURE_ONLY,664
decision:KEEP_PRODUCT_FEATURE,177
conflict_flag:low_name_score,5889
conflict_flag:age_mismatch,5371
conflict_flag:vintage_mismatch,1416
conflict_flag:release_mismatch,630
conflict_flag:distillery_mismatch,111
conflict_flag:bottler_mismatch,63
conflict_flag:cask_mismatch,55
conflict_combo:age_mismatch|low_name_score,4351
conflict_combo:age_mismatch|low_name_score|vintage_mismatch,492
conflict_combo:age_mismatch,436
conflict_combo:low_name_score|release_mismatch|vintage_mismatch,410
conflict_combo:low_name_score|vintage_mismatch,378
conflict_combo:release_mismatch,132
conflict_combo:distillery_mismatch|low_name_score,71
conflict_combo:low_name_score|release_mismatch,48
conflict_combo:vintage_mismatch,48
conflict_combo:age_mismatch|bottler_mismatch|low_name_score,28
conflict_combo:age_mismatch|bottler_mismatch|low_name_score|vintage_mismatch,18
conflict_combo:age_mismatch|cask_mismatch|low_name_score|vintage_mismatch,16
conflict_combo:distillery_mismatch|low_name_score|vintage_mismatch,10
conflict_combo:age_mismatch|cask_mismatch|distillery_mismatch|low_name_score|release_mismatch|vintage_mismatch,9
conflict_combo:cask_mismatch|low_name_score,8
conflict_combo:distillery_mismatch|low_name_score|release_mismatch|vintage_mismatch,7
conflict_combo:bottler_mismatch|low_name_score|release_mismatch,6
conflict_combo:bottler_mismatch|low_name_score|release_mismatch|vintage_mismatch,6
conflict_combo:cask_mismatch|low_name_score|vintage_mismatch,6
conflict_combo:age_mismatch|cask_mismatch|low_name_score|release_mismatch|vintage_mismatch,5
conflict_combo:age_mismatch|vintage_mismatch,4
conflict_combo:distillery_mismatch,4
conflict_combo:bottler_mismatch|low_name_score|vintage_mismatch,3
conflict_combo:cask_mismatch|distillery_mismatch|low_name_score,3
conflict_combo:bottler_mismatch|low_name_score,2
conflict_combo:age_mismatch|distillery_mismatch|low_name_score,2
conflict_combo:cask_mismatch,2
conflict_combo:age_mismatch|cask_mismatch|distillery_mismatch|low_name_score|release_mismatch,2
conflict_combo:age_mismatch|cask_mismatch|low_name_score,2
conflict_combo:age_mismatch|distillery_mismatch|low_name_score|release_mismatch,1
