dedupe_hash,whisky_name_raw,distillery,source_score,review_year,review_date,matched_whisky_id,matched_whisky_name,matched_distillery,name_match_score,distillery_match,conflict_flags,decision,decision_reason,tuned_decision,internal_audit_only,internal_source_url,quality_flags,quality_decision
256e97f69edbaf6d9c079c37d5ebb62b8ed7b2ff88b47b3d6deccab93c7952fc,"Glengoyne 'The Teapot Dram' (58.8%, OB, 3105 bottles, 2011)",Glengoyne,84,2012,2012-01-20,W000173,glengoyne teapot dram (all batches),Glengoyne,100.0,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivejanuary12-2.html,matched_release_term_not_in_raw,MANUAL_REVIEW_REQUIRED
9e92f7a5dc5d7d6f9055df2f0f91cee569fdce774886d7797a34e70235aa260b,"Talisker 10 yo (45.8%, OB, +/-2012)",Talisker,90,2012,2012-05-02,W000976,talisker 10yo,Talisker,96.3,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivemay12-1.html,,QUALITY_KEEP_CANDIDATE
674574ee4767d5dfec747a68c4b677420a7cd0b3a6b5b75cb2604c9801b43316,"Bowmore 10 yo ‘Tempest’ (55.1%, OB, first fill bourbon, batch #4, 2012)",Bowmore,86,2012,2012-10-01,W000981,bowmore 10yo tempest,Bowmore,97.6,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archiveoctober12-1.html,raw_cask_term_missing_in_match|release_term_mismatch|batch_missing_in_match,MANUAL_REVIEW_REQUIRED
c4d6d5256f4da19fef858806b9b8096d8f47063cfefbb64a64b6cf1268b678a4,"Aberlour 16 yo 'Double Cask Matured' (43%, OB, traditional oak / sherry, +/- 2011)",Aberlour,83,2012,2012-10-29,W000265,aberlour 16yo double cask matured,Aberlour,98.5,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archiveoctober12-2.html,raw_cask_term_missing_in_match,MANUAL_REVIEW_REQUIRED
a69ba8c1655bf6e26b800baa44be191f8f66700922f68651ef095ecc61d85143,"Glengoyne 10 yo (40%, OB, 'Pure Malt', +/-1985)",Glengoyne,77,2012,2012-11-13,W000833,glengoyne 10yo,Glengoyne,96.6,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivenovember12-1.html,,QUALITY_KEEP_CANDIDATE
93dc669197e20099fee27eb198d642800ef1223ec67f2874576ebe93c9613085,"Glenmorangie 10 yo (43%, OB for Isolabella, Italy, +/-1975)",Glenmorangie,80,2012,2012-11-04,W000804,glenmorangie 10yo,Glenmorangie,97.1,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivenovember12-1.html,,QUALITY_KEEP_CANDIDATE
8e8ab1f65d4d4008245f45f5a8d02589c13eea6c88eb57df13ede92800f35a48,"Glenfiddich 19 yo 'Age of Discovery' (40%, OB, Bourbon, 2012)",Glenfiddich,85,2012,2012-12-02,W000323,glenfiddich 19yo age of discovery (madeira cask),Glenfiddich,98.5,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivedecember12-1.html,cask_term_mismatch|age_of_discovery_cask_mismatch,MANUAL_REVIEW_REQUIRED
c85d1100fbed3429fba1f30ca51d9eb865bfe12a1e497d3fc3a1691688e4f81f,"Deanston 12 yo (46.3%, OB, +/- 2012)",Deanston,81,2013,2013-01-06,W000631,deanston 12yo,Deanston,96.3,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivejanuary13-1.html,,QUALITY_KEEP_CANDIDATE
328eca48134fe3c82b67fb230fca0f04f37782280b2566f5d5f02fbf1091c58b,"Talisker 'Storm' (45.8%, OB, 2013)",Talisker,88,2013,2013-02-22,W001024,talisker dark storm,Talisker,100.0,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivefebruary13-2.html,release_term_mismatch|storm_dark_storm_mismatch,MANUAL_REVIEW_REQUIRED
9646345c3522054dcd3f22aed05244a376272a5fa6cc16f931b3fab19414fcfa,"Glengoyne 'Cask Strength' (58.7%, OB, +/-2013)",Glengoyne,89,2013,2013-03-11,W000121,glengoyne cask strength (batch 7),Glengoyne,100.0,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archivemarch13-1.html,release_term_mismatch,MANUAL_REVIEW_REQUIRED
d03eef0d75d9538ddbcbc3ae8ac51da5b2f3e8bc46416ad8b8054715f5c1c163,"Aberlour 'A'bunadh' Batch #39 (59.8%, OB, 2012)",Aberlour,88,2013,2013-04-03,W000001,aberlour a'bunadh,Aberlour,100.0,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archiveapril13-1.html,raw_release_term_missing_in_match|batch_missing_in_match,MANUAL_REVIEW_REQUIRED
8e8b92b15174fe50399e14f403713b94b4c7000d37f676c3462ee8887a1781b7,"Glengoyne 12 yo (43%, OB, +/-2012)",Glengoyne,84,2013,2013-04-29,W000317,glengoyne 12yo,Glengoyne,96.6,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archiveapril13-2.html,,QUALITY_KEEP_CANDIDATE
9dbe6fedd95f432d3f471aefa76491116e864f840ea6d4edc472f6cccebb9640,"Talisker 'Port Ruighe' (45.8%, OB, 2013)",Talisker,70,2013,2013-04-20,W000303,talisker port ruighe,Talisker,100.0,True,,REVIEW_PRODUCT_FEATURE,moderate score or explicit distillery identity,KEEP_PRODUCT_FEATURE_CANDIDATE,True,https://www.whiskyfun.com/archiveapril13-2.html,,QUALITY_KEEP_CANDIDATE
