metric,value
total_rows,11149
keep_product_feature_candidate,123
review_conflict_tuned,198
reject_conflict_strong,6318
full_text_leak,0
public_source_field_leak,0
original_decision:REJECT_CONFLICT,6516
original_decision:REJECT_LOW_CONFIDENCE,2295
original_decision:REVIEW_PRODUCT_FEATURE,1497
original_decision:KEEP_DISTILLERY_FEATURE_ONLY,664
original_decision:KEEP_PRODUCT_FEATURE,177
tuned_decision:REJECT_CONFLICT_STRONG,6318
tuned_decision:REJECT_LOW_CONFIDENCE,2295
tuned_decision:REVIEW_PRODUCT_FEATURE_TUNED,1374
tuned_decision:KEEP_DISTILLERY_FEATURE_ONLY,664
tuned_decision:REVIEW_CONFLICT_TUNED,198
tuned_decision:KEEP_PRODUCT_FEATURE,177
tuned_decision:KEEP_PRODUCT_FEATURE_CANDIDATE,123
