raw_name,norm_basic,norm_alias,sources,mention_count,distillery_meta,country,region,type,age,abv,match_method_used
Aberfeldy 18 French Red Wine casks from Pauillac,aberfeldy 18 french red wine casks from pauillac,aberfeldy french red wine casks from pauillac,data/books/yeni veriler/catalogue.csv,1,Aberfeldy Distillery - Aberfeldy,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Aberlour 16 Double Cask,aberlour 16 double cask,aberlour double cask,data/books/yeni veriler/catalogue.csv,1,Aberlour,Scotland – Speyside,,SINGLE MALT,,,unmatched
Akashi Blended Nas White Oak,akashi blended nas white oak,akashi blended nas white oak,data/books/yeni veriler/catalogue.csv,1,A blend of White Oak and other distilleries,Japan,,BLENDED WHISKY,,,unmatched
Akashi Red,akashi red,akashi red,data/books/yeni veriler/catalogue.csv,1,A blend of White Oak and other distilleries,Japan,,BLENDED WHISKY,,,unmatched
"Amrut Indian Fusion Single 50,0%","amrut indian fusion single 50,0%",amrut indian fusion single,data/books/yeni veriler/catalogue.csv,1,Amrut Distillery - Amrut,India,,SINGLE MALT,,,unmatched
anCnoc peatheart 46%,ancnoc peatheart 46%,ancnoc peatheart,data/books/yeni veriler/catalogue.csv,1,Knockdhu - anCnoc,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
anCnoc Sherry Cask Finish Peated Edition,ancnoc sherry cask finish peated edition,ancnoc sherry cask finish peated edition,data/books/yeni veriler/catalogue.csv,1,Knockdhu - anCnoc,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Ardbeg 8Y For Discussion,ardbeg 8y for discussion,ardbeg 8y for discussion,data/books/yeni veriler/catalogue.csv,1,Ardbeg,Scotland – Islay,,SINGLE MALT,,,unmatched
Ardbeg Smoketrails Cote Rotie,ardbeg smoketrails cote rotie,ardbeg smoketrails cote rotie,data/books/yeni veriler/catalogue.csv,1,Ardbeg,Scotland – Islay,,SINGLE MALT,,,unmatched
Ardbeg Spectacular,ardbeg spectacular,ardbeg spectacular,data/books/yeni veriler/catalogue.csv,1,Ardbeg,Scotland – Islay,,SINGLE MALT,,,unmatched
Ardbeg Wee Beastie 5,ardbeg wee beastie 5,ardbeg wee beastie,data/books/yeni veriler/catalogue.csv,1,Ardbeg,Scotland – Islay,,SINGLE MALT,,,unmatched
Arran 10,arran 10,arran,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Arran Amarone Cask Finish,arran amarone cask finish,arran amarone cask finish,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Arran Port Cask Finish,arran port cask finish,arran port cask finish,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
Arran Quarter Cask Whisky 'The Bothy',arran quarter cask whisky 'the bothy',arran quarter cask whisky the bothy,data/books/yeni veriler/catalogue.csv,1,Lochranza (Isle of Arran Distillery) - Arran,Scotland – Highlands & Islands,,SINGLE MALT,,,unmatched
