raw_name,norm_basic,norm_alias,sources,mention_count,owner,country,region,founded,type,status,match_method_used
Achill Island Distillery,achill island distillery,achill island,data/books/yeni veriler/distilleries.csv,1,Irish American Trading Company,Ireland,Mayo,,A2 - Alembic,,unmatched
Adelphi,adelphi,adelphi,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Ailsa Bay,ailsa bay,ailsa bay,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,William Grant & Sons,Scotland,Lowland,,A2 - Alembic,,unmatched
Albyn,albyn,albyn,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Allt-A-Bhainne,allt-a-bhainne,allt a bhainne,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Chivas Brothers (Pernod Ricard),Scotland,Speyside,,A2 - Alembic,,unmatched
Annandale Distillery,annandale distillery,annandale,data/books/yeni veriler/distilleries.csv,1,Annandale Distillery Company,Scotland,Lowland,,A2 - Alembic,,unmatched
Ardgowan,ardgowan,ardgowan,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Ardlussa,ardlussa,ardlussa,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Ardross,ardross,ardross,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Greenwood Distillers,Scotland,Highland,,A2 - Alembic,,unmatched
Argyll,argyll,argyll,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Asaka Distillery,asaka distillery,asaka,data/books/yeni veriler/distilleries.csv,1,Sasanokawa Shuzo,Japan,Tōhoku,,,,unmatched
Auchinblae,auchinblae,auchinblae,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Auchtermuchty,auchtermuchty,auchtermuchty,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Auchtertool,auchtertool,auchtertool,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
