raw_name,norm_basic,norm_alias,classification,sources,mention_count,distillery_meta,owner,country,reason
Akkeshi,akkeshi,akkeshi,Brand,data/books/yeni veriler/brands.csv,1,Akkeshi Distillery,"Akkeshi, Kenten Co. Ltd.",Japan,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Arbikie Highland Estate,arbikie highland estate,arbikie highland estate,Brand,data/books/yeni veriler/brands.csv,1,Arbikie,Arbikie Highland Estate,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Arran,arran,arran,Brand,data/books/yeni veriler/brands.csv,1,Lochranza (Isle of Arran Distillery),Isle of Arran Distillers Ltd.,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Athrú,athrú,athr,Brand,data/books/yeni veriler/brands.csv,1,—,Sazerac Company,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Baker's,baker's,baker s,Brand,data/books/yeni veriler/brands.csv,1,—,Suntory Global Spirits,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Bearface,bearface,bearface,Brand,data/books/yeni veriler/brands.csv,1,—,Mark Anthony Brands Ltd.,Canada,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Bearface Spirits,bearface spirits,bearface spirits,Brand,data/books/yeni veriler/brands.csv,1,—,Mark Anthony Brands Ltd.,Canada,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Ben Bracken,ben bracken,ben bracken,Brand,data/books/yeni veriler/brands.csv,1,—,Lidl,Germany,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
"Benbecula, MacMillan Spirits","benbecula, macmillan spirits",benbecula macmillan spirits,Brand,data/books/yeni veriler/brands.csv,1,Benbecula,Angus A. MacMillan,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Black Ram,black ram,black ram,Brand,data/books/yeni veriler/brands.csv;data/books/yeni veriler/catalogue.csv,2,Various distilleries,,Bulgaria,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Blackness Bay,blackness bay,blackness bay,Brand,data/books/yeni veriler/brands.csv,1,Blackness,Colm O'Rourke,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Blackwater,blackwater,blackwater,Brand,data/books/yeni veriler/brands.csv,1,Blackwater Distillery,Blackwater Distillery Ltd,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Blairmhor,blairmhor,blairmhor,Brand,data/books/yeni veriler/brands.csv,1,—,Quality Spirits International,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Bridge,bridge,bridge,Brand,data/books/yeni veriler/brands.csv,1,Lough Ree Distillery,Clancy Family,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Cedar Ridge,cedar ridge,cedar ridge,Brand,data/books/yeni veriler/brands.csv,1,Cedar Ridge Distillery,"Cedar Ridge Vineyards, LLC",USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Clan Colla,clan colla,clan colla,Brand,data/books/yeni veriler/brands.csv,1,"McAllister Distillers, Ltd.",Gareth i Michelle McAllister,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Clonakilty Irish Whiskey,clonakilty irish whiskey,clonakilty irish,Brand,data/books/yeni veriler/brands.csv,1,Clonakilty Distillery,Clonakilty Distillery Ltd.,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Cooley,cooley,cooley,Brand,data/books/yeni veriler/brands.csv,1,Cooley Distillery,Suntory Global Spirits,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Darkness,darkness,darkness,Brand,data/books/yeni veriler/brands.csv,1,—,Atom Brands,England,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Daviess County Bourbon,daviess county bourbon,daviess county bourbon,Brand,data/books/yeni veriler/brands.csv,1,Lux Row Distillers,Luxco,USA,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Douglas Laing,douglas laing,douglas laing,Brand,data/books/yeni veriler/brands.csv,1,—,Douglas Laing & Co.,—,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Dublin Liberties Irish Whiskey,dublin liberties irish whiskey,dublin liberties irish,Brand,data/books/yeni veriler/brands.csv,1,"Dublin Liberties Distillery, The",Dublin Liberties Irish Whiskey,Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Duncan Taylor Scotch Whisky,duncan taylor scotch whisky,duncan taylor,Brand,data/books/yeni veriler/brands.csv,1,—,Duncan Taylor Scotch Whisky Ltd.,Scotland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Dunville’s,dunville’s,dunville s,Brand,data/books/yeni veriler/brands.csv,1,Echlinville Distillery,"Old Comber, Ban Poitín",Northern Ireland,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
Elements of Islay,elements of islay,elements of islay,Brand,data/books/yeni veriler/brands.csv,1,—,Speciality Drinks Ltd.,England,"Brand-only metadata, no expression/age/abv — metadata record, confirm entity type"
