gsd_candidate_id,canonical_name,status,assigned_to,last_updated
GSD-CAND-0001,Lagavulin 16yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0002,Ardbeg 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0003,Laphroaig 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0004,Glenfarclas 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0005,Glenfiddich 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0006,Macallan 12yo Double Cask,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0007,Macallan 18yo Sherry Oak,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0008,Balvenie DoubleWood 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0009,Glenfarclas 21yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0010,Aberlour A'bunadh,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0011,Glenfarclas 105,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0012,Glenfiddich 18yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0013,BenRiach The Curiositas 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0014,GlenAllachie 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0015,Cragganmore 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0016,Balvenie Caribbean Cask 14yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0017,Ardbeg Uigeadail,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0018,Laphroaig Quarter Cask,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0019,Caol Ila 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0020,Kilchoman Machir Bay,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0021,Bruichladdich Classic Laddie,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0022,Bowmore 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0023,Glenmorangie Original 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0024,GlenDronach 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0025,Glenmorangie Lasanta 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0026,Dalmore 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0027,Oban 14yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0028,Clynelish 14yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0029,Balblair 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0030,Talisker 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0031,Highland Park 12yo Viking Honour,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0032,Arran 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0033,Jura 10yo Journey,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0034,Ledaig 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0035,Auchentoshan Three Wood,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0036,Glenkinchie 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0037,Ailsa Bay,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0038,Springbank 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0039,Springbank 15yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0040,Glen Scotia 15yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0041,Yamazaki 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0042,Yamazaki 18yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0043,Hakushu 12yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0044,Hakushu 18yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0045,Nikka From The Barrel,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0046,Nikka Yoichi 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0047,Nikka Miyagikyo 10yo,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0048,Nikka Coffey Grain,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0049,Mars Komagatake Limited 2018,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0050,Chichibu The Floor Malted 2022,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0051,Akkeshi Sarorunkamuy 2023,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0052,Kirin Fuji Single Grain,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0053,Nagahama Roman,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0054,Buffalo Trace Bourbon,PENDING_REVIEW,UNASSIGNED,
GSD-CAND-0055,Eagle Rare 10yo,PENDING_REVIEW,UNASSIGNED,
