id,source,file_name,cask_no,distillery,product_name,age,abv,region,cask_type,flavour_profile,tasting_notes_raw,extraction_confidence,review_status
1,SMWS USA,001.139.pdf,1.139,Glenfarclas,Emporium of Sweets,14,55.4,Highlands,,,"""Emporium of Sweets""
The distillery's name means ""valley of
green grass"".The nose commenced with
nail varnish and furniture polish, then
found its feet in a fabulous emporium of
sweets (honey, Swiss roll) fruits
(peaches, pineapple) and woody spice
(cinnamon, cedar, cigar boxes). The panel
suddenly became more garrulous! The
unreduced palate was mouth-wateringly
fresh (green apple) with sweet dessert
wine and just enough wood-tannins to
provide a bitter chocolate finish. Water
freshened up the nose (laundry on the
green, lemon sorbet) and brought out ap-
ple-tart and vanilla custard; the palate
seemed sweetly citric, like an airy lemon
meringue pie. We loved the integration.",0.95,pending_review
2,SMWS USA,001.145 (1).pdf,1.145,Glenfarclas,"Highlands, Speyside",23,50.8,Speyside,Refill Hogshead,,"Highlands, Speyside
 In a fresh forest glade
A brief impression of solvents lifted quickly re-
vealing fresh, floral, slightly astringent lemony
fragrances. The dominant nose character was
sweetness; heather honey, fruit syrup, Hob-
Nobs and coconut macaroons. Behind that, lay
intriguing impressions of forest glades, with
wood bark and leaf-mould. The taste had the
milky, honey sweetness of gulab jamins and
lots of spice � cinnamon, nutmeg, liquorice
allsorts and sugared fennel seeds. Water
changed the nose significantly; pine air fresh-
ener, laundry, freshly peeled twigs and cola
cubes. The reduced palate was citric, sappy,
and spicy with hints of Body-shop soap. The
distillery is owned by J & G Grant.
 
 Cask : 
 Age : Alcohol : Date distilled : October 1985",1.0,pending_review
3,SMWS USA,001.147.pdf,1.147,Glenfarclas,"Highlands, Speyside",39,53.6,Speyside,Refill Hogshead,,"Highlands, Speyside
 Fairytale enchantment
 A comforting dram, but with slightly eerie en-
 chantment � old leather and polished wood
 spoke of regal furniture � perhaps a fairy-
 tale castle; beside a forest (wild berries,
 elderflower). In the forest, a gingerbread house
 decorated with fruity sweets and pink lady
 toffee apples. Forest fruits dominated the pal-
 ate (blueberries, blackberries); vibrant and
 mouth-watering, sweet and juicy (marzipan,
 medjool dates) but with drying spices
 (cinnamon, aniseed). Water invigorated the
 nose! � Cherry Garcia ice cream and can-
 died orange dipped in rich chocolate. The
 palate had us skipping through the forest
 back to the candy house. The distillery name
 means `valley of green grass'.",1.0,pending_review
4,SMWS USA,001.150.pdf,1.150,Glenfarclas,"Highlands, Speyside",10,62.4,Speyside,First Fill Barrel,,"Highlands, Speyside
 High tea in a flower garden
The nose took us to a flower shop (freesias,
dahlias, rose petals); we also found vanilla,
honey and fruit (fresh fruit gateau, banoffee
pie, pear drops). The palate was fruity too,
but with dark chocolate, tobacco and dry
woody heat; ""like biting a chilli chopping
board"". The reduced nose had citric per-
fumes, raspberries, honey, walnuts and maca-
roons; we conjured a picture of ladies having
high tea and dainties in a flower garden. The
reduced palate stayed hot and potent, but
fundamentally sweet � cinder toffee, cr�me
patissiere and a biscuit assortment which
included ginger snaps. Robert Hay built the
distillery in 1836.",1.0,pending_review
5,SMWS USA,001.155.pdf,1.155,Glenfarclas,"Highlands, Speyside",11,62.5,Speyside,First-Fill Barrel,,"Highlands, Speyside
 A gardening dram
This dram immediately invited us in as straw-
berries drenched in malt vinegar, brown bread
covered in Muscovado sugar, honeysuckle in
an overgrown orchard and chestnuts fresh
from a dark oak tree all vied for our attention.
The palate was no less inviting with black
Assam tea, plain Terry's chocolate orange,
black cherry and redcurrants. Water brought us
outdoors with rich black soil on flowerbeds,
weak smoke, burning beech twigs and outdoor
swimming pools covered in fallen leaves.
To taste we had toast and muffins, sweet Earl
Grey tea, sheds, and putty. Owned and run
by the Grant family since 1865.",1.0,pending_review
6,SMWS USA,001.159.pdf,1.159,Glenfarclas,"Highlands, Speyside",11,56.2,Speyside,First-Fill Barrel,,"Highlands, Speyside
 Lively and explosive
An unusual and intriguing wee dram on the
nose � hard peaches, wood sap, nutty notes,
quince, juniper, flint, Evo-Stik and green gin-
ger � quite clean but was it floral or soapy?
The palate was fizzy, lively and tooth-
stripping, with explosive ginger heat, granny
smith apples, vanilla and mint humbugs.
The nose seemed smoother and sweeter
with water � cocoa butter, sherbet fountains
(with liquorice), ginger beer and lime � quite
summery in character. The reduced palate
became well-rounded and easy-drinking with
some of the deeper botanical ingredients of
gin coming through � liquorice, aniseed, an-
gelica and cassia. The distillery sits north of
Ben Rinnes.",1.0,pending_review
7,SMWS USA,001.161.pdf,1.161,Glenfarclas,"Speyside, Spey",24,49.2,Speyside,Refill Hogshead,,"Speyside, Spey
 Coconut shy
Strawberry jam and vanilla brings to mind Victo-
ria sponge dusted with icing sugar, with Cornish
ice cream, but soon light bosky notes emerge:
dried grasses, high-summer dustiness, gorse flow-
ers. The latter come through strongly in the
taste, now as full-blown coconut; sweet to
start, and tannic dry in the finish, with a light
aftertaste of cottage cheese. It drinks well
straight; with a dash of water, the aroma is
lightly woody before the coconut returns, with
sugared almonds and some Fruit & Nut chocolate.
A creamy texture, with more coconut, and a
return of the Fruit & Nut in the finish. The dis-
tillery is still owned by descendants of its
founder.",1.0,pending_review
8,SMWS USA,001.164.pdf,1.164,Glenfarclas,"Speyside, Spey",27,52.1,Speyside,Refill Hogshead,,"Speyside, Spey
 Cheshire cat whisky
 `Sweet manna from heaven' � toffee, fudge, cara-
 mel, Toffifees, vanilla, honey � but more � tea
 chests, spice racks, aromatic smoke, burnt
 heather and pencils in a library � we could
 have sniffed it endlessly. Water opened up
 the fruit � sherbet, orange zest, peach, straw-
 berry, tinned grapes, sweet sap and light
 smoke � panellists grinning like Cheshire
 cats. The sweet, oaky palate had tablet, fudge
 and bread dough � by an open fire; but it also
 had a darker side � woody, earthy, drying,
 with sticky cassis and treacle. Water bright-
 ened it up � Starbursts, Skittles and spicy
 Advocaat. From the distillery always di-
 rected by John or George.",1.0,pending_review
9,SMWS USA,001.168.pdf,1.168,Glenfarclas,"Speyside, Spey",28,53.3,Speyside,Refill Hogshead,,"Speyside, Spey
 Delightfully dulcet deliciosity
Following a scant scintilla of paint, the nose
became a profusion of tropical fruits (banana,
mango, pi�a colada, plum, orange) with
dark chocolate-covered raisins, toffee, Demerara,
Jamaican ginger cake and deep woody reso-
nances (dunnage, polished furniture, tea
chests, autumn leaves). The palate was
a delightfully dulcet deliciosity with wow-
ously warming woody spices � we tasted dried
cranberries, peach stone, roast pumpkin, irn-
bru, carrot cake and teasingly tannic after-
tingles of walnut, leather and wood. The re-
duced nose had us imagining an after-hunt
dram in a stately home, while the palate dis-
covered star-fruit, grapefruit and gummi bears.
From a family-owned distillery
near Marypark.",1.0,pending_review
10,SMWS USA,001.170.pdf,1.170,Glenfarclas,"Speyside, Spey",19,56.0,Speyside,Refill Hogshead,,"Speyside, Spey
Gingerbread man selling sweet delights
 Black pepper and old books on polished wood
 made us sneeze � then a gingerbread man
 appeared, pulling a handcart of sweet de-
 lights (runny honey, brandy snaps, rum truf-
 fles, toffee, coconut, figs, raisins, plums). On
 the palate, a sweet damsel was being
 held ever so expertly by an oaky hero in a
 spicy embrace � rich spiced figs, mince pies,
 roasted chestnuts and nectarine stones. Wa-
 ter brought resinous logs and Daddies
 brown sauce to tickle the nose. The pal-
 ate's high-revving, vanilla virtuoso electric gui-
 tar solo, slowly faded to a Christmas spice
 crackle and hum. Another fine dram from the
 Marypark potion emporium.",1.0,pending_review
11,SMWS USA,001.173.pdf,1.173,Glenfarclas,"Speyside, Spey",19,55.2,Speyside,Refill Hogshead,,"Speyside, Spey
 A fascinating waltz
 A fascinating nose � cereal sweetness (turned
 malt, toasted granary bread) � and more �
 butterscotch, honey, chocolate fudge, banana
 chips, melon, cherry, orange, walnut, Ma-
 deira and hints of menthol. On the palate �
 warm glowing flavours of buttered toast, jam
 and dates waltzed easily with spiced pear and
 cough sweets on the tongue; the finish � a
 fleeting flick of leather and quinine. The re-
 duced nose turned gentle and pacified but still
 teased us with fresh-baked morning rolls,
 lime cordial and sealing wax. The reduced
 palate � an easy, enjoyable equilibrium between
 sweet barley and dry oak. From a family-
 owned distillery just below Ben Rinnes.",1.0,pending_review
12,SMWS USA,001.176.pdf,1.176,Glenfarclas,"Speyside, Spey",16,55.4,Speyside,Refill Hogshead,,"Speyside, Spey
 Zesty Ginger-Lime Cooler
The initial nose neat has the freshness of
green saplings and cut grass soon followed
by fruity notes of apricots and peaches.
With time deeper aromas of old fashioned
rose water perfume are taking centre stage.
The taste starts off similar to the nose;
green and grassy, slightly cereal (Weetabix)
and then fruity (now apple slices). The me-
dium length finish is refreshing like a
`Zesty Ginger-Lime Cooler'. With water we
are preparing a fruit punch with strawberries,
pineapple, peaches and cherries. The taste
is now clean and fresh like minty grapefruit
sorbet and Jasmine iced tea � a well-balanced
sample from the distillery established in
1836 on the Recherlich Farm at Ballindal-
loch.",1.0,pending_review
13,SMWS USA,001.177.pdf,1.177,Glenfarclas,"Speyside, Spey",11,57.3,Speyside,First-Fill Barrel,,"Speyside, Spey
 Tutti-Frutti ice cream
A fresh and fruity aroma greeted us; pineapple
cubes, star anise, wood sap and freshly cut
grass. Some were reminded of an early
morning tee off on the golf course, others
gave their new cricket bat a light sanding
and a coat of linseed oil in preparation for
the new season. The taste had the initial
woodiness of chewing the end of a pencil soon
followed by juicy flavours of tutti-frutti ice
cream with a gentle citrus tang. With water
much softer; cherry pie, banana on toast and
orange barley water. The taste is now
sweet; marshmallows, fondant fancies and
candyfloss with a spicy kick in the finish of
fresh ginger.",1.0,pending_review
14,SMWS USA,001.179.pdf,1.179,Glenfarclas,"Speyside, Spey",27,47.2,Speyside,Refill Hogshead,,"Speyside, Spey
 The Artists Studio
The panel had a collective memory of an
artists studio with aromas of wooden easels,
paintbrushes, linseed and canvas. Our painter had
arranged white lilies in a pewter jug. While
he contemplated his subject he enjoyed a
slice of toffee sponge cake and a cup of sweetened
espresso. To taste they found figs, dates and fresh
almonds, then chocolate brownie and coffee
cake. Water released runny caramel, golden
syrup and advent calendar chocolate. The
texture was deliciously coating and salivat-
ing and one panel member was reminded
of licking the bowl after baking. A hint of mint
completed the masterpiece.",1.0,pending_review
15,SMWS USA,001.180.pdf,1.180,Glenfarclas,"Speyside, Spey",11,56.4,Speyside,First-Fill Barrel,,"Speyside, Spey
 Bitter-sweet complexity
 The nose presented interesting layers � firstly
 in the undergrowth � wood sap, tree bark,
 laurel, meadowsweet and shrubberies (by the
 Spey?); then IKEA flat-pack wooden furniture;
 next some fruity notes (apricot jam, lemon
 drizzle cake) � and last, intense, deep sweetness
 (toffee, honeycomb, tablet, chocolate caramels,
 sugar-coated almonds). With water, pot-
 pourri and liquorice joined in the fun. The pal-
 ate was bitter-sweet and complex � lemon
 sorbet, blackcurrant and waxy laurel against
 tinned pear, honey, fudge and chocolate � all un-
 der-pinned by a pleasant pepper, chilli and
 nutmeg heat. The reduced palate found per-
 fumed wood, pineapple, fruit loaf, chocolate
 and ginger. Whisky from John and George.
 
 
 Flavour profile: Spicy & sweet",1.0,pending_review
