smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
1.139,0.0,0.0,0.0,0.6,0.4,0.6,0.4
1.145,0.0,0.0,0.0,0.2,0.8,0.6,0.0
1.147,0.2,0.0,0.0,0.6,0.2,0.6,0.6
1.150,0.0,0.0,0.0,0.6,0.4,1.0,0.6
1.155,0.4,0.0,0.0,0.4,0.0,0.4,0.6
1.159,0.0,0.0,0.0,0.0,0.8,0.2,0.2
1.161,0.0,0.0,0.0,0.6,0.0,0.6,0.4
1.164,0.6,0.0,0.0,0.8,0.4,1.0,0.2
1.168,0.0,0.0,0.0,1.0,0.2,0.2,1.0
1.170,0.0,0.2,0.0,0.0,0.6,1.0,0.2
1.173,0.4,0.0,0.0,0.8,0.2,0.8,0.8
1.176,0.0,0.0,0.0,0.4,0.4,0.0,0.0
1.177,0.2,0.0,0.0,0.6,0.6,0.4,0.0
1.179,0.0,0.0,0.0,0.0,0.2,0.6,0.6
1.180,0.0,0.0,0.0,1.0,1.0,1.0,0.6
001.185,0.0,0.0,0.0,0.8,0.6,0.8,1.0
1.189,0.0,0.0,0.0,1.0,0.8,1.0,0.4
1.191,0.0,0.0,0.4,0.6,0.4,1.0,1.0
1.192,0.0,0.0,0.0,0.4,0.0,1.0,0.6
1.200,0.2,0.0,0.0,0.0,0.6,0.8,0.8
1.84,0.2,0.2,0.2,0.2,0.2,0.2,0.6
002.49,0.4,0.0,0.2,0.6,0.0,0.6,0.0
002.54,0.0,0.0,0.2,0.2,0.0,0.8,0.0
2.59,0.0,0.0,0.4,0.2,0.0,0.6,0.4
2.66,0.2,0.0,0.0,0.4,0.0,0.6,0.0
2.70,0.0,0.0,0.0,0.6,0.0,0.2,1.0
2.75,0.0,0.0,0.0,1.0,0.0,0.6,0.4
2.77,0.0,0.0,0.0,0.4,0.4,0.4,0.4
2.81,0.0,0.0,0.2,0.2,0.2,1.0,0.4
2.83,0.0,0.0,0.0,1.0,0.8,1.0,0.2
2.85,0.0,0.0,0.0,1.0,0.6,1.0,0.0
2.87,0.0,0.0,0.0,0.8,0.0,1.0,0.0
2.88,0.4,0.0,0.0,0.2,1.0,1.0,1.0
2.90,0.2,0.0,0.0,0.8,0.0,1.0,0.2
2.91,0.0,0.0,0.0,1.0,0.8,0.2,0.0
2.93,0.0,0.0,0.0,0.6,0.4,0.6,0.0
2.94,0.2,0.0,0.0,1.0,0.6,0.8,0.0
2.95,0.0,0.0,0.0,0.6,0.2,1.0,0.2
3.106,0.2,0.4,0.0,0.2,0.0,0.2,0.0
003.113,0.2,0.4,0.0,0.0,0.0,0.4,0.0
3.117,1.0,0.2,0.0,0.0,0.0,0.0,0.4
3.137,0.2,0.0,0.2,0.2,0.0,0.4,0.4
3.140,0.6,0.0,0.2,0.6,0.8,0.6,0.0
3.153,0.6,0.2,0.0,0.0,0.4,0.0,0.0
3.154,0.4,0.8,0.0,0.0,0.2,1.0,0.2
3.161,0.4,0.2,0.4,0.2,0.0,0.4,0.6
3.169,0.6,0.4,0.2,0.0,0.0,1.0,0.0
3.173,1.0,0.8,0.2,0.0,0.0,0.4,0.0
3.178,0.2,0.4,0.2,0.0,0.0,0.2,0.0
3.180,0.2,0.2,0.0,0.0,0.6,0.4,0.0
3.181,0.8,0.0,0.0,0.8,0.0,0.0,0.0
3.182,0.8,0.2,0.0,0.6,0.2,0.6,0.8
3.184,0.6,0.0,0.0,0.4,0.4,0.8,0.0
3.186,0.0,0.0,0.0,0.6,0.2,0.8,0.0
3.187,0.4,1.0,0.0,0.0,0.0,1.0,0.4
3.188,0.6,0.0,0.0,0.2,0.0,0.0,0.2
3.189,1.0,0.2,0.0,0.0,0.2,0.8,0.0
3.201,1.0,0.4,0.2,0.2,0.0,0.2,0.4
3.205,1.0,0.6,0.0,0.0,0.0,0.6,0.0
3.206,1.0,0.2,0.0,0.0,0.2,1.0,0.2
3.210,0.6,0.2,0.0,0.0,0.2,0.4,0.0
3.215,1.0,0.2,0.0,0.6,0.2,0.2,0.4
3.217,0.2,0.2,0.0,0.2,0.0,0.2,0.4
3.219,0.4,0.0,0.0,0.8,0.4,0.4,0.2
3.221,0.2,0.6,0.0,0.0,0.4,0.0,0.0
3.226,1.0,0.6,0.0,0.0,0.0,0.0,0.4
3.227,0.0,0.2,0.2,0.0,0.0,0.6,0.2
3.229,0.0,0.2,0.0,0.4,0.0,0.0,0.0
3.234,0.6,0.0,0.0,0.0,0.0,0.8,0.2
3.235,0.2,0.0,0.0,0.0,0.0,0.2,0.0
3.238,0.2,0.0,0.0,0.4,0.2,0.4,0.0
3.241,1.0,0.6,0.0,0.4,0.0,0.0,0.2
3.254,0.0,0.2,0.0,0.0,0.2,0.8,0.0
3.266,1.0,0.2,0.0,0.2,0.0,0.8,0.4
3.270,0.8,0.0,0.4,0.0,0.2,0.8,0.8
3.274,0.0,0.2,0.0,0.0,0.0,0.0,0.0
3.87,0.4,0.0,0.0,0.2,0.0,0.2,0.0
3.97,0.0,0.2,0.0,0.0,0.0,0.0,0.0
3.98,0.4,0.0,0.0,0.0,0.0,0.8,0.0
4.103,0.6,0.4,0.0,0.6,0.0,0.2,0.0
4.107,0.6,0.0,0.2,0.0,0.0,0.8,0.2
4.114,0.6,1.0,0.0,0.0,0.2,0.6,0.0
4.118,1.0,0.6,0.0,0.2,0.2,0.4,0.2
4.120,0.6,0.0,0.0,0.4,0.0,0.6,0.0
4.135,0.4,0.4,0.0,0.0,0.0,1.0,0.2
4.137,0.4,0.6,0.0,0.4,0.2,0.8,0.0
4.138,0.2,0.0,0.0,0.2,0.0,0.4,0.8
