file_name,smws_code,distillery_code,expression_name,age,vintage,bottling_year,abv,cask_type,region,outturn,price
001.139.pdf,1.139,1,Emporium of Sweets,14,Sept '93 Alc,,55.4,,Highlands / District,,
001.145 (1).pdf,1.145,1,,23,,,50.8,,,,
001.147.pdf,1.147,1,,39,,,53.6,,,,
001.150.pdf,1.150,1,"like biting a chilli chopping
board",10,,,62.4,,,,
001.155.pdf,1.155,1,,11,,,62.5,,,,
001.159.pdf,1.159,1,,11,,,56.2,,,,
001.161.pdf,1.161,1,,24,,,49.2,,,,
001.164.pdf,1.164,1,,27,,,52.1,,,,
001.168.pdf,1.168,1,,28,,,53.3,,,,
001.170.pdf,1.170,1,,19,,,56.0,,,,
001.173.pdf,1.173,1,,19,,,55.2,,,,
001.176.pdf,1.176,1,,16,,,55.4,,,,
001.177.pdf,1.177,1,,11,,,57.3,,,,
001.179.pdf,1.179,1,,27,,,47.2,,,,
001.180.pdf,1.180,1,,11,,,56.4,,,,
001.185.pdf,001.185,001,,30,,,54.4,,,,
001.189.pdf,1.189,1,,21,,,54.3,,,,
001.191.pdf,1.191,1,,15,,,51.5,,,,
001.192.pdf,1.192,1,,22,,,56.0,,,,
001.200.pdf,1.200,1,,15,,,55.7,,,,
001.84.pdf,1.84,1,Liquid Christmas Cake,32,July '65 Alc,,62.3,,,,
002.49.pdf,002.49,002,American Cream Soda and Burnt Orange,13,Nov,,59.7,,,,
002.54.pdf,002.54,002,"Sweet, Like Peppered Honey",16,June '88 Alc,,59.1,,,,
002.59.pdf,2.59,2,A Cello in the Orchestra of Malts,16,June '88 Alc,,57.5,,Highland / District,,
002.66.pdf,2.66,2,,29,Dec,,57.9,,Highlands / District,,
002.70.pdf,2.70,2,Ovaltine in a Wellington Boot,21,Aug,,56.1,,Highlands / District,,
002.75.pdf,2.75,2,,16,,,57.1,,,,
002.77.pdf,2.77,2,,21,,,57.7,,,,
002.81.pdf,2.81,2,,15,,,59.9,,,,
002.83.pdf,2.83,2,,19,,,55.2,,,,
002.85.pdf,2.85,2,,9,,,61.4,,,,
002.87.pdf,2.87,2,,21,,,51.7,,,,
002.88.pdf,2.88,2,,20,,,47.1,,,,
002.90.pdf,2.90,2,,10,,,60.2,,,,
002.91.pdf,2.91,2,,12,,,61.1,,,,
002.93.pdf,2.93,2,,13,,,60.3,,,,
002.94.pdf,2.94,2,,9,,,60.4,,,,
002.95.pdf,2.95,2,,11,,,58.6,,,,115
003.106.pdf,3.106,3,Parma Violets and Parma Ham,15,Sep,,61.7,,Islay / District,,
003.113.pdf,003.113,003,Funfair by the Harbour,12,Nov,,57.3,,Islay District,,
003.117.pdf,3.117,3,Branston Pickle and Eucalyptus leaves,5,Feb,,56.2,,Islay District,,
003.137.pdf,3.137,3,An Old Rocker with a Pipe,10,Feb '98 Alc,,55.6,,Islay / District,,
003.140.pdf,3.140,3,"Intrigue, Love and Danger",10,Feb '98 Alc,,56.4,,Islay / District,,
003.153.pdf,3.153,3,,21,,,50.8,,,,
003.154.pdf,3.154,3,,9,,,58.0,,,,
003.161.pdf,3.161,3,,11,,,58.4,,,,
003.169.pdf,3.169,3,,16,,,56.6,,,,
003.173.pdf,3.173,3,Nigella's gammon in Coke,9,,,59.1,,,,
003.178.pdf,3.178,3,,23,,,48.4,,,,
003.180.pdf,3.180,3,,15,,,61.2,,,,
003.181.pdf,3.181,3,,15,,,60.5,,,,
003.182.pdf,3.182,3,,21,,,46.4,,,,
003.184.pdf,3.184,3,,15,,,61.0,,,,
003.186.pdf,3.186,3,,16,,,57.9,,,,
003.187.pdf,3.187,3,,14,,,57.2,,,,
003.188.pdf,3.188,3,,14,,,58.8,,,,
003.189.pdf,3.189,3,,14,,,58.4,,,,
003.201.pdf,3.201,3,,24,,,50.8,,,,
003.205.pdf,3.205,3,,16,,,59.4,,,,
003.206.pdf,3.206,3,,15,,,56.9,,,,
003.210.pdf,3.210,3,,17,,,58.9,,,,
003.215.pdf,3.215,3,,18,,,55.2,,,,
003.217.pdf,3.217,3,,16,,,55.6,,,,
003.219.pdf,3.219,3,,13,,,54.3,,,,
003.221.pdf,3.221,3,,19,,,54.2,,,,
003.226.pdf,3.226,3,,16,,,58.3,,,,
003.227.pdf,3.227,3,,16,,,56.4,,,,
003.229.pdf,3.229,3,,26,,,51.3,,,,
003.234.pdf,3.234,3,,16,,,,,,,
003.235.pdf,3.235,3,,26,,,50.9,,,,
003.238.pdf,3.238,3,,17,,,56.5,,,,
003.241.pdf,3.241,3,,16,,,55.9,,,,
003.254.pdf,3.254,3,,19,,,58.1,,,,
003.266.pdf,3.266,3,,15,,,56.3,,,,140
003.270.pdf,3.270,3,,18,,,55.8,,,,180
003.274.pdf,3.274,3,,20,,,53.1,,,,195
003.87.pdf,3.87,3,Old Boat Varnish and Very Smoky,14,May,,54.3,,Islay District,,
003.97.pdf,3.97,3,No Water Required,22,Feb,,48.3,,Islay District,,
003.98.pdf,3.98,3,An Islay Sweetie,19,Mar,,55.2,,Islay District,,
004.103.pdf,4.103,4,Summer in the Isles,17,Jun,,51.6,,Highlands / Island,,
004.107.pdf,4.107,4,Toffee and the Phantom Beefsteak,17,Nov,,61.0,,Highlands / Island,,
004.114.pdf,4.114,4,Coastal Delight,22,Dec,,,,Highlands / Island,,
004.118.pdf,4.118,4,"Smoke, Peat and Orange Marmalade",10,Apr '97 Alc,,59.0,,Highlands / Island,,
004.120.pdf,4.120,4,Sunshine in a Bottle,20,Dec '86 Alc,,50.5,,Highlands / Island,,
004.135.pdf,4.135,4,,10,,,57.3,,,,
004.137.pdf,4.137,4,Oooh!,12,,,58.7,,,,
004.138.pdf,4.138,4,"a
  vanilla patisserie",9,,,61.7,,,,
004.145.pdf,4.145,4,,21,,,52.0,,,,
004.146.pdf,4.146,4,,19,,,54.7,,,,
004.148.pdf,4.148,4,"chip shop brown
sauce",10,,,59.9,,,,
004.151.pdf,4.151,4,,26,,,53.1,,,,
004.153.pdf,4.153,4,,11,,,58.6,,,,
004.156.pdf,4.156,4,,20,,,53.5,,,,
004.160.pdf,4.160,4,,14,,,56.1,,,,
004.162.pdf,4.162,4,,16,,,55.1,,,,
004.163.pdf,4.163,4,,11,,,62.8,,,,
004.164.pdf,4.164,4,,11,,,62.0,,,,
004.169.pdf,4.169,4,,25,,,59.7,,,,
004.171.pdf,4.171,4,,21,,,53.7,,,,
004.172.pdf,4.172,4,,13,,,60.1,,,,
004.175.pdf,4.175,4,,13,,,55.9,,,,
004.178.pdf,4.178,4,,18,,,59.1,,,,
004.183.pdf,4.183,4,,13,,,62.1,,,,
004.188.pdf,4.188,4,,13,,,61.8,,,,
004.190.pdf,4.190,4,,22,,,53.9,,,,
004.191.pdf,4.191,4,,22,,,54.2,,,,
004.197.pdf,4.197,4,,14,,,56.4,,,,
004.203.pdf,4.203,4,,15,,,55.8,,,,
004.207.pdf,4.207,4,,19,,,54.6,,,,
004.211.pdf,4.211,4,,24,,,52.2,,,,
004.216.pdf,4.216,4,,19,,,53.5,,,,
004.217.pdf,4.217,4,,19,,,53.9,,,,160
004.218.pdf,4.218,4,,16,,,55.9,,,,
004.96.pdf,4.96,4,"Toffee, Fudge and a Touch of Smoke",18,Dec,,56.1,,Highlands / Island,,
005.12.pdf,005.12,005,Hot and Honeyed,12,Dec,,60.9,,,,
005.16.pdf,005.16,005,Chocolates and a Bunch of Flowers,20,Jan,,55.5,,,,
005.28.pdf,5.28,5,,11,,,59.9,,,,
005.33.pdf,5.33,5,,10,,,60.4,,,,
005.35.pdf,5.35,5,,12,,,54.7,,,,
005.36.pdf,5.36,5,,14,,,59.8,,,,
005.38.pdf,5.38,5,,13,,,57.2,,,,
005.40.pdf,5.40,5,,13,,,56.7,,,,
005.47.pdf,5.47,5,,14,,,59.8,,,,
005.48.pdf,5.48,5,,13,,,59.6,,,,
005.49.pdf,5.49,5,,11,,,57.3,,,,150
005.7.pdf,005.7,005,Eve`s Pudding with Cr�me Patisserie,11,Dec,,60.8,,,,
006.23.pdf,6.23,6,old man,9,,,59.5,,,,
007.100.pdf,7.100,7,,28,,,58.7,,,,
007.101.pdf,7.101,7,,10,,,60.2,,,,
007.103.pdf,7.103,7,,29,,,51.6,,,,
007.105.pdf,007.105,007,,21,,,54.5,,,,
007.109.pdf,7.109,7,,10,,,59.7,,,,
007.111.pdf,7.111,7,,11,,,60.1,,,,
007.116.pdf,007.116,007,to travel is better than to arrive,29,,,58.5,,,,
007.133.pdf,007.133,007,,12,,,,,,,
007.29.pdf,7.29,7,A Devine Spirit,36,Dec,,53.3,,Highland / District,,
007.39.pdf,7.39,7,Just Amazing,38,Feb,,51.0,,Highlands / Speyside,,
007.40.pdf,007.40,007,Rich and Heady,21,Nov '85 Alc,,52.5,,,,
007.47.pdf,7.47,7,Church Pews and Tobacco,39,Dec,,49.7,,"Highlands
          District",,
007.53.pdf,7.53,7,"Nutty
 characters",41,,,46.0,,,,
007.77.pdf,7.77,7,,22,,,54.8,,,,
007.80.pdf,7.80,7,,22,,,51.4,,,,
007.85.pdf,7.85,7,,19,,,53.6,,,,
007.89.pdf,7.89,7,,27,,,54.1,,,,
007.93.pdf,7.93,7,,11,,,57.6,,,,
007.94.pdf,7.94,7,,27,,,55.6,,,,
007.97.pdf,7.97,7,,20,,,53.9,,,,
007.98.pdf,7.98,7,,9,,,60.2,,,,
008.35.pdf,008.35,008,Foxgloves and Spangles,20,Nov,,62.5,,,,
008.42.pdf,8.42,8,Fruity,14,Apr '92 Alc,,59.1,,Highland / District,,
009.35.pdf,009.35,009,Fun Fair Food Stalls,5,Apr,,53.9,,,,
009.47.pdf,9.47,9,"creamy rice pudding, dusted with gold leaf
and ground ginger",24,,,51.4,,,,
009.57.pdf,9.57,9,seduction whisky,25,,,49.4,,,,
009.59.pdf,9.59,9,"malty

gold dust",13,,,58.2,,,,
009.60.pdf,9.60,9,,13,,,57.6,,,,
009.62.pdf,9.62,9,,8,,,62.1,,,,
009.66.pdf,9.66,9,,14,,,56.5,,,,
009.69.pdf,9.69,9,,17,,,56.9,,,,
009.74.pdf,9.74,9,,10,,,62.0,,,,
009.76.pdf,9.76,9,,25,,,56.1,,,,
009.78.pdf,9.78,9,,11,,,59.3,,,,
009.79.pdf,9.79,9,,22,,,57.7,,,,
009.84.pdf,9.84,9,,25,,,55.6,,,,
010.75.pdf,10.75,10,,13,,,55.9,,,,
010.76.pdf,10.76,10,,8,,,60.8,,,,
010.77.pdf,10.77,10,,6,,,61.4,,,,
010.81.pdf,10.81,10,,9,,,60.4,,,,
010.85.pdf,10.85,10,,17,,,55.8,,,,
010.87.pdf,10.87,10,,10,,,61.9,,,,
010.88.pdf,10.88,10,,9,,,58.6,,,,
010.92.pdf,10.92,10,,9,,,61.4,,,,
010.99.pdf,10.99,10,,10,,,59.6,,,,120
0100.12.pdf,100.12,100,,10,,,,,,,
011.24.pdf,011.24,011,"Peat, Grass and Delicate Fruits",12,June '89 Alc,,61.4,,,,
011.27.pdf,011.27,011,Floral Notes and Honey,24,Oct '78 Alc,,53.7,,,,
013.37.pdf,013.37,013,Peaches and Apricot Jam,21,Sept,,52.2,,,,
013.44.pdf,13.44,13,What a stoater!,13,,,62.7,,,,
013.47.pdf,13.47,13,,10,,,59.3,,,,
016.30.pdf,16.30,16,,22,,,51.6,,,,
016.32.pdf,16.32,16,,10,,,57.2,,,,
017.32.pdf,17.32,17,,9,,,56.2,,,,
017.35.pdf,17.35,17,,11,,,56.1,,,,
018.23.pdf,018.23,018,A Farmer's Friend,24,Dec,,55.6,,,,
021.22.pdf,021.22,021,"Seaweed, Soap and a Bracing Breeze",17,Nov,,54.1,,,,
021.25.pdf,21.25,21,,27,Dec '76 Alc,,49.2,,,,
021.26.pdf,021.26,021,Cotton Candy and Lipstick,28,Dec,,51.1,,,,
022.10.pdf,022.10,022,Apples and Grapefruit,16,Apr,,59.3,,,,
022.23.pdf,22.23,22,A Lively Brunch Dram,18,Oct,,52.6,,Lowland / District,,
022.25.pdf,22.25,22,"Anytime, anywhere, any-why",19,Oct,,53.5,,"Lowlands
            District",,
022.28.pdf,22.28,22,,21,,,54.0,,,,
022.29.pdf,22.29,22,,24,,,54.9,,,,
023.39.pdf,23.39,23,"Laundry, Violets & a Cinnamon Spiciness",13,June '89 Alc,,56.6,,Islay / District,,
023.51.pdf,23.51,23,Something of the Night,18,Dec,,56.4,,Islay / District,,
023.62.pdf,23.62,23,,6,,,63.5,,,,
023.67.pdf,23.67,23,,8,,,62.5,,,,
023.70.pdf,23.70,23,,9,,,66.0,,,,
023.71.pdf,23.71,23,,9,,,65.9,,,,
023.72.pdf,23.72,23,,9,,,66.4,,,,
023.73.pdf,23.73,23,,11,,,61.5,,,,
024.96.pdf,24.96,24,Scented and Soporific,16,May '90 Alc,,57.4,,Highland / District,,
024.98.pdf,24.98,24,"Succulent Raisin, Figs and Toffee",16,May '90 Alc,,56.7,,Highlands / District,,
026.100.pdf,26.100,26,,9,,,56.5,,,,
026.102.pdf,26.102,26,,29,,,56.0,,,,
026.105.pdf,26.105,26,,29,,,57.6,,,,
026.106.pdf,26.106,26,,29,,,58.0,,,,
026.117.pdf,26.117,26,,13,,,56.8,,,,140
026.39.pdf,026.39,026,A Surprising Explosion,21,May '83 Alc,,58.9,,,,
026.49.pdf,26.49,26,"Oak, Smoke and Liquorice",22,May '84 Alc,,58.3,,"Highlands
         District",,
026.62.pdf,26.62,26,"a bear hug from an old
  friend",26,,,55.0,,,,
026.65.pdf,26.65,26,,17,,,49.6,,,,
026.67.pdf,26.67,26,,25,,,48.9,,,,
026.80.pdf,26.80,26,,19,,,53.0,,,,
026.81.pdf,26.81,26,,11,,,58.6,,,,
026.84.pdf,26.84,26,,21,,,49.1,,,,
026.86.pdf,26.86,26,,21,,,50.5,,,,
026.87.pdf,26.87,26,,12,,,58.1,,,,
026.89.pdf,26.89,26,,27,,,56.6,,,,
026.92.pdf,26.92,26,,28,,,58.2,,,,
026.95.pdf,26.95,26,,10,,,61.3,,,,
026.97.pdf,26.97,26,,13,,,51.4,,,,
026.99.pdf,26.99,26,,23,,,48.5,,,,
027.110.pdf,27.110,27,,22,,,52.6,,,,
027.56.pdf,027.56,027,"Dried Japanese Seaweed in
                a Varnished Boat",15,March '89 Alc,,53.6,,,,
028.25.pdf,28.25,28,,23,,,51.9,,,,
028.26.pdf,28.26,28,,10,,,61.4,,,,
028.27.pdf,28.27,28,,10,,,61.6,,,,
028.30.pdf,28.30,28,,24,,,53.3,,,,220
029.154.pdf,29.154,29,,23,,,49.8,,,,
029.164.pdf,29.164,29,,17,,,49.2,,,,
029.165.pdf,29.165,29,,20,,,,,,,
029.171.pdf,29.171,29,,20,,,58.4,,,,
029.176.pdf,29.176,29,,16,,,58.5,,,,
029.179.pdf,29.179,29,,16,,,51.6,,,,145
029.183.pdf,29.183,29,,16,,,,,,,
029.190.pdf,29.190,29,,17,,,58.1,,,,210
029.41.pdf,029.41,029,Mr. Hyde and Dr. Jekyll,13,Oct,,58.9,,,,
029.52.pdf,029.52,029,Lapsang Souchong Tea with Sweet Apples,16,Mar,,59.3,,,,
029.60.pdf,29.60,29,Smoke-heads will Die for it,17,Mar,,59.1,,Islay / South Shore,,
029.64.pdf,29.64,29,"Diesel, Fishing Boats and Engine Smoke",18,Nov,,54.6,,Islay / District,,
029.68.pdf,29.68,29,A Match Made in Heaven,18,Nov,,54.0,,Islay / District,,
029.71.pdf,29.71,29,"A Tongue-curling, Wrestler's
               Armpit of a Dram",11,Oct,,58.2,,"Islay
              District",,
029.78.pdf,29.78,29,,8,,,58.2,,,,
029.79.pdf,29.79,29,like bashing stones together,10,,,56.1,,,,
029.80.pdf,29.80,29,ironing a chimney sweep's shirt,16,,,52.7,,,,
029.82.pdf,29.82,29,Something medicinal,10,,,56.5,,,,
029.88.pdf,29.88,29,,9,,,60.9,,,,
029.92.pdf,29.92,29,,10,,,63.2,,,,
029.97.pdf,29.97,29,"wood, smoke, blood",20,,,59.1,,,,
030.46.pdf,030.46,030,Rich Fruits and Sherry,14,May '90 Alc,,58.6,,,,
