smws_code,product_name,distillery,bottler,candidate_1,confidence_1,candidate_2,confidence_2,candidate_3,confidence_3,conflict_reason,resolver_version,resolver_stage
1.185,"Speyside, Spey",Glenfarclas,,Glenfarclas Heritage,0.67,glenfarclas 10yo,0.63,glenfarclas 12yo,0.63,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
2.49,American Cream Soda and Burnt Orange,The Glenlivet,,Glenlivet SMWS 002.49 - American Cream Soda and Burnt Orange,0.88,glenlivet caribbean reserve,0.61,westland american single malt (american oak),0.53,ambiguous_multiple_candidates,P127.5,AMBIGUOUS
2.54,"Sweet, Like Peppered Honey",The Glenlivet,,"Glenlivet SMWS 002.54 - Sweet, Like Peppered Honey",0.85,glenlivet cipher,0.55,glenlivet 14 year old cognac cask selection •,0.53,ambiguous_multiple_candidates,P127.5,AMBIGUOUS
3.113,Funfair by the Harbour,Bowmore,,Bowmore SMWS 003.113 - Funfair by the Harbour,0.78,bowmore no.1,0.57,bowmore 15yo mariner,0.56,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
5.12,Hot and Honeyed,Aberlour,,aberlour 12y,0.62,aberlour 14y,0.62,aberlour 12yo non-chill-filtered,0.62,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
5.16,Chocolates and a Bunch of Flowers,Bowmore,,Auchentoshan SMWS 005.16 - Chocolates and a Bunch of Flowers,0.67,Aultmore SMWS 073.18 - Chocolate Smoke,0.50,"Bladnoch SMWS 50.35 - Caramel, Chocolate and Coffee",0.50,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
5.42,,Aberlour,,Aberlour 12,0.84,aberlour 12y,0.80,aberlour 14y,0.80,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
5.42,,Aberlour,,Aberlour 12,0.84,aberlour 12y,0.80,aberlour 14y,0.80,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
5.7,Eve`s Pudding with Cr�me Patisserie,Aberlour,,Auchentoshan SMWS 005.7 - Eve`s Pudding with Cr�me Patisserie,0.73,aberlour 12yo non-chill-filtered,0.51,Pittyvaich SMWS 090.8 - Eve`s Pudding with Tinned Peaches,0.48,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
7.105,"SW E E T, F R U I T Y & M E L LOW",Longmorn,,"Longmorn SMWS 7.53 - Nutty
 characters",0.51,Longmorn SMWS 007.116 - to travel is better than to arrive,0.49,Longmorn SMWS 7.39 - Just Amazing,0.49,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
7.116,OLD & DIGNIFIED,Longmorn,,longmorn distiller's choice,0.62,glenmorangie signet,0.59,longmorn 16yo,0.58,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
7.133,YO U N G & S P R I T E LY,Longmorn,,Longmorn SMWS 7.29 - A Devine Spirit,0.56,Longmorn SMWS 007.40 - Rich and Heady,0.51,Longmorn SMWS 7.93 - SMWS 7.93,0.50,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,P127.5,AMBIGUOUS
