smws_code,product_name,distillery,bottler,matched_whisky_id,matched_name,confidence,match_type,reason,resolver_version,resolver_stage
1.139,Emporium of Sweets,Glenfarclas,,21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,Glenfarclas SMWS 1.139 - Emporium of Sweets,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.145,"Highlands, Speyside",Glenfarclas,,84b74073-31ee-54c4-b58b-e9f22465b4d4,Glenfarclas SMWS 1.145 - SMWS 1.145,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.147,"Highlands, Speyside",Glenfarclas,,8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,Glenfarclas SMWS 1.147 - SMWS 1.147,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.150,"Highlands, Speyside",Glenfarclas,,472e681d-0af6-5ad3-929f-d79c11568bca,"Glenfarclas SMWS 1.150 - like biting a chilli chopping
board",0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.155,"Highlands, Speyside",Glenfarclas,,ba40280d-19ba-5fe7-8ae3-6e1217663f97,Glenfarclas SMWS 1.155 - SMWS 1.155,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.159,"Highlands, Speyside",Glenfarclas,,0efb9d47-4282-5b6a-8374-e789c8ae4d42,Glenfarclas SMWS 1.159 - SMWS 1.159,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.161,"Speyside, Spey",Glenfarclas,,9eca5f20-2b16-5025-a428-e2356ac314f2,Glenfarclas SMWS 1.161 - SMWS 1.161,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.164,"Speyside, Spey",Glenfarclas,,6fd88222-84a9-5958-bf60-a435f494fcbe,Glenfarclas SMWS 1.164 - SMWS 1.164,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.168,"Speyside, Spey",Glenfarclas,,4c1b4293-20a1-5b7e-80b9-793710b943e4,Glenfarclas SMWS 1.168 - SMWS 1.168,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.170,"Speyside, Spey",Glenfarclas,,9c7c1f33-a610-53b4-84d1-33c5fb044c6d,Glenfarclas SMWS 1.170 - SMWS 1.170,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.173,"Speyside, Spey",Glenfarclas,,617006f0-15e0-5533-a4b7-52f707e4df93,Glenfarclas SMWS 1.173 - SMWS 1.173,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.176,"Speyside, Spey",Glenfarclas,,4bd25146-6032-5610-ba88-a6fc83328ab6,Glenfarclas SMWS 1.176 - SMWS 1.176,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.177,"Speyside, Spey",Glenfarclas,,7d176195-2e36-57c4-bf37-368dc856fd75,Glenfarclas SMWS 1.177 - SMWS 1.177,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.179,"Speyside, Spey",Glenfarclas,,39a79eb9-3da4-5893-9a52-2603df1beffa,Glenfarclas SMWS 1.179 - SMWS 1.179,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.180,"Speyside, Spey",Glenfarclas,,5124995e-02aa-5c3a-b755-b47e641297ec,Glenfarclas SMWS 1.180 - SMWS 1.180,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.189,SPICY & SWEET,Glenfarclas,,39151d65-4237-575e-8aa0-06832ae53e48,Glenfarclas SMWS 1.189 - SMWS 1.189,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.191,"DEEP, RICH & DRIED FRUITS",Glenfarclas,,231a6572-2f51-5c75-96ac-b4c3df886881,Glenfarclas SMWS 1.191 - SMWS 1.191,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.192,OLD & DIGNIFIED,Glenfarclas,,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,Glenfarclas SMWS 1.192 - SMWS 1.192,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.200,"SW E E T, F R U I T Y & M E L LOW",Glenfarclas,,b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,Glenfarclas SMWS 1.200 - SMWS 1.200,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
1.84,Liquid Christmas Cake,Glenfarclas,,50b5141a-ebab-501f-aa51-d3fd7932f699,Glenfarclas SMWS 1.84 - Liquid Christmas Cake,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.59,A Cello in the Orchestra of Malts,The Glenlivet,,8e6430a0-ce42-54ed-b68f-b238ec0acc3a,Glenlivet SMWS 2.59 - A Cello in the Orchestra of Malts,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.66,A Department Store,The Glenlivet,,bb7e1cc2-b1ea-5007-9911-c82410d737ca,Glenlivet SMWS 2.66 - SMWS 2.66,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.70,Ovaltine in a Wellington Boot,The Glenlivet,,de6f75e8-74ba-501c-beda-3658a4df39ea,Glenlivet SMWS 2.70 - Ovaltine in a Wellington Boot,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.75,"Highlands, Speyside (Livet)",The Glenlivet,,a72e11d5-2bf8-5544-8feb-803806369af3,Glenlivet SMWS 2.75 - SMWS 2.75,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.77,"Highlands, Speyside (Livet)",The Glenlivet,,e3685494-3da0-554f-96ae-d859a7867d34,Glenlivet SMWS 2.77 - SMWS 2.77,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.81,"Highlands, Speyside (Livet)",The Glenlivet,,21703ad8-1e23-5467-974e-b8180dc584a7,Glenlivet SMWS 2.81 - SMWS 2.81,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.83,"Speyside, Spey",The Glenlivet,,77ea2155-81e6-59cf-ac1f-416982c76bb1,Glenlivet SMWS 2.83 - SMWS 2.83,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.85,"Speyside, Spey",The Glenlivet,,5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,Glenlivet SMWS 2.85 - SMWS 2.85,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.87,"Speyside, Spey",The Glenlivet,,92be4feb-5678-5d29-8431-86b7d5e6c48c,Glenlivet SMWS 2.87 - SMWS 2.87,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.88,"Speyside, Spey",The Glenlivet,,32cefab1-c233-5955-a544-77674ac72a58,Glenlivet SMWS 2.88 - SMWS 2.88,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.90,"Speyside, Spey",The Glenlivet,,e7692ba0-16bd-5531-a234-17879d59c490,Glenlivet SMWS 2.90 - SMWS 2.90,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.91,"Speyside, Spey",The Glenlivet,,427842ee-b573-5f93-87cb-6006930e7489,Glenlivet SMWS 2.91 - SMWS 2.91,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.93,SPICY & DRY,The Glenlivet,,a2fe662e-d0f5-55af-89fb-f8cb8864d268,Glenlivet SMWS 2.93 - SMWS 2.93,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.94,SPICY & SWEET,The Glenlivet,,32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,Glenlivet SMWS 2.94 - SMWS 2.94,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
