book,surface,suggested_type,confidence,age,abv,region,cask,bottler,page,status
50 - Whisky Advocate September 2020_pdf -- W,Big Whisky,expression,0.4,,,,,,12,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Cowdery
The",expression,0.4,,,,,,13,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Whisky Advocate
Photos",expression,0.4,,,,,,13,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Buying Guide,expression,0.4,,,,,,18,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Whisky 
Selector",expression,0.4,,,,,,18,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Whisky Notes,expression,0.4,,,,,,19,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Lot No,expression,0.4,,,,,,27,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Old Fashioned,expression,0.4,,,,,,36,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Tamworth Distillery,distillery,0.4,,,,,,41,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Co. Red,expression,0.4,,40,,,,46,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Whisky Auctioneer,expression,0.4,,,,,,48,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,In July,expression,0.4,10,,,,,48,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Old 
Forester Distillery",distillery,0.4,,,,,,74,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Batch No,expression,0.4,,56.8,,,,75,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Kelvin 
Cask",expression,0.4,,57.8,,bourbon,,75,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Rare Breed,expression,0.4,,,,,,76,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Envy  
Cask",expression,0.4,,,,port,,76,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Macleod.
The",expression,0.4,,,,,,82,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Old Kiln,distillery,0.4,,,,,,89,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Ila Distillery,distillery,0.4,,,islay,,,96,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Cask 
Strength",expression,0.4,12,,,,,99,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"The 
Whisky Exchange",expression,0.4,,,,,,106,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,The Heart,distillery,0.4,,,,,,109,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Blended Curtain,expression,0.4,12,,,,,110,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Honey Distillery,distillery,0.4,,,,,,112,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Finished Single Malt,expression,0.4,10,55,,bourbon,,114,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Whisky Advocate Selections,expression,0.4,,,,,,115,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Double Cask,expression,0.4,18,43,,,,115,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,"Rum 
Cask",expression,0.4,,63.2,,,,117,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Old Elk Blended,expression,0.4,,44,,,,120,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Key Distillery,distillery,0.4,,25,,bourbon,,120,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Sauvignon Cask,expression,0.4,,48,,,,120,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Co. Clare,expression,0.4,,47.8,,,,122,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Sherry Cask,expression,0.4,5,50,,sherry,,123,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Whisky Advo,expression,0.4,,,,,,126,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Are,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Word Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Why Is Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Spelled With,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Malt Whisky Yearbook,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Does,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Whisky Cost,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Is Older Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Whisky Around,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Paddy. The,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Japan. In,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Is Whisky Produced,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Gotemba Distillery,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"Czech Whisky

The",expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"Dutch Whisky
 
The",expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Norfolk. In,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"French Whisky

The",expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"Icelandic Whisky 
It",distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,La Alazana,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"Swedish Whisky 
The",expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Malt Whisky Production,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,How Is Malt,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Is Malting,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Is Kilning,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,In Ireland,expression,0.4,,,campbeltown,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Whisky Mature,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Types,expression,0.4,,,,oak,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Quarter Cask,expression,0.4,,,,quarter,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Cask Influence,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,At What Alcohol,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Is Reracking,distillery,0.4,,,islay,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Ruby. In,expression,0.4,9,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Grain Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,The Grouse,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,So Many Blended,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,The Pattisons,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Moore County,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Can Single Malt,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,"Repeal
The",expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Single Malts,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Dave Broom,expression,0.4,,,,oak,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,World Atlas,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Japanese Alps,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,When Is Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Where Is Whisky,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Is Whisky Diluted,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Before Bottling,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Is Whisky Filtered,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,What Is Raw,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Distillery Name,distillery,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Logo.  The,expression,0.4,,,,,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Scotch. Bourbon,expression,0.4,,,,bourbon,,0,AMBIGUOUS
A Field Guide to Whisky [eBook - Biblioboard,Whisky Bottle,expression,0.4,,,,,,0,AMBIGUOUS
