book,surface,suggested_type,confidence,age,abv,region,cask,bottler,page,status
50 - Whisky Advocate September 2020_pdf -- W,"Zak Kostro
Less",expression,0.55,,,,bourbon,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Sticker Shock,expression,0.55,,,,bourbon,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,The Malts Behind,expression,0.55,,,,,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Ted Simmons
Breaking",expression,0.55,,,,,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Larger Than Life,expression,0.55,,,islay,,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Ted Simmons
An",expression,0.55,,,,,,12,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Buying Guide
Reviews",expression,0.55,,,,,,13,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Lighter Dram,expression,0.55,,,,,,13,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Celebrate Big
Marvin",expression,0.55,,,,,,16,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Shanken
Editor",expression,0.55,,,,,,16,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Build Your Best,expression,0.55,,,,,,18,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Art Director John,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Events Joan,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Senior Whisky Specialist,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Digital Editor Susannah,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Skiver Barton
 Contributing",expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Chairman Marvin,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Wine Spectator,expression,0.55,,,,wine,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Try Now,expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Dave Cole
Hello",expression,0.55,,,,,,19,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Stylish Whisky Water,expression,0.55,,,,,,24,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Coffee Flavor Meets,expression,0.55,,,,,,24,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Christina Basham,expression,0.55,,,,,,25,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Pinball Meets Pappy,expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Pinballz Lake Creek,expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Legacy Cana,expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Vintage Games,expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Aged Whiskies
Emporium",expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Arcade Bar Chicago,expression,0.55,,,,,,29,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Share Loch 
Ness",expression,0.55,,,,,,32,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Salt House,expression,0.55,,,,,,36,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Cointreau
Cinnamon",expression,0.55,,,,,,36,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Brazilian Spirit,expression,0.75,2,40,,,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Cuca Fresca Ouro,expression,0.75,4,40,,,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Leblon Reserva Especial,expression,0.75,2,40,,,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Novo Fogo Barrel,expression,0.75,2,40,,bourbon,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Yaguara Ouro,expression,0.75,,42,,,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Ouro Reserva Especial,expression,0.75,2,40,,,,37,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Zak Kostro,expression,0.55,,,,,,40,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Community
Kentucky",expression,0.55,,,,bourbon,,40,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Original Black Bourbon,expression,0.55,,,,bourbon,,40,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Steven Grasse,distillery,0.55,,,,,,41,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Tamworth Inn,distillery,0.55,,,,,,41,CREATE
50 - Whisky Advocate September 2020_pdf -- W,The General Lewis,expression,0.55,,,,,,42,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Grist Mill Lane,distillery,0.55,,,,,,42,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Ralph 
Erenzo",distillery,0.55,,,,,,42,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Silent Night,distillery,0.55,,,,,,42,CREATE
50 - Whisky Advocate September 2020_pdf -- W,Jay Erisman,expression,0.55,,,,,,43,CREATE
50 - Whisky Advocate September 2020_pdf -- W,"Sean Evans
Inspired",expression,0.55,,,,,,43,CREATE
