smws_code,product_name,distillery,confidence_1,candidate_1,conflict_reason,ambiguous_type,null_distillery,recommended_action
1.185,"Speyside, Spey",Glenfarclas,0.67,Glenfarclas Heritage,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
2.49,American Cream Soda and Burnt Orange,The Glenlivet,0.88,Glenlivet SMWS 002.49 - American Cream Soda and Burnt Orange,ambiguous_multiple_candidates,A,FALSE,manual_merge_review
2.54,"Sweet, Like Peppered Honey",The Glenlivet,0.85,"Glenlivet SMWS 002.54 - Sweet, Like Peppered Honey",ambiguous_multiple_candidates,A,FALSE,manual_merge_review
3.113,Funfair by the Harbour,Bowmore,0.78,Bowmore SMWS 003.113 - Funfair by the Harbour,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
5.12,Hot and Honeyed,Aberlour,0.62,aberlour 12y,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
5.16,Chocolates and a Bunch of Flowers,Bowmore,0.67,Auchentoshan SMWS 005.16 - Chocolates and a Bunch of Flowers,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
5.42,,Aberlour,0.84,Aberlour 12,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
5.42,,Aberlour,0.84,Aberlour 12,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
5.7,Eve`s Pudding with Cr�me Patisserie,Aberlour,0.73,Auchentoshan SMWS 005.7 - Eve`s Pudding with Cr�me Patisserie,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
7.105,"SW E E T, F R U I T Y & M E L LOW",Longmorn,0.51,"Longmorn SMWS 7.53 - Nutty
 characters",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
7.116,OLD & DIGNIFIED,Longmorn,0.62,longmorn distiller's choice,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
7.133,YO U N G & S P R I T E LY,Longmorn,0.56,Longmorn SMWS 7.29 - A Devine Spirit,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
7.40,Rich and Heady,Longmorn,0.76,Longmorn SMWS 007.40 - Rich and Heady,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
8.35,Foxgloves and Spangles,Aberfeldy,0.65,Tamdhu SMWS 008.35 - Foxgloves and Spangles,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
9.35,Fun Fair Food Stalls,Loch Lomond,0.64,Glen Grant SMWS 009.35 - Fun Fair Food Stalls,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
11.24,"Peat, Grass and Delicate Fruits",,0.72,"Tomatin SMWS 011.24 - Peat, Grass and Delicate Fruits",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
11.27,Floral Notes and Honey,,0.64,Tomatin SMWS 011.27 - Floral Notes and Honey,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
13.37,Peaches and Apricot Jam,Caperdonich,0.63,Dalmore SMWS 013.37 - Peaches and Apricot Jam,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
18.23,A Farmer's Friend,Inchgower,0.81,Inchgower SMWS 018.23 - A Farmer's Friend,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
21.22,"Seaweed, Soap and a Bracing Breeze",Macallan,0.70,"Glenglassaugh SMWS 021.22 - Seaweed, Soap and a Bracing Breeze",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
21.26,Cotton Candy and Lipstick,Macallan,0.65,Glenglassaugh SMWS 021.26 - Cotton Candy and Lipstick,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
22.10,Apples and Grapefruit,Glendullan,0.67,Glenkinchie SMWS 022.10 - Apples and Grapefruit,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
26.39,A Surprising Explosion,Clynelish,0.83,Clynelish SMWS 026.39 - A Surprising Explosion,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
27.56,Dried Japanese Seaweed in,Springbank,0.71,"Springbank SMWS 027.56 - Dried Japanese Seaweed in
                a Varnished Boat",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
29.41,Mr. Hyde and Dr. Jekyll,Coleburn,0.58,Laphroaig SMWS 029.41 - Mr. Hyde and Dr. Jekyll,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
29.52,Lapsang Souchong Tea with Sweet Apples,Coleburn,0.72,Laphroaig SMWS 029.52 - Lapsang Souchong Tea with Sweet Apples,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
30.46,Rich Fruits and Sherry,,0.65,ohishi sherry cask,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
36.32,An Ideal Curry Whisky,,0.57,Eagle Rare,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
37.25,Fiery yet Floral,Cragganmore,0.82,Cragganmore SMWS 037.25 - Fiery yet Floral,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
37.60,SPICY & SWEET,Cragganmore,0.67,cragganmore 12yo,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
37.64,"SW E E T, F R U I T Y & M E L LOW",Cragganmore,0.56,Cragganmore SMWS 037.25 - Fiery yet Floral,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
37.75,"SW E E T, F R U I T Y & M E L LOW",Cragganmore,0.56,Cragganmore SMWS 037.25 - Fiery yet Floral,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
39.43,"Like a Lime Rickey, Fresh and Clean",Strathmill,0.70,"Linkwood SMWS 039.43 - Like a Lime Rickey, Fresh and Clean",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
39.52,Linseed Oil on a Cricket Bat,Strathmill,0.67,Linkwood SMWS 039.52 - Linseed Oil on a Cricket Bat,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
39.52,Linseed Oil on a Cricket Bat,Strathmill,0.67,Linkwood SMWS 039.52 - Linseed Oil on a Cricket Bat,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
45.15,"Maraschino Cherries, Toffee",,0.59,"Dallas Dhu SMWS 045.15 - Maraschino Cherries, Toffee
                and Fresh Butter",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
46.12,Prosutto and Leather Bags,,0.65,Glenlossie SMWS 046.12 - Prosutto and Leather Bags,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
48.8,Fantastic Evolution,,0.65,forty creek evolution,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
50.23,Spring Honey,,0.64,Milk & Honey,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
50.62,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
50.62,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
52.14,Wet Bladderwack,,0.59,Old Pulteney SMWS 052.14 - Wet Bladderwack,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
53.75,An Attack on The Taste Buds,Caol Ila,0.81,Caol Ila SMWS 053.75 - An Attack on The Taste Buds,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
53.88,The Peat Genie,Caol Ila,0.76,Caol Ila SMWS 053.88 - The Peat Genie,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
53.91,Pork Crackling in an Old Library,Caol Ila,0.84,Caol Ila SMWS 053.91 - Pork Crackling in an Old Library,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
53.95,Velvet Sweetness,Caol Ila,0.81,Caol Ila SMWS 053.95 - Velvet Sweetness,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
54.22,A Bag of Tricks,Teaninich,0.58,teaninich 10yo (f&f),no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
58.8,Sid Viscous,Bladnoch,0.67,blandnoch pure scot,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,B,FALSE,manual_review
59.26,"Sweet, Buttery and Malty",,0.63,"Teaninich SMWS 059.26 - Sweet, Buttery and Malty",no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
59.29,Honey and Lemons,,0.58,Hanyu (silent),no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
59.32,A Mild Mannered Chameleon,,0.68,Teaninich SMWS 059.32 - A Mild Mannered Chameleon,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
62.8,Licorice and Fruit,,0.57,Glenlochy SMWS 062.8 - Licorice and Fruit,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
64.11,Burnt Heather Dipped in Syrup,,0.68,Mannochmore SMWS 064.11 - Burnt Heather Dipped in Syrup,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
64.60,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
64.60,,,,,no_link_in_production_db;no_fuzzy_candidate,D,TRUE,create_review
69.13,A Schizophrenic,,0.53,Glen Albyn SMWS 069.13 - A Schizophrenic,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
69.9,A Luxurious Holiday Dram,,0.67,Glen Albyn SMWS 069.9 - A Luxurious Holiday Dram,no_exact_smws_link;fuzzy_name_candidates_below_review_threshold,C,TRUE,enrich_then_review
