uuid_whisky_id,distillery_id,age,abv,name,reason
48b76d49-3cea-56bb-a5ea-02af7c181389,D1871,17.0,51.6,Highland Park SMWS 4.103 - Summer in the Isles,distillery_id_absent_from_W_set
6037a55b-ec66-55f7-9e17-b482a403e7e0,D1871,17.0,61.0,Highland Park SMWS 4.107 - Toffee and the Phantom Beefsteak,distillery_id_absent_from_W_set
88035bdd-884f-5488-93f8-c1ffb817364f,D1871,22.0,,Highland Park SMWS 4.114 - Coastal Delight,distillery_id_absent_from_W_set
e1fa9e80-a79b-5cf2-bc3f-ae380696f7b4,D1871,10.0,59.0,"Highland Park SMWS 4.118 - Smoke, Peat and Orange Marmalade",distillery_id_absent_from_W_set
aaa43573-8c35-57b3-afd2-0c7a26683263,D1871,20.0,50.5,Highland Park SMWS 4.120 - Sunshine in a Bottle,distillery_id_absent_from_W_set
e074f3a3-e799-5203-8cec-b965bf913e62,D1871,10.0,57.3,Highland Park SMWS 4.135 - SMWS 4.135,distillery_id_absent_from_W_set
80bacdff-f9e4-5dca-b90b-8c7670b35587,D1871,12.0,58.7,Highland Park SMWS 4.137 - Oooh!,distillery_id_absent_from_W_set
52a9c5a9-a1f9-5b8c-975b-4d04ccb82290,D1871,9.0,61.7,"Highland Park SMWS 4.138 - a
  vanilla patisserie",distillery_id_absent_from_W_set
9179c557-8797-5aec-b6d4-15e15e75ef29,D1871,21.0,52.0,Highland Park SMWS 4.145 - SMWS 4.145,distillery_id_absent_from_W_set
d4635d93-bd03-544e-8c28-c6a590c863b4,D1871,19.0,54.7,Highland Park SMWS 4.146 - SMWS 4.146,distillery_id_absent_from_W_set
325e83db-d4dc-552e-8493-7ffbeeb467b3,D1871,10.0,59.9,"Highland Park SMWS 4.148 - chip shop brown
sauce",distillery_id_absent_from_W_set
1f9e358e-e702-5cdb-83fd-1f502379b020,D1871,26.0,53.1,Highland Park SMWS 4.151 - SMWS 4.151,distillery_id_absent_from_W_set
1dc7c9b6-7d88-53d4-995d-578b398fca2e,D1871,11.0,58.6,Highland Park SMWS 4.153 - SMWS 4.153,distillery_id_absent_from_W_set
4f363859-6736-5a47-a78b-caac43bd7035,D1871,20.0,53.5,Highland Park SMWS 4.156 - SMWS 4.156,distillery_id_absent_from_W_set
507f6bdb-bf78-5c19-a6e0-8e622b2c2d84,D1871,14.0,56.1,Highland Park SMWS 4.160 - SMWS 4.160,distillery_id_absent_from_W_set
f865b05e-a649-5ff1-881a-50c2031c7d80,D1871,16.0,55.1,Highland Park SMWS 4.162 - SMWS 4.162,distillery_id_absent_from_W_set
fbcd8b02-6ff3-56a1-be42-a40619a610d7,D1871,11.0,62.8,Highland Park SMWS 4.163 - SMWS 4.163,distillery_id_absent_from_W_set
ab161ef7-6f6b-5d3f-9a75-e79e5499d601,D1871,11.0,62.0,Highland Park SMWS 4.164 - SMWS 4.164,distillery_id_absent_from_W_set
99abf37a-b1ed-5d55-8566-1a41089efd55,D1871,25.0,59.7,Highland Park SMWS 4.169 - SMWS 4.169,distillery_id_absent_from_W_set
47003c2d-9022-52e2-9a2a-900c3621db60,D1871,21.0,53.7,Highland Park SMWS 4.171 - SMWS 4.171,distillery_id_absent_from_W_set
