staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
1,1.139,Emporium of Sweets,21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,Glenfarclas SMWS 1.139 - Emporium of Sweets,0.9418,EXACT,14.0,55.4
2,1.145,"Highlands, Speyside",84b74073-31ee-54c4-b58b-e9f22465b4d4,Glenfarclas SMWS 1.145 - SMWS 1.145,0.9352,EXACT,23.0,50.8
3,1.147,"Highlands, Speyside",8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,Glenfarclas SMWS 1.147 - SMWS 1.147,0.9352,EXACT,39.0,53.6
4,1.150,"Highlands, Speyside",472e681d-0af6-5ad3-929f-d79c11568bca,"Glenfarclas SMWS 1.150 - like biting a chilli chopping
board",0.9325,EXACT,10.0,62.4
5,1.155,"Highlands, Speyside",ba40280d-19ba-5fe7-8ae3-6e1217663f97,Glenfarclas SMWS 1.155 - SMWS 1.155,0.9352,EXACT,11.0,62.5
6,1.159,"Highlands, Speyside",0efb9d47-4282-5b6a-8374-e789c8ae4d42,Glenfarclas SMWS 1.159 - SMWS 1.159,0.9352,EXACT,11.0,56.2
7,1.161,"Speyside, Spey",9eca5f20-2b16-5025-a428-e2356ac314f2,Glenfarclas SMWS 1.161 - SMWS 1.161,0.9324,EXACT,24.0,49.2
8,1.164,"Speyside, Spey",6fd88222-84a9-5958-bf60-a435f494fcbe,Glenfarclas SMWS 1.164 - SMWS 1.164,0.9324,EXACT,27.0,52.1
9,1.168,"Speyside, Spey",4c1b4293-20a1-5b7e-80b9-793710b943e4,Glenfarclas SMWS 1.168 - SMWS 1.168,0.9324,EXACT,28.0,53.3
10,1.170,"Speyside, Spey",9c7c1f33-a610-53b4-84d1-33c5fb044c6d,Glenfarclas SMWS 1.170 - SMWS 1.170,0.9324,EXACT,19.0,56.0
11,1.173,"Speyside, Spey",617006f0-15e0-5533-a4b7-52f707e4df93,Glenfarclas SMWS 1.173 - SMWS 1.173,0.9324,EXACT,19.0,55.2
12,1.176,"Speyside, Spey",4bd25146-6032-5610-ba88-a6fc83328ab6,Glenfarclas SMWS 1.176 - SMWS 1.176,0.9324,EXACT,16.0,55.4
13,1.177,"Speyside, Spey",7d176195-2e36-57c4-bf37-368dc856fd75,Glenfarclas SMWS 1.177 - SMWS 1.177,0.9324,EXACT,11.0,57.3
14,1.179,"Speyside, Spey",39a79eb9-3da4-5893-9a52-2603df1beffa,Glenfarclas SMWS 1.179 - SMWS 1.179,0.9324,EXACT,27.0,47.2
15,1.180,"Speyside, Spey",5124995e-02aa-5c3a-b755-b47e641297ec,Glenfarclas SMWS 1.180 - SMWS 1.180,0.9324,EXACT,11.0,56.4
16,1.185,"Speyside, Spey",0c1c50d2-8756-5ec9-97c3-3d6e66c10e88,Glenfarclas SMWS 001.185 - SMWS 001.185,0.9323,EXACT,30.0,54.4
17,1.189,SPICY & SWEET,39151d65-4237-575e-8aa0-06832ae53e48,Glenfarclas SMWS 1.189 - SMWS 1.189,0.9333,EXACT,21.0,54.3
18,1.191,"DEEP, RICH & DRIED FRUITS",231a6572-2f51-5c75-96ac-b4c3df886881,Glenfarclas SMWS 1.191 - SMWS 1.191,0.934,EXACT,15.0,51.5
19,1.192,OLD & DIGNIFIED,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,Glenfarclas SMWS 1.192 - SMWS 1.192,0.9324,EXACT,22.0,56.0
20,1.200,"SW E E T, F R U I T Y & M E L LOW",b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,Glenfarclas SMWS 1.200 - SMWS 1.200,0.9335,EXACT,15.0,55.7
21,1.84,Liquid Christmas Cake,50b5141a-ebab-501f-aa51-d3fd7932f699,Glenfarclas SMWS 1.84 - Liquid Christmas Cake,0.9427,EXACT,32.0,62.3
22,2.49,American Cream Soda and Burnt Orange,c35a8d48-2bef-58bb-9c3a-0a152fcbf202,Glenlivet SMWS 002.49 - American Cream Soda and Burnt Orange,0.945,EXACT,13.0,59.7
23,2.54,"Sweet, Like Peppered Honey",684f5819-fb65-5776-9aaa-df0beb494341,"Glenlivet SMWS 002.54 - Sweet, Like Peppered Honey",0.9437,EXACT,16.0,59.1
24,2.59,A Cello in the Orchestra of Malts,8e6430a0-ce42-54ed-b68f-b238ec0acc3a,Glenlivet SMWS 2.59 - A Cello in the Orchestra of Malts,0.945,EXACT,16.0,57.5
25,2.66,A Department Store,bb7e1cc2-b1ea-5007-9911-c82410d737ca,Glenlivet SMWS 2.66 - SMWS 2.66,0.9341,EXACT,29.0,57.9
26,2.70,Ovaltine in a Wellington Boot,de6f75e8-74ba-501c-beda-3658a4df39ea,Glenlivet SMWS 2.70 - Ovaltine in a Wellington Boot,0.9445,EXACT,21.0,56.1
27,2.75,"Highlands, Speyside (Livet)",a72e11d5-2bf8-5544-8feb-803806369af3,Glenlivet SMWS 2.75 - SMWS 2.75,0.9355,EXACT,16.0,57.1
28,2.77,"Highlands, Speyside (Livet)",e3685494-3da0-554f-96ae-d859a7867d34,Glenlivet SMWS 2.77 - SMWS 2.77,0.9355,EXACT,21.0,57.7
29,2.81,"Highlands, Speyside (Livet)",21703ad8-1e23-5467-974e-b8180dc584a7,Glenlivet SMWS 2.81 - SMWS 2.81,0.9355,EXACT,15.0,59.9
30,2.83,"Speyside, Spey",77ea2155-81e6-59cf-ac1f-416982c76bb1,Glenlivet SMWS 2.83 - SMWS 2.83,0.9344,EXACT,19.0,55.2
31,2.85,"Speyside, Spey",5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,Glenlivet SMWS 2.85 - SMWS 2.85,0.9344,EXACT,9.0,61.4
32,2.87,"Speyside, Spey",92be4feb-5678-5d29-8431-86b7d5e6c48c,Glenlivet SMWS 2.87 - SMWS 2.87,0.9344,EXACT,21.0,51.7
33,2.88,"Speyside, Spey",32cefab1-c233-5955-a544-77674ac72a58,Glenlivet SMWS 2.88 - SMWS 2.88,0.9344,EXACT,20.0,47.1
34,2.90,"Speyside, Spey",e7692ba0-16bd-5531-a234-17879d59c490,Glenlivet SMWS 2.90 - SMWS 2.90,0.9344,EXACT,10.0,60.2
35,2.91,"Speyside, Spey",427842ee-b573-5f93-87cb-6006930e7489,Glenlivet SMWS 2.91 - SMWS 2.91,0.9344,EXACT,12.0,61.1
36,2.93,SPICY & DRY,a2fe662e-d0f5-55af-89fb-f8cb8864d268,Glenlivet SMWS 2.93 - SMWS 2.93,0.9329,EXACT,13.0,60.3
37,2.94,SPICY & SWEET,32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,Glenlivet SMWS 2.94 - SMWS 2.94,0.9336,EXACT,9.0,60.4
38,2.95,YOUNG & SPRITELY,fe365565-a937-51a4-9791-b42204bc9e83,Glenlivet SMWS 2.95 - SMWS 2.95,0.9326,EXACT,11.0,58.6
