code,distillery,country,region,type
1,Glenfarclas,Scotland,Speyside,Malt
2,Glenlivet,Scotland,Speyside,Malt
3,Bowmore,Scotland,Islay,Malt
4,Highland Park,Scotland,Islands,Malt
5,Auchentoshan,Scotland,Lowland,Malt
6,Macduff,Scotland,Highland,Malt
7,Longmorn,Scotland,Speyside,Malt
8,Tamdhu,Scotland,Speyside,Malt
9,Glen Grant,Scotland,Speyside,Malt
10,Bunnahabhain,Scotland,Islay,Malt
11,Tomatin,Scotland,Highland,Malt
12,BenRiach,Scotland,Speyside,Malt
13,Dalmore,Scotland,Highland,Malt
14,Talisker,Scotland,Islands,Malt
15,Glenfiddich,Scotland,Speyside,Malt
16,Glenturret,Scotland,Highland,Malt
17,Scapa,Scotland,Islands,Malt
18,Inchgower,Scotland,Speyside,Malt
19,Glen Garioch,Scotland,Highland,Malt
20,Inverleven,Scotland,Lowland,Malt
21,Glenglassaugh,Scotland,Highland,Malt
22,Glenkinchie,Scotland,Lowland,Malt
23,Bruichladdich,Scotland,Islay,Malt
24,Macallan,Scotland,Speyside,Malt
25,Rosebank,Scotland,Lowland,Malt
26,Clynelish,Scotland,Highland,Malt
27,Springbank,Scotland,Campbeltown,Malt
28,Tullibardine,Scotland,Highland,Malt
29,Laphroaig,Scotland,Islay,Malt
30,Glenrothes,Scotland,Speyside,Malt
31,Isle of Jura,Scotland,Islands,Malt
32,Edradour,Scotland,Highland,Malt
33,Ardbeg,Scotland,Islay,Malt
34,Tamnavulin,Scotland,Speyside,Malt
35,Glen Moray,Scotland,Speyside,Malt
36,Benrinnes,Scotland,Speyside,Malt
37,Cragganmore,Scotland,Speyside,Malt
38,Caperdonich,Scotland,Speyside,Malt
39,Linkwood,Scotland,Speyside,Malt
40,Balvenie,Scotland,Speyside,Malt
41,Dailuaine,Scotland,Speyside,Malt
42,Tobermory,Scotland,Islands,Malt
43,Port Ellen,Scotland,Islay,Malt
44,Craigellachie,Scotland,Speyside,Malt
45,Dallas Dhu,Scotland,Speyside,Malt
46,Glenlossie,Scotland,Speyside,Malt
47,Benromach,Scotland,Speyside,Malt
48,Balmenach,Scotland,Speyside,Malt
49,St. Magdalene,Scotland,Lowland,Malt
50,Bladnoch,Scotland,Lowland,Malt
51,Bushmills,Northern Ireland,Northern Ireland,Malt
52,Old Pulteney,Scotland,Highland,Malt
53,Caol Ila,Scotland,Islay,Malt
54,Aberlour,Scotland,Speyside,Malt
55,Royal Brackla,Scotland,Highland,Malt
56,Coleburn,Scotland,Speyside,Malt
57,Glen Mhor,Scotland,Highland,Malt
58,Strathisla,Scotland,Speyside,Malt
59,Teaninich,Scotland,Highland,Malt
60,Aberfeldy,Scotland,Highland,Malt
61,Brora,Scotland,Highland,Malt
62,Glenlochy,Scotland,Highland,Malt
63,Glentauchers,Scotland,Speyside,Malt
64,Mannochmore,Scotland,Speyside,Malt
65,Imperial,Scotland,Speyside,Malt
66,Ardmore,Scotland,Highland,Malt
67,Banff,Scotland,Speyside,Malt
68,Blair Athol,Scotland,Highland,Malt
69,Glen Albyn,Scotland,Highland,Malt
70,Balblair,Scotland,Highland,Malt
71,Glenburgie,Scotland,Speyside,Malt
72,Miltonduff,Scotland,Speyside,Malt
73,Aultmore,Scotland,Speyside,Malt
74,North Port,Scotland,Highland,Malt
75,Glenury Royal,Scotland,Highland,Malt
76,Mortlach,Scotland,Speyside,Malt
77,Glen Ord,Scotland,Highland,Malt
78,Ben Nevis,Scotland,Highland,Malt
79,Deanston,Scotland,Highland,Malt
80,Glen Spey,Scotland,Speyside,Malt
81,Glen Keith,Scotland,Speyside,Malt
82,Glencadam,Scotland,Highland,Malt
83,Convalmore,Scotland,Speyside,Malt
84,Glendullan,Scotland,Speyside,Malt
85,Glen Elgin,Scotland,Speyside,Malt
86,Glenesk,Scotland,Highland,Malt
87,Millburn,Scotland,Highland,Malt
88,Speyburn,Scotland,Speyside,Malt
89,Tomintoul,Scotland,Speyside,Malt
90,Pittyvaich,Scotland,Speyside,Malt
91,Dufftown,Scotland,Speyside,Malt
92,Lochside,Scotland,Highland,Malt
93,Glen Scotia,Scotland,Campbeltown,Malt
94,Fettercairn,Scotland,Highland,Malt
95,Auchroisk,Scotland,Speyside,Malt
