whisky_id,field,proposed,existing,policy,citation_id
02a86d9a-5af2-5e4a-bb77-9af6fae9f63d,region,Highland,Highland / District,no_overwrite,CIT_6e18e4c4bf7b93e8fe2bfc73dde639a8556b481c088da9f1ddb850514d71f359
086f622f-b23c-508d-b448-8218aec33aea,region,Highlands,"Highlands
          District",no_overwrite,CIT_f2356e85f8e7f026961f566a35ed7764175eb36ca0630d554483acc324132e64
09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,region,Highland,Highland District,no_overwrite,CIT_cc45ccf7cde3468a8625f274037e3f26d70144244344fded52eafde431c96402
0b9d77e4-659a-59ee-a1a0-c30bc035b351,region,Islay,Islay District,no_overwrite,CIT_aa9df6ad6bbc5c167e556ea05ea5585c5db090949ea587b4dfc11d4aae5882ca
0db5e21b-c412-51d2-a2dd-74098738ba8b,region,Highlands,Highlands / District,no_overwrite,CIT_b982bff34ee5f09db8b61b5424f0a45b3ad78d11e7904e09fbe9022fac311e74
0f01956b-105b-5d7a-aee4-cfcfcee1bf9b,region,Islay,Islay / District,no_overwrite,CIT_3c2d9b30f634dd9be2158cac61d57bf62b0ad123260db951889e25cd5fbb0817
14b2e951-1feb-51ee-995c-6bcea1f7f7a7,region,Highlands,Highlands / District,no_overwrite,CIT_6ac27f7f688a29e622c3321efa471afb50c64d9c43cc676bb3279f5eb985ed94
14bf995e-4f44-53a0-950d-fb547b537c26,region,Islay,"Islay
              District",no_overwrite,CIT_f60f0c2dc973f285b92ad27567d4ab6e73ae470918ed7e59d5a4a2708fb1cb57
1d7003ff-3292-5775-bc19-8d6beb7f95c0,region,Highland,Highland / District,no_overwrite,CIT_b3956b6f96bb681ca2b1c97ff2a26386d0049d8054665f6a67f3f7967308dfa7
21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,region,Highlands,Highlands / District,no_overwrite,CIT_8ba7fff7ca2b7762c8a2914a7c2418c08ba1319e89d24881fbf6cdb98d83ceb2
2b28b0ac-5533-57d5-aafb-cd990d7c350f,region,Highlands,"Highlands
          District",no_overwrite,CIT_33d653faa72360bcedb937a01f50c2ba89b9233fda9967edce866d0e33ff0c00
319488d7-4dee-5391-a1f0-71a6efbd0bf5,region,Lowlands,"Lowlands
               District",no_overwrite,CIT_bcfe9421988b5a775c461b9290bad0747210f63b6e950307ff7bf3091bcba113
32e77202-b5f9-55fa-85cf-3b2e96d47d7c,region,Highlands,Highlands / District,no_overwrite,CIT_fbdcfa6af063d4bfce3173481c83410851a6858513e79dc3aa2ca7c3a877e938
332742fb-7e74-54ea-b106-ef4891386b98,region,Highlands,Highlands / District,no_overwrite,CIT_ce8ae4d0bfeb1c1a223c2a4ab0a37a50582669ecc4c543a946d4c368d7050d65
33dfae40-73c8-5be1-a67b-5fb91f3fe9a7,region,Islay,Islay / District,no_overwrite,CIT_12a8f2563f6b4e7f2f15d72d2eef19ff44e9f774b7b33dc2ea7410625d3e973b
361c1dd2-c51e-52bb-a001-2a76e661a567,region,Islay,Islay / District,no_overwrite,CIT_4f5b442b21dbcfd53ffeb70a4f4f28bd7d6e66ffee1693815f6b0712f7e88464
37b64209-818d-5db8-b702-e4befa51d54e,region,Islay,Islay / District,no_overwrite,CIT_151a3305cdc1db1903fd720b903d739718f5a7d3e0cf7dca251f3398c489f494
383db153-5ff5-55af-b798-483269f9139d,region,Campbeltown,Campbeltown / District,no_overwrite,CIT_31d4455d9b54c2e04f19c5310e400265cf3940ca73e818e7b34ffcb429468798
39e4c233-0ec9-5d42-9fbe-bf734cee666d,region,Islay,Islay / District,no_overwrite,CIT_d243ecb2d47f913df93af7382db8b3febf20a445bc74902b236b03029fdafda9
3b9fddcc-d2e8-5b32-b263-19521428b3fb,region,Highlands,Highlands / Speyside,no_overwrite,CIT_6575d6f4a6ccc1c1753449cf2197786883bd4bff238e10d2132dbea11b6880f5
3f8a6602-ccaf-5f8b-b348-9ce76750afdf,region,Islay,Islay / District,no_overwrite,CIT_7016d89fb67f49fd0e11bc5461e5dcbb25839cc55f2beef4c2a9ca676d530c96
48b76d49-3cea-56bb-a5ea-02af7c181389,region,Highlands,Highlands / Island,no_overwrite,CIT_ca76bc74d85f13fe7b6ead425f2813e476d17ea3a08eff13133a60b5913047b0
503ce28c-d1ed-54e5-aba5-eeb9bd1d271b,region,Highlands,Highlands / District,no_overwrite,CIT_fd27aedc887881315bd13de5a37940da4f057d74cda043f41e8ea25ab1841b9a
59761d20-d362-5720-ba97-1e8d1bf89362,region,Islay,Islay / District,no_overwrite,CIT_e573fb1b4fbb869b206f26f744041ffbb833c6ab91d98e5af8941be60ba0ac0e
5d3f8399-d8ce-5f0a-b597-db701aefb0f6,region,Islay,Islay District,no_overwrite,CIT_bbaf4ad819b98f06bad7374830c837559939924e94fa42b3609e493cdf06cd8d
6037a55b-ec66-55f7-9e17-b482a403e7e0,region,Highlands,Highlands / Island,no_overwrite,CIT_138f58e5cbf684da724e22895e6e03d9ddf471f57ce6a09638b4d828df4a54fc
