table,column,total,null,empty_string,whitespace_only,non_empty,empty_string_pct,whitespace_pct
whiskies,name,4749,0,0,0,4749,0.0,0.0
whiskies,original_name,4749,3376,0,0,1373,0.0,0.0
whiskies,country,4749,4614,0,0,135,0.0,0.0
whiskies,region,4749,3619,713,0,417,15.01,0.0
whiskies,type,4749,2892,0,0,1857,0.0,0.0
whiskies,age_statement,4749,2722,791,0,1236,16.66,0.0
whiskies,nas,4749,4601,0,0,148,0.0,0.0
whiskies,bottle_size,4749,4710,0,0,39,0.0,0.0
whiskies,cask_type,4749,4068,0,0,681,0.0,0.0
whiskies,finish_type,4749,4749,0,0,0,0.0,0.0
whiskies,cask_strength,4749,4749,0,0,0,0.0,0.0
whiskies,completed_fields,4749,4749,0,0,0,0.0,0.0
whiskies,notes_for_review,4749,4749,0,0,0,0.0,0.0
whiskies,brand,4749,2880,0,0,1869,0.0,0.0
