whisky_id,field,current_value,proposed_value,confidence,source,status,classification
21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,age,,14.0,0.95,smws,pending,NO_CHANGE
21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,abv,,55.4,0.95,smws,pending,NO_CHANGE
21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,region,,Highlands,0.95,smws,pending,CONFLICT
84b74073-31ee-54c4-b58b-e9f22465b4d4,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
84b74073-31ee-54c4-b58b-e9f22465b4d4,age,,23.0,0.95,smws,pending,NO_CHANGE
84b74073-31ee-54c4-b58b-e9f22465b4d4,abv,,50.8,0.95,smws,pending,NO_CHANGE
84b74073-31ee-54c4-b58b-e9f22465b4d4,region,,Speyside,0.95,smws,pending,NO_CHANGE
8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,age,,39.0,0.95,smws,pending,NO_CHANGE
8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,abv,,53.6,0.95,smws,pending,NO_CHANGE
8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,region,,Speyside,0.95,smws,pending,NO_CHANGE
472e681d-0af6-5ad3-929f-d79c11568bca,cask_type,,first-fill,0.95,smws,pending,NO_CHANGE
472e681d-0af6-5ad3-929f-d79c11568bca,age,,10.0,0.95,smws,pending,NO_CHANGE
472e681d-0af6-5ad3-929f-d79c11568bca,abv,,62.4,0.95,smws,pending,NO_CHANGE
472e681d-0af6-5ad3-929f-d79c11568bca,region,,Speyside,0.95,smws,pending,NO_CHANGE
ba40280d-19ba-5fe7-8ae3-6e1217663f97,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
ba40280d-19ba-5fe7-8ae3-6e1217663f97,age,,11.0,0.95,smws,pending,NO_CHANGE
ba40280d-19ba-5fe7-8ae3-6e1217663f97,abv,,62.5,0.95,smws,pending,NO_CHANGE
ba40280d-19ba-5fe7-8ae3-6e1217663f97,region,,Speyside,0.95,smws,pending,NO_CHANGE
0efb9d47-4282-5b6a-8374-e789c8ae4d42,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
0efb9d47-4282-5b6a-8374-e789c8ae4d42,age,,11.0,0.95,smws,pending,NO_CHANGE
0efb9d47-4282-5b6a-8374-e789c8ae4d42,abv,,56.2,0.95,smws,pending,NO_CHANGE
0efb9d47-4282-5b6a-8374-e789c8ae4d42,region,,Speyside,0.95,smws,pending,NO_CHANGE
9eca5f20-2b16-5025-a428-e2356ac314f2,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
9eca5f20-2b16-5025-a428-e2356ac314f2,age,,24.0,0.95,smws,pending,NO_CHANGE
9eca5f20-2b16-5025-a428-e2356ac314f2,abv,,49.2,0.95,smws,pending,NO_CHANGE
9eca5f20-2b16-5025-a428-e2356ac314f2,region,,Speyside,0.95,smws,pending,NO_CHANGE
6fd88222-84a9-5958-bf60-a435f494fcbe,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
6fd88222-84a9-5958-bf60-a435f494fcbe,age,,27.0,0.95,smws,pending,NO_CHANGE
6fd88222-84a9-5958-bf60-a435f494fcbe,abv,,52.1,0.95,smws,pending,NO_CHANGE
6fd88222-84a9-5958-bf60-a435f494fcbe,region,,Speyside,0.95,smws,pending,NO_CHANGE
4c1b4293-20a1-5b7e-80b9-793710b943e4,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
4c1b4293-20a1-5b7e-80b9-793710b943e4,age,,28.0,0.95,smws,pending,NO_CHANGE
4c1b4293-20a1-5b7e-80b9-793710b943e4,abv,,53.3,0.95,smws,pending,NO_CHANGE
4c1b4293-20a1-5b7e-80b9-793710b943e4,region,,Speyside,0.95,smws,pending,NO_CHANGE
9c7c1f33-a610-53b4-84d1-33c5fb044c6d,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
9c7c1f33-a610-53b4-84d1-33c5fb044c6d,age,,19.0,0.95,smws,pending,NO_CHANGE
9c7c1f33-a610-53b4-84d1-33c5fb044c6d,abv,,56.0,0.95,smws,pending,NO_CHANGE
9c7c1f33-a610-53b4-84d1-33c5fb044c6d,region,,Speyside,0.95,smws,pending,NO_CHANGE
617006f0-15e0-5533-a4b7-52f707e4df93,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
617006f0-15e0-5533-a4b7-52f707e4df93,age,,19.0,0.95,smws,pending,NO_CHANGE
617006f0-15e0-5533-a4b7-52f707e4df93,abv,,55.2,0.95,smws,pending,NO_CHANGE
617006f0-15e0-5533-a4b7-52f707e4df93,region,,Speyside,0.95,smws,pending,NO_CHANGE
4bd25146-6032-5610-ba88-a6fc83328ab6,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
4bd25146-6032-5610-ba88-a6fc83328ab6,age,,16.0,0.95,smws,pending,NO_CHANGE
4bd25146-6032-5610-ba88-a6fc83328ab6,abv,,55.4,0.95,smws,pending,NO_CHANGE
4bd25146-6032-5610-ba88-a6fc83328ab6,region,,Speyside,0.95,smws,pending,NO_CHANGE
7d176195-2e36-57c4-bf37-368dc856fd75,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
7d176195-2e36-57c4-bf37-368dc856fd75,age,,11.0,0.95,smws,pending,NO_CHANGE
7d176195-2e36-57c4-bf37-368dc856fd75,abv,,57.3,0.95,smws,pending,NO_CHANGE
7d176195-2e36-57c4-bf37-368dc856fd75,region,,Speyside,0.95,smws,pending,NO_CHANGE
39a79eb9-3da4-5893-9a52-2603df1beffa,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
39a79eb9-3da4-5893-9a52-2603df1beffa,age,,27.0,0.95,smws,pending,NO_CHANGE
39a79eb9-3da4-5893-9a52-2603df1beffa,abv,,47.2,0.95,smws,pending,NO_CHANGE
39a79eb9-3da4-5893-9a52-2603df1beffa,region,,Speyside,0.95,smws,pending,NO_CHANGE
5124995e-02aa-5c3a-b755-b47e641297ec,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
5124995e-02aa-5c3a-b755-b47e641297ec,age,,11.0,0.95,smws,pending,NO_CHANGE
5124995e-02aa-5c3a-b755-b47e641297ec,abv,,56.4,0.95,smws,pending,NO_CHANGE
