queue_id,entity_key,field_name,proposed_value,confidence,source,status,classification
KB_90259306160d4573b985,21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,age,14.0,0.95,smws,pending,NO_CHANGE
KB_0888660398a64f81a8a6,21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,abv,55.4,0.95,smws,pending,NO_CHANGE
KB_eb4292ae243b49568d1b,84b74073-31ee-54c4-b58b-e9f22465b4d4,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_de01abfd6a0a42c39bfc,84b74073-31ee-54c4-b58b-e9f22465b4d4,age,23.0,0.95,smws,pending,NO_CHANGE
KB_878975d3089d4101a410,84b74073-31ee-54c4-b58b-e9f22465b4d4,abv,50.8,0.95,smws,pending,NO_CHANGE
KB_5cb6bc7ee99a4cc985ee,84b74073-31ee-54c4-b58b-e9f22465b4d4,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_a67fdce7c9cb45699309,8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_a689a29ab7504e0d8736,8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,age,39.0,0.95,smws,pending,NO_CHANGE
KB_6fdac76977924211baee,8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,abv,53.6,0.95,smws,pending,NO_CHANGE
KB_bf5f21f74d0e40738137,8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_8b3a3149a3c240bc9105,472e681d-0af6-5ad3-929f-d79c11568bca,cask_type,first-fill,0.95,smws,pending,NO_CHANGE
KB_944191d57665460a8463,472e681d-0af6-5ad3-929f-d79c11568bca,age,10.0,0.95,smws,pending,NO_CHANGE
KB_8c305db6c8854ce59b3b,472e681d-0af6-5ad3-929f-d79c11568bca,abv,62.4,0.95,smws,pending,NO_CHANGE
KB_e8cbf79f89204b43a088,472e681d-0af6-5ad3-929f-d79c11568bca,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_bbc74d17ed924b1a988d,ba40280d-19ba-5fe7-8ae3-6e1217663f97,cask_type,first-fill barrel,0.95,smws,pending,NO_CHANGE
KB_7c4eaa78cac840ec9ce1,ba40280d-19ba-5fe7-8ae3-6e1217663f97,age,11.0,0.95,smws,pending,NO_CHANGE
KB_b4708e4a6bfb4aac8d6a,ba40280d-19ba-5fe7-8ae3-6e1217663f97,abv,62.5,0.95,smws,pending,NO_CHANGE
KB_9a79bb81294d4cd0b2bf,ba40280d-19ba-5fe7-8ae3-6e1217663f97,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_11f05cac5a3e4398ac81,0efb9d47-4282-5b6a-8374-e789c8ae4d42,cask_type,first-fill barrel,0.95,smws,pending,NO_CHANGE
KB_5cd2dbcaa4504cfabd74,0efb9d47-4282-5b6a-8374-e789c8ae4d42,age,11.0,0.95,smws,pending,NO_CHANGE
KB_41aba5b28b8e4f628ae9,0efb9d47-4282-5b6a-8374-e789c8ae4d42,abv,56.2,0.95,smws,pending,NO_CHANGE
KB_34c97ccf1ed049c0836c,0efb9d47-4282-5b6a-8374-e789c8ae4d42,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_8fa3ee9821af4d088246,9eca5f20-2b16-5025-a428-e2356ac314f2,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_8f5ce212c4494b5aa442,9eca5f20-2b16-5025-a428-e2356ac314f2,age,24.0,0.95,smws,pending,NO_CHANGE
KB_7be3753b51d147ddbd68,9eca5f20-2b16-5025-a428-e2356ac314f2,abv,49.2,0.95,smws,pending,NO_CHANGE
KB_1ee17b0c90274eefa2c4,9eca5f20-2b16-5025-a428-e2356ac314f2,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_ce31b505f5ed4ac39d80,6fd88222-84a9-5958-bf60-a435f494fcbe,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_619295dc6f7b45f0a12e,6fd88222-84a9-5958-bf60-a435f494fcbe,age,27.0,0.95,smws,pending,NO_CHANGE
KB_53305de275cc407bb82e,6fd88222-84a9-5958-bf60-a435f494fcbe,abv,52.1,0.95,smws,pending,NO_CHANGE
KB_35c49bd853c244479902,6fd88222-84a9-5958-bf60-a435f494fcbe,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_b23fb25264b6459cb4f7,4c1b4293-20a1-5b7e-80b9-793710b943e4,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_2f308ac316ba42caab65,4c1b4293-20a1-5b7e-80b9-793710b943e4,age,28.0,0.95,smws,pending,NO_CHANGE
KB_f59d31f725304983b514,4c1b4293-20a1-5b7e-80b9-793710b943e4,abv,53.3,0.95,smws,pending,NO_CHANGE
KB_375a716317fd4caa8d56,4c1b4293-20a1-5b7e-80b9-793710b943e4,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_562cf9d0afc649ae95e5,9c7c1f33-a610-53b4-84d1-33c5fb044c6d,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_ab56c4f53ce440ae8f02,9c7c1f33-a610-53b4-84d1-33c5fb044c6d,age,19.0,0.95,smws,pending,NO_CHANGE
KB_d04979e647c34d9dab6a,9c7c1f33-a610-53b4-84d1-33c5fb044c6d,abv,56.0,0.95,smws,pending,NO_CHANGE
KB_d0d7ac5806d2483b9a5b,9c7c1f33-a610-53b4-84d1-33c5fb044c6d,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_fae8dfda6a434b5ebbdd,617006f0-15e0-5533-a4b7-52f707e4df93,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_f3289c8240fc40bc983a,617006f0-15e0-5533-a4b7-52f707e4df93,age,19.0,0.95,smws,pending,NO_CHANGE
KB_366c762363e243999c41,617006f0-15e0-5533-a4b7-52f707e4df93,abv,55.2,0.95,smws,pending,NO_CHANGE
KB_8ee0008e007549e6a4b4,617006f0-15e0-5533-a4b7-52f707e4df93,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_2252e307d9d64757a247,4bd25146-6032-5610-ba88-a6fc83328ab6,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_9aad0e3fbee1404b83a9,4bd25146-6032-5610-ba88-a6fc83328ab6,age,16.0,0.95,smws,pending,NO_CHANGE
KB_9d40a62267f84d6d9ecf,4bd25146-6032-5610-ba88-a6fc83328ab6,abv,55.4,0.95,smws,pending,NO_CHANGE
KB_4fbfcc97cb524317a470,4bd25146-6032-5610-ba88-a6fc83328ab6,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_6ac5c84db0354bc982f8,7d176195-2e36-57c4-bf37-368dc856fd75,cask_type,first-fill barrel,0.95,smws,pending,NO_CHANGE
KB_4e8f73a8dd8249a88139,7d176195-2e36-57c4-bf37-368dc856fd75,age,11.0,0.95,smws,pending,NO_CHANGE
KB_ec1dc883e94140c5aaa4,7d176195-2e36-57c4-bf37-368dc856fd75,abv,57.3,0.95,smws,pending,NO_CHANGE
KB_5caaad8dabf743058215,7d176195-2e36-57c4-bf37-368dc856fd75,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_605a109d500945ccaa32,39a79eb9-3da4-5893-9a52-2603df1beffa,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_6200794166484e7a9628,39a79eb9-3da4-5893-9a52-2603df1beffa,age,27.0,0.95,smws,pending,NO_CHANGE
KB_4fa0a75d95eb450392f1,39a79eb9-3da4-5893-9a52-2603df1beffa,abv,47.2,0.95,smws,pending,NO_CHANGE
KB_ae273c87a0c544ea89bc,39a79eb9-3da4-5893-9a52-2603df1beffa,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_1f0e767449fe40d7a99b,5124995e-02aa-5c3a-b755-b47e641297ec,cask_type,first-fill barrel,0.95,smws,pending,NO_CHANGE
KB_73b2e5a42acf4ee4a4eb,5124995e-02aa-5c3a-b755-b47e641297ec,age,11.0,0.95,smws,pending,NO_CHANGE
KB_2145e00af572466a9287,5124995e-02aa-5c3a-b755-b47e641297ec,abv,56.4,0.95,smws,pending,NO_CHANGE
KB_4617c7af343a490bbac9,5124995e-02aa-5c3a-b755-b47e641297ec,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_a77d883f7e0b40fe94be,39151d65-4237-575e-8aa0-06832ae53e48,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_7fe9c5a36e9a4cb8962c,39151d65-4237-575e-8aa0-06832ae53e48,age,21.0,0.95,smws,pending,NO_CHANGE
KB_260d07c6f5624b748b5f,39151d65-4237-575e-8aa0-06832ae53e48,abv,54.3,0.95,smws,pending,NO_CHANGE
KB_cf9ea37713824e779f1f,39151d65-4237-575e-8aa0-06832ae53e48,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_89be8c73b3d44bdab3fb,231a6572-2f51-5c75-96ac-b4c3df886881,cask_type,px;sherry butt,0.95,smws,pending,NO_CHANGE
KB_aeb5b11a06b34f16adc9,231a6572-2f51-5c75-96ac-b4c3df886881,age,15.0,0.95,smws,pending,NO_CHANGE
KB_2735467c8a9043599ec9,231a6572-2f51-5c75-96ac-b4c3df886881,abv,51.5,0.95,smws,pending,NO_CHANGE
KB_e6411ad93ad3483a93af,231a6572-2f51-5c75-96ac-b4c3df886881,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_b60468a5cd1e4d1b9725,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_0adafa050d07471caf82,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,age,22.0,0.95,smws,pending,NO_CHANGE
KB_bb011ca748874729840b,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,abv,56.0,0.95,smws,pending,NO_CHANGE
KB_f7d7bc4c8e1e4bea8cec,8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_5dc7962e49ad42a992a0,b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,cask_type,first-fill barrel,0.95,smws,pending,NO_CHANGE
KB_ec7b1a4e8081455aa482,b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,age,15.0,0.95,smws,pending,NO_CHANGE
KB_813d9925a1b546d39298,b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,abv,55.7,0.95,smws,pending,NO_CHANGE
KB_93ebb9ffff994f7d9981,b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_e2f74cbce27548a9a0ae,50b5141a-ebab-501f-aa51-d3fd7932f699,cask_type,butt;sherry butt,0.95,smws,pending,NO_CHANGE
KB_c6d64be7ecff41489e41,50b5141a-ebab-501f-aa51-d3fd7932f699,age,32.0,0.95,smws,pending,NO_CHANGE
KB_546866b7528f4001bf81,50b5141a-ebab-501f-aa51-d3fd7932f699,abv,62.3,0.95,smws,pending,NO_CHANGE
KB_c91080c118a94ec28bd9,8e6430a0-ce42-54ed-b68f-b238ec0acc3a,cask_type,butt;refill,0.95,smws,pending,NO_CHANGE
KB_a77e5c15bdda4539a318,8e6430a0-ce42-54ed-b68f-b238ec0acc3a,age,16.0,0.95,smws,pending,NO_CHANGE
KB_7bf528e4df944fc3b6c1,8e6430a0-ce42-54ed-b68f-b238ec0acc3a,abv,57.5,0.95,smws,pending,NO_CHANGE
KB_2c3c18f0866849ba93b3,bb7e1cc2-b1ea-5007-9911-c82410d737ca,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_13f5ec8a3cd24b4ba1da,bb7e1cc2-b1ea-5007-9911-c82410d737ca,age,29.0,0.95,smws,pending,NO_CHANGE
KB_a7ce5b7782fb4c0dab70,bb7e1cc2-b1ea-5007-9911-c82410d737ca,abv,57.9,0.95,smws,pending,NO_CHANGE
KB_248ac0c1104d447283e9,de6f75e8-74ba-501c-beda-3658a4df39ea,age,21.0,0.95,smws,pending,NO_CHANGE
KB_7ef03c20f08f453f9922,de6f75e8-74ba-501c-beda-3658a4df39ea,abv,56.1,0.95,smws,pending,NO_CHANGE
KB_b2b73e494b3e42809cde,a72e11d5-2bf8-5544-8feb-803806369af3,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_ec756b9096cb422b865b,a72e11d5-2bf8-5544-8feb-803806369af3,age,16.0,0.95,smws,pending,NO_CHANGE
