queue_id,entity_key,field_name,proposed_value,confidence,source,status,created_at
KB_30b683705c1042c380a2,09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,abv,52.3,0.95,smws,pending,2026-07-16T18:37:31.646810+00:00
KB_bf462c495a4f4fb28260,88035bdd-884f-5488-93f8-c1ffb817364f,abv,52.5,0.95,smws,pending,2026-07-16T18:37:31.595264+00:00
KB_ded1f91393f14c698e13,W001645,abv,65.1,0.95,smws,pending,2026-07-16T18:37:31.655322+00:00
KB_0e345bedae4b4877bc6f,09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,age,24.0,0.95,smws,pending,2026-07-16T18:37:31.646810+00:00
KB_5abf8618f58e44bca9db,666fcc89-034e-57b3-aaa8-c48bab6959e4,age,10.0,0.95,smws,pending,2026-07-16T18:37:31.622268+00:00
KB_8d6944bfa51e44f5b537,W001645,age,9.0,0.95,smws,pending,2026-07-16T18:37:31.655322+00:00
KB_1d7eb4066f8846eaa007,02a86d9a-5af2-5e4a-bb77-9af6fae9f63d,region,Highland,0.95,smws,pending,2026-07-16T18:37:31.604265+00:00
KB_537f60a98a1c49909795,086f622f-b23c-508d-b448-8218aec33aea,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.623268+00:00
KB_380dc4e8678748c589f1,09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,region,Highland,0.95,smws,pending,2026-07-16T18:37:31.646810+00:00
KB_4d689757ae47496981ce,0b9d77e4-659a-59ee-a1a0-c30bc035b351,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.595264+00:00
KB_8836c9ce26f24d89b50a,0db5e21b-c412-51d2-a2dd-74098738ba8b,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.653322+00:00
KB_808cb8361b07465c95af,0f01956b-105b-5d7a-aee4-cfcfcee1bf9b,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.610265+00:00
KB_bbda1bd8d8434601acc7,14b2e951-1feb-51ee-995c-6bcea1f7f7a7,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.616268+00:00
KB_f015b81ddbe64ca28638,14bf995e-4f44-53a0-950d-fb547b537c26,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.610265+00:00
KB_8957134deb684b50ab77,1d7003ff-3292-5775-bc19-8d6beb7f95c0,region,Highland,0.95,smws,pending,2026-07-16T18:37:31.599264+00:00
KB_5e20d1f54d3e4b3baadb,21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.589264+00:00
KB_41556ed078de4e859862,2b28b0ac-5533-57d5-aafb-cd990d7c350f,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.632269+00:00
KB_1e48d6204f5f4f2ebcc9,319488d7-4dee-5391-a1f0-71a6efbd0bf5,region,Lowlands,0.95,smws,pending,2026-07-16T18:37:31.647810+00:00
KB_ecec565305064afab328,32e77202-b5f9-55fa-85cf-3b2e96d47d7c,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.634782+00:00
KB_9c38f58217f14887b8c1,332742fb-7e74-54ea-b106-ef4891386b98,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.643780+00:00
KB_8cd9a9b6c59a47cd858f,33dfae40-73c8-5be1-a67b-5fb91f3fe9a7,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.603264+00:00
KB_000614d315434c628810,361c1dd2-c51e-52bb-a001-2a76e661a567,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.655322+00:00
KB_3ff09ba8eae345078cd5,37b64209-818d-5db8-b702-e4befa51d54e,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.610265+00:00
KB_6bd562ad4cc443f39d5a,383db153-5ff5-55af-b798-483269f9139d,region,Campbeltown,0.95,smws,pending,2026-07-16T18:37:31.644810+00:00
KB_81958ae6239e4f908e4f,39e4c233-0ec9-5d42-9fbe-bf734cee666d,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.592264+00:00
KB_c77681a347fc4f638533,3b9fddcc-d2e8-5b32-b263-19521428b3fb,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.618264+00:00
KB_3b4a7ee2e14b4af88f8e,3f8a6602-ccaf-5f8b-b348-9ce76750afdf,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.603264+00:00
KB_bd5ea6ed0187449d8c89,48b76d49-3cea-56bb-a5ea-02af7c181389,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.595264+00:00
KB_7a9c3628e770428bb1ab,503ce28c-d1ed-54e5-aba5-eeb9bd1d271b,region,Highlands,0.95,smws,pending,2026-07-16T18:37:31.618264+00:00
KB_93b9a897277246e08851,59761d20-d362-5720-ba97-1e8d1bf89362,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.622268+00:00
KB_a5b235ec490b4fd28245,5d3f8399-d8ce-5f0a-b597-db701aefb0f6,region,Islay,0.95,smws,pending,2026-07-16T18:37:31.595264+00:00
