entity_type,field_type,field,preferred_source_order,fallback_chain,verification_source,certification_source,authority_ceiling
distillery,identity,distillery_name,official>regulatory>official_wayback>book,expert_review,regulatory,T1_authoritative,T1_authoritative
distillery,identity,region,official>regulatory>official_wayback>book,expert_review,regulatory,T1_authoritative,T1_authoritative
distillery,identity,country,official>regulatory>official_wayback>book,expert_review,regulatory,T1_authoritative,T1_authoritative
distillery,official_bottling,abv,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
distillery,official_bottling,age_statement,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
distillery,official_bottling,cask_type,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
distillery,sensory_evaluation,nose,expert_review>book,community,book,T2_expert,T2_expert
distillery,sensory_evaluation,palate,expert_review>book,community,book,T2_expert,T2_expert
distillery,sensory_evaluation,finish,expert_review>book,community,book,T2_expert,T2_expert
distillery,sensory_evaluation,flavor_axes,expert_review>book,community,book,T2_expert,T2_expert
distillery,scored_assessment,score,expert_review,community,expert_review,T2_expert,T2_expert
distillery,supporting,community_rating,community,,community,T3_community,T3_community
brand,identity,distillery_name,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
brand,identity,region,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
brand,identity,country,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
brand,official_bottling,abv,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
brand,official_bottling,age_statement,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
brand,official_bottling,cask_type,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
brand,sensory_evaluation,nose,expert_review>book,community,book,T2_expert,T2_expert
brand,sensory_evaluation,palate,expert_review>book,community,book,T2_expert,T2_expert
brand,sensory_evaluation,finish,expert_review>book,community,book,T2_expert,T2_expert
brand,sensory_evaluation,flavor_axes,expert_review>book,community,book,T2_expert,T2_expert
brand,scored_assessment,score,expert_review,community,expert_review,T2_expert,T2_expert
brand,supporting,community_rating,community,,community,T3_community,T3_community
whisky,identity,distillery_name,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
whisky,identity,region,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
whisky,identity,country,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
whisky,official_bottling,abv,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
whisky,official_bottling,age_statement,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
whisky,official_bottling,cask_type,official>official_wayback>regulatory,structured_metadata>book>expert_review,structured_metadata,T1_authoritative,T1_authoritative
whisky,sensory_evaluation,nose,expert_review>book,community,book,T2_expert,T2_expert
whisky,sensory_evaluation,palate,expert_review>book,community,book,T2_expert,T2_expert
whisky,sensory_evaluation,finish,expert_review>book,community,book,T2_expert,T2_expert
whisky,sensory_evaluation,flavor_axes,expert_review>book,community,book,T2_expert,T2_expert
whisky,scored_assessment,score,expert_review,community,expert_review,T2_expert,T2_expert
whisky,supporting,community_rating,community,,community,T3_community,T3_community
bottling,identity,distillery_name,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
bottling,identity,region,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
bottling,identity,country,official>regulatory>official_wayback,book>expert_review,regulatory,T1_authoritative,T1_authoritative
bottling,official_bottling,abv,official>official_wayback>structured_metadata,book>expert_review,expert_review,T1_authoritative,T1_authoritative
bottling,official_bottling,age_statement,official>official_wayback>structured_metadata,book>expert_review,expert_review,T1_authoritative,T1_authoritative
bottling,official_bottling,cask_type,official>official_wayback>structured_metadata,book>expert_review,expert_review,T1_authoritative,T1_authoritative
bottling,sensory_evaluation,nose,expert_review>book,community,book,T2_expert,T2_expert
bottling,sensory_evaluation,palate,expert_review>book,community,book,T2_expert,T2_expert
bottling,sensory_evaluation,finish,expert_review>book,community,book,T2_expert,T2_expert
bottling,sensory_evaluation,flavor_axes,expert_review>book,community,book,T2_expert,T2_expert
bottling,scored_assessment,score,expert_review,community,expert_review,T2_expert,T2_expert
bottling,supporting,community_rating,community,,community,T3_community,T3_community
