entity_type,name,abv,country,region
whisky,The Glendronach Ode To The Valley Single Malt,46.2,Scotland,
whisky,Millstone 10 Year Old Single Malt,43.0,Netherlands,
whisky,Glen Moray Elgin Heritage 15 Year Old Single Malt,40.0,Scotland,
whisky,The Kurayoshi Pure Malt 12 Years Old,43.0,Japan,
whisky,The Glendronach Ode To The Embers Single Malt,48.4,Scotland,
whisky,Bruichladdich Classic Laddie,50.0,Scotland,
whisky,Glen Moray Our Classic Single Malt,40.0,Scotland,
whisky,Islay Mist Mufloni Stout Cask Finish,40.0,Scotland,
whisky,Glenfiddich Single Malt Project XX,47.0,Scotland,
whisky,Kilchoman Sauternes Cask Matured Single Malt,50.0,Scotland,
whisky,J.P. Wisers 10 Year Old Triple Barrel plastic bottle,40.0,Canada,
whisky,Tamnavulin Sherry Cask Single Malt,40.0,Scotland,
whisky,Talisker 10 Year Old Single Malt,45.8,Scotland,
whisky,Evan Williams Bottled-in-Bond,50.0,United States,
whisky,Helsinki Whiskey Rye Malt Islay Whisky Finish Release #18,47.5,Finland,
whisky,Kilchoman Sanaig Cask Strength Single Malt,57.8,Scotland,
whisky,Ballechin 10 YO Heavily Peated,46.0,Scotland,
whisky,Ragtime Rye,45.2,United States,
whisky,The Macallan Rare Cask Single Malt,43.0,Scotland,
whisky,The Octave Single Cask Glenallachie 2008 Single Malt,56.9,Scotland,
whisky,The Famous Grouse,40.0,Scotland,
whisky,Laphroaig Select Single Malt,40.0,Scotland,
whisky,Octomore 16.3 Single Malt,61.6,Scotland,
whisky,Kyrö’s Choice Scottish Peat,53.2,Finland,
whisky,Laphroaig 30 Year Old Single Malt,45.8,Scotland,
whisky,Bowmore 12 Year Old Single Malt,40.0,Scotland,
whisky,Farrell Irish Whiskey,40.0,Ireland,
whisky,Blanton's The Original Single Barrel,46.5,United States,
whisky,The Glenlivet 12 Year Old Single Malt,40.0,Scotland,
whisky,Talisker Storm Single Malt,45.8,Scotland,
whisky,Helsinki Release #24 VYS Single Malt,53.2,Finland,
whisky,Evan William's Single Barrel Vintage,43.3,United States,
whisky,Ardnahoe Infinite Loch,50.0,Scotland,
whisky,Signatory Vintage Benriach 2013 12 YO,57.1,Scotland,
whisky,Benromach Contrasts Peat Smoke Single Malt,46.0,Scotland,
whisky,Cutty Sark Aged 12 Years,40.0,Scotland,
whisky,The Whistler P.X. I Love You Single Malt,46.0,Ireland,
whisky,Compass Box Crimson Casks,46.0,Scotland,
whisky,Glen Scotia VYS Exclusive Cask,59.1,Scotland,
whisky,Aberlour Double Cask Matured 12 Year Old Single Malt,40.0,Scotland,
whisky,Tamdhu 21 Year Old Single Malt,47.5,Scotland,
whisky,The Balvenie 25 Year Old,48.0,Scotland,
whisky,Highland Park 25 Year Old 2022 Release Single Malt,46.0,Scotland,
whisky,The Macallan A Night on Earth in Jerez De La Frontera Single Malt,43.0,Scotland,
