source,source_file,source_row,product_name,distillery_brand_owner,volume,type,country,rating,link,image_url,match_status,matched_id,confidence_score,review_status
whiskynet.pl,catalogue.csv,1,Aberfeldy 12,Aberfeldy Distillery - Aberfeldy,"700 ml, 750 ml",SINGLE MALT,Scotland – Highlands & Islands,79.4,https://whiskynet.pl/en/whisky/aberfeldy-12,https://whiskynet.pl/img/ALL/0034_ALL_M.jpg,HIGH_CONFIDENCE_MATCH,W000651,0.9231,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,2,Aberfeldy 16,Aberfeldy Distillery - Aberfeldy,"700 ml, 750 ml",SINGLE MALT,Scotland – Highlands & Islands,0.0,https://whiskynet.pl/en/whisky/aberfeldy-16,https://whiskynet.pl/img/ALL/00259_ALL_M.jpg,HIGH_CONFIDENCE_MATCH,W000351,0.9231,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,3,Aberfeldy 18 French Red Wine casks from Pauillac,Aberfeldy Distillery - Aberfeldy,"700 ml, 750 ml",SINGLE MALT,Scotland – Highlands & Islands,0.0,https://whiskynet.pl/en/whisky/aberfeldy-18,https://whiskynet.pl/img/ALL/00260_ALL_M.jpg,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,4,Aberlour 12,Aberlour,"700 ml, 750 ml",SINGLE MALT,Scotland – Speyside,83.75,https://whiskynet.pl/en/whisky/aberlour-12,https://whiskynet.pl/img/ALL/0035_ALL_M.jpg,HIGH_CONFIDENCE_MATCH,W000009,0.9565,APPROVED
whiskynet.pl,catalogue.csv,5,Aberlour 16 Double Cask,Aberlour,"700 ml, 750 ml",SINGLE MALT,Scotland – Speyside,0.0,https://whiskynet.pl/en/whisky/aberlour-16-double-cask,https://whiskynet.pl/img/ALL/00261_ALL_M.jpg,FUZZY_MATCH,W000265,0.8214,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,6,Akashi Blended Nas White Oak,A blend of White Oak and other distilleries,"500 ml, 700 ml",BLENDED WHISKY,Japan,0.0,https://whiskynet.pl/en/whisky/akashi-blended-nas-white-oak,https://whiskynet.pl/img/ALL/00111_ALL_M.jpg,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,7,Akashi Red,A blend of White Oak and other distilleries,"500 ml, 700 ml",BLENDED WHISKY,Japan,0.0,https://whiskynet.pl/en/whisky/akashi-red,https://whiskynet.pl/img/ALL/00110_ALL_M.jpg,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,8,Amrut Indian Cask Strength,Amrut Distillery - Amrut,"700 ml, 750 ml",SINGLE MALT,India,0.0,https://whiskynet.pl/en/whisky/amrut-indian-cask-strength,https://whiskynet.pl/img/ALL/00175_ALL_M.jpg,FUZZY_MATCH,W000714,0.8444,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,9,"Amrut Indian Fusion Single 50,0%",Amrut Distillery - Amrut,700 ml,SINGLE MALT,India,0.0,https://whiskynet.pl/en/whisky/amrut-indian-fusion-single-50-0,https://whiskynet.pl/img/ALL/00156_ALL_M.jpg,FUZZY_MATCH,W000822,0.7143,MANUAL_REVIEW
whiskynet.pl,catalogue.csv,10,anCnoc 12,Knockdhu - anCnoc,"700 ml, 750 ml",SINGLE MALT,Scotland – Highlands & Islands,78.0,https://whiskynet.pl/en/whisky/ancnoc-12,https://whiskynet.pl/img/ALL/0078_ALL_M.jpg,HIGH_CONFIDENCE_MATCH,W000770,0.9,MANUAL_REVIEW
