source,source_file,source_row,distillery_name,owner,country,region,location,founded,total_production,type,status,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,distilleries.csv,3,Aberfeldy Distillery,John Dewar & Sons,Scotland,Highland,"Aberfeldy, Highlands",1896,3 500 000,A2 - Alembic,Operational,https://whiskynet.pl/en/distilleries/aberfeldy-distillery,FUZZY_MATCH,D0379,0.8,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,6,Achill Island Distillery,Irish American Trading Company,Ireland,Mayo,"Bunnacurry, Achill Island, Co. Mayo, Ireland (F28 AY75)",2015,?,A2 - Alembic,Operational,https://whiskynet.pl/en/distilleries/achill-island-distillery,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,7,Adelphi,X,Scotland,Lowland,Glasgow,?,X,A2 - Alembic,Closed,https://whiskynet.pl/en/distilleries/adelphi,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,8,Ailsa Bay,William Grant & Sons,Scotland,Lowland,"Girvan, South Ayrshire, Scotland",2009,12 000 000,A2 - Alembic,Operational,https://whiskynet.pl/en/distilleries/ailsa-bay,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,10,Albyn,X,Scotland,Campbeltown,Millknowe,?,X,A2 - Alembic,Closed,https://whiskynet.pl/en/distilleries/albyn,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,12,Amrut Distillery,Amrut Distilleries Pvt. Ltd.,India,Karnataka,"Bengaluru (Bangalore), India",1948,?,"A,C - Alembic & Column",Operational,https://whiskynet.pl/en/distilleries/amrut-distillery,FUZZY_MATCH,D0099,0.8485,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,13,Annandale Distillery,Annandale Distillery Company,Scotland,Lowland,Annan,1836,260 000,A2 - Alembic,Operational,https://whiskynet.pl/en/distilleries/annandale-distillery,FUZZY_MATCH,D1634,0.8163,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,16,Ardgowan,X,Scotland,Lowland,Greenock,2025,X,A2 - Alembic,Closed,https://whiskynet.pl/en/distilleries/ardgowan,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,17,Ardlussa,X,Scotland,Campbeltown,Campbeltown,?,X,A2 - Alembic,Closed,https://whiskynet.pl/en/distilleries/ardlussa,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,distilleries.csv,21,Ardross,Greenwood Distillers,Scotland,Highland,Alness,2019,400 000–500 000,A2 - Alembic,Operational,https://whiskynet.pl/en/distilleries/ardross,NEW,,1.0,MANUAL_REVIEW
