entity_type,name,reason
brand,Adelphi,Cross-Candidate Duplicate
brand,Ailsa Bay,Cross-Candidate Duplicate
brand,Ardross,Cross-Candidate Duplicate
brand,Black Ram,Cross-Candidate Duplicate
brand,Blacks of Kinsale,Cross-Candidate Duplicate
brand,Cabrach,Cross-Candidate Duplicate
brand,Dailuaine,Cross-Candidate Duplicate
brand,Dunphail,Cross-Candidate Duplicate
brand,Glen Stag,Cross-Candidate Duplicate
brand,J.A. Baczewski,Cross-Candidate Duplicate
brand,Killarney,Cross-Candidate Duplicate
brand,Longrow,Cross-Candidate Duplicate
brand,Lux Row Distillers,Cross-Candidate Duplicate
