entity_type,source_row,name,matched_id
whisky,15,Ardbeg An Oa,W001169
whisky,20,Ardbeg Uigeadail,W001095
whisky,22,Ardmore Legacy,W000020
whisky,25,Arran Barrel Reserve,W002575
whisky,31,Auchentoshan American Oak,W000019
whisky,34,Bain's Cape Mountain Whisky,W001308
whisky,44,Ballantine's Finest,W001351
whisky,70,Bruichladdich The Classic Laddie,W001982
whisky,75,Bunnahabhain An Cladach,W003069
whisky,79,Bunnahabhain Toiteach A Dhà,W001985
whisky,85,Bushmills Black Bush,W000353
whisky,88,Canadian Club 100% Rye,W001535
whisky,107,Cutty Sark Prohibition,W001267
whisky,121,Elijah Craig Small Batch,W002193
whisky,151,Glendalough Double Barrel,W001295
whisky,156,Glenfarclas 105,W000199
whisky,177,Glenglassaugh Evolution,W000861
whisky,179,Glenglassaugh Revival,W000384
whisky,184,Glenmorangie Nectar D’Or,W000213
whisky,192,Hankey Bannister Original,W001336
whisky,205,Highland Park Cask Strength Release No. 1,W002283
whisky,217,Jack Daniel's Gentleman Jack,W001814
whisky,218,Jack Daniel's Old No. 7,W001819
whisky,219,Jack Daniel's Single Barrel Select,W001831
whisky,225,Jameson Irish Whiskey,W001340
whisky,227,Jim Beam Devil's Cut,W001809
whisky,229,Jim Beam White Label,W001825
whisky,231,Johnnie Walker Blue Label,W001258
whisky,232,Johnnie Walker Double Black,W001287
whisky,233,Johnnie Walker Gold Label - Reserve,W001293
whisky,236,Johnnie Walker Red Label,W001359
whisky,244,Jura Seven wood,W000377
whisky,255,Kilchoman Sanaig,W001001
whisky,271,Laphroaig Lore,W001206
whisky,275,Laphroaig Select,W000368
whisky,278,Longrow Peated,W001187
whisky,283,Mackmyra MACK,W000895
whisky,284,Mackmyra Svensk Ek,W000779
whisky,298,Oban Little Bay,W001059
whisky,302,Octomore 11.3,W002323
whisky,307,Old Pulteney Huddart,W000781
whisky,332,Suntory Toki,W001328
whisky,334,Talisker Dark Storm,W001024
whisky,335,Talisker Port Ruighe,W000303
whisky,336,Talisker Skye,W000802
whisky,337,Talisker Storm,W001030
whisky,338,Tamnavulin Double Cask,W000023
whisky,355,Tomatin Legacy,W000854
whisky,365,Willett Pot Still Reserve,W001734
whisky,368,Woodford Reserve Distiller's Select,W001775
distillery,0,8 Doors,D1913
distillery,1,Aberargie,D1824
distillery,3,Aberlour,D0001
distillery,4,Abhainn Dearg,D1825
distillery,8,Akkeshi Distillery,D0085
distillery,10,Allt-A-Bhainne,D1827
distillery,13,Arbikie,D1829
distillery,14,Ardbeg,D0991
distillery,17,Ardmore,D0016
distillery,18,Ardnahoe,D1303
distillery,19,Ardnamurchan,D1830
distillery,23,Auchentoshan,D0015
distillery,25,Auchnagie,D0113
distillery,26,Auchroisk,D1831
distillery,29,Aultmore,D1832
distillery,30,Balblair,D1019
distillery,32,Ballindalloch,D1833
distillery,33,Ballykeefe Distillery,D0125
distillery,34,Balmenach,D1834
distillery,35,Balvenie,D1390
distillery,39,Ben Nevis,D1835
distillery,45,Benrinnes,D1784
distillery,49,Blackwater Distillery,D0152
distillery,50,Bladnoch,D1235
distillery,51,Blair Athol,D1837
distillery,53,Bonnington,D1838
distillery,55,Bowmore,D0012
distillery,56,Braeval,D1840
distillery,57,Brora,D1841
distillery,58,Bruichladdich,D1609
distillery,59,Buffalo Trace Distillery,D0059
distillery,60,Bulleit Distilling Co,D0223
distillery,61,Bunnahabhain,D1407
distillery,62,Burn O'Bennie,D1842
distillery,65,Cairn,D1843
distillery,69,Cameronbridge,D1844
distillery,71,Caol Ila,D0996
distillery,73,Cardhu,D1225
distillery,78,Clonakilty Distillery,D0255
distillery,80,Clydeside,D1845
distillery,81,Clynelish,D1114
distillery,85,Cooley Distillery,D0261
distillery,86,Cotswolds Distillery,D0272
distillery,89,Daftmill,D1848
distillery,96,Dalwhinnie,D1229
distillery,98,Deanston,D0009
distillery,101,Dornoch,D1851
distillery,105,Dufftown,D1852
distillery,110,Eden Mill,D1853
distillery,112,Edradour,D1854
distillery,113,Falkirk,D1855
distillery,114,Fettercairn,D1749
distillery,116,Four Roses Distillery,D0060
distillery,121,Girvan,D1856
distillery,124,Glen Elgin,D1857
distillery,126,Glen Garioch,D1401
distillery,127,Glen Grant,D0014
distillery,130,Glen Moray,D1396
distillery,133,Glen Scotia,D0011
distillery,136,Glenallachie,D1012
distillery,142,Glendronach,D1862
distillery,143,Glendullan,D1863
distillery,145,Glenfarclas,D1389
distillery,146,Glenfiddich,D0010
distillery,149,Glenglassaugh,D1864
distillery,150,Glengoyne,D0008
distillery,154,Glenlivet,D1008
distillery,156,Glenlossie,D1866
distillery,158,Glenmorangie,D0013
distillery,159,Glenora Distillery,D0441
distillery,165,Glentauchers,D1868
distillery,166,Glenturret,D1322
distillery,169,GlenWyvis,D1869
distillery,173,Great Northern Distillery,D0457
distillery,179,Hazelburn,D1404
distillery,180,Heaven Hill Distillery,D1641
distillery,182,Highland Park,D1871
distillery,186,Holyrood,D1872
distillery,190,Inchdairnie,D1873
distillery,191,Inchgower,D1874
distillery,192,Invergordon,D1875
distillery,196,Jack Daniel's Distillery,D1655
distillery,203,Kilbeggan Distillery,D0042
distillery,204,Kilchoman,D1121
distillery,208,Kingsbarns,D1879
distillery,209,Kininvie,D1880
distillery,213,Knockando,D1881
distillery,214,Knockdhu,D1882
distillery,219,Lagg,D1883
distillery,221,Laphroaig,D0002
distillery,223,Lindores Abbey,D1884
distillery,224,Linkwood,D1885
distillery,227,Loch Lomond,D1323
distillery,233,Lone Wolf,D0587
distillery,238,Macallan,D1010
distillery,239,Macduff,D1890
distillery,242,Mannochmore,D1891
distillery,249,Miltonduff,D1893
distillery,251,Mortlach,D1222
distillery,254,Nantou Distillery,D0035
distillery,255,Nc’nean,D1892
distillery,258,North British,D1894
distillery,269,Pearse Lyons Distillery,D0697
distillery,272,Pittyvaich,D1221
distillery,273,Port Charlotte,D1315
distillery,275,Port Ellen,D1000
distillery,279,Pulteney,D1896
distillery,285,Roseisle,D1117
distillery,286,Royal Brackla,D1898
distillery,287,Royal Lochnagar,D1899
distillery,292,Scapa,D1900
distillery,298,Shizuoka Distillery,D0772
distillery,301,Speyside,D1902
distillery,302,Spreewood Distillers,D0807
distillery,303,Springbank,D1386
distillery,308,Strathclyde,D1904
distillery,312,Strathmill,D1907
distillery,315,Talisker,D0004
distillery,317,Tamdhu,D1908
distillery,318,Tamnavulin,D0018
distillery,319,Teaninich,D1909
distillery,323,Tipperary Boutique Distillery,D0892
distillery,325,Tobermory,D1326
distillery,326,Tomatin,D1910
distillery,327,Tomintoul,D1011
distillery,328,Torabhaig,D1911
distillery,329,Tormore,D1912
distillery,332,Tullibardine,D1421
distillery,337,West Cork Distillers,D0951
distillery,340,Wild Turkey Distillery,D0046
distillery,341,Willett Distillery,D0047
distillery,342,Wolfburn,D1128
