entity_type,name,reasons
brand,Akashi,production_collision
distillery,Amrut,production_collision
brand,Booker's,production_collision
brand,Bulleit,production_collision
distillery,Bushmills,production_collision
brand,Canadian Club,production_collision
distillery,Chichibu,production_collision
distillery,Chita,production_collision
distillery,Clonakilty,production_collision
brand,Dunvilles,production_collision
brand,Elijah Craig,production_collision
brand,Evan Williams,production_collision
distillery,Four Roses,production_collision
distillery,Glendalough,production_collision
distillery,Hakushu,production_collision
distillery,Heaven Hill,production_collision
brand,Hibiki,production_collision
distillery,Highland Park,production_collision
brand,Indri,production_collision
distillery,Jack Daniel's,production_collision
brand,Jameson,production_collision
distillery,Jim Beam,production_collision
distillery,Kanosuke,production_collision
brand,Knob Creek,production_collision
brand,Mackmyra,production_collision
distillery,Maker's Mark,production_collision
brand,Mars,production_collision
distillery,Midleton,production_collision
brand,Old Fitzgerald,production_collision
distillery,Penderyn,production_collision
brand,Rebel,production_collision
brand,Redbreast,production_collision
distillery,"Shed Distillery, The",production_collision
distillery,Slane,production_collision
distillery,Teeling,production_collision
brand,Togouchi,production_collision
brand,Toki,production_collision
brand,Tullamore Dew,production_collision
distillery,Waterford,production_collision
distillery,Wild Turkey,production_collision
distillery,Woodford Reserve,production_collision
distillery,Yamazaki,production_collision
