entity_type,name,country,region,founded
brand,Abasolo,?,?,?
brand,Aber Falls,?,?,?
brand,Adnams,?,?,?
brand,Ahascragh,?,?,?
brand,Alberta,?,?,?
brand,American Eagle,?,?,?
brand,Amon Amarth,?,?,?
brand,Angel's Envy,?,?,?
brand,Armorik,?,?,?
brand,Athru,?,?,?
brand,Backyard & Co,?,?,?
brand,Bakery Hill,?,?,?
brand,Balcones,?,?,?
distillery,Ballykeefe,Ireland,Kilkenny,2016
brand,Bankhall,?,?,?
brand,Basil Hayden's,?,?,?
brand,Belgrove,?,?,?
brand,Bernheim Original,?,?,?
brand,Berry Bros & Rudd,?,?,?
brand,Bimber,?,?,?
brand,Bivrost,?,?,?
brand,Black Gate,?,?,?
brand,Black Velvet,?,?,?
brand,Blackened,?,?,?
brand,Blanton's,?,?,?
brand,Blood Oath,?,?,?
brand,Blue Spot,?,?,?
brand,Boann,?,?,?
brand,Boulder,?,?,?
brand,Bower Hill,?,?,?
brand,Breckenridge,?,?,?
brand,Brenne,?,?,?
brand,Broger,?,?,?
brand,Brother's Bond,?,?,?
distillery,Buffalo Trace,USA,Kentucky,1775 (1857)
brand,"Busker, The",Ireland,?,?
brand,Cardrona,?,?,?
brand,Celtic Whisky Distillerie,?,?,?
brand,"Cheshire, The",?,?,?
brand,Chief's Son,?,?,?
brand,Chinnery,?,?,?
brand,Coastal Stone,?,?,?
brand,Connacht,?,?,?
brand,Connemara,?,?,?
brand,Copper Fox,?,?,?
brand,Copperworks,?,?,?
brand,Corowa,?,?,?
distillery,Cotswolds,England,Cotswolds,2014
brand,Crown Royal,?,?,?
brand,Da Mhile,?,?,?
brand,Daddy Rack,?,?,?
brand,Destillerie Ralf Hauer,?,?,?
brand,Diddly Squat Farm,?,?,?
brand,Dingle,?,?,?
brand,Doghouse,?,?,?
brand,Don Michael,?,?,?
brand,Dublin's Own,?,?,?
brand,DYC,?,?,?
brand,E.H. Taylor,?,?,?
brand,Eagle Rare,?,?,?
brand,East London Liquor Co.,?,?,?
brand,Egan's,?,?,?
brand,Einar's,?,?,?
brand,Elsburn,?,?,?
brand,Elvis,?,?,?
brand,"English, The",England,?,?
brand,Ezra Brooks,?,?,?
brand,Fary Lochan,?,?,?
brand,Fercullen,?,?,?
brand,FEW,?,?,?
brand,Fielden,?,?,?
brand,Filliers,?,?,?
brand,Fleurieu,?,?,?
brand,Fuji,?,?,?
brand,Garavogue,?,?,?
brand,George Dickel,?,?,?
brand,George T Stagg,?,?,?
brand,Glann ar Mor,?,?,?
brand,Glen Breton,?,?,?
brand,Goalong,?,?,?
brand,Godawan,?,?,?
brand,Gold Spot,?,?,?
brand,"Golden Union, The",?,?,?
brand,"Gospel, The",?,?,?
brand,Grave Digger,?,?,?
brand,Green River,?,?,?
brand,Green Spot,?,?,?
brand,Ha'penny,?,?,?
brand,Hammond's,?,?,?
distillery,Hanyu (silent),Japan,Kantō,1941
brand,Hardenberg,?,?,?
brand,Heaven's Door,?,?,?
brand,Hell's Stone,?,?,?
brand,Hellyers Road,?,?,?
brand,Helsinki Distilling Company,?,?,?
brand,Henstone,?,?,?
brand,High Coast,?,?,?
brand,High West,?,?,?
brand,HighGlen,?,?,?
distillery,Hinch,Northern Ireland,Down,?
brand,Horse With No Name,?,?,?
brand,Hyde,?,?,?
brand,Indiana Rye,?,?,?
brand,Irish Spot,?,?,?
brand,"Irishman, The",?,?,?
brand,James B. Beam Distilling Co.,?,?,?
brand,James E Pepper,?,?,?
brand,Johnny Drum,?,?,?
brand,JP Wiser's,?,?,?
brand,Judas Priest,?,?,?
brand,Kaikyo,?,?,?
brand,Kaiyo,?,?,?
distillery,Karuizawa (silent),Japan,Chūbu,1955/1956
brand,Kavalan,?,?,?
brand,Kentucky Owl,?,?,?
distillery,Kilbeggan,Ireland,Westmeath,1757
brand,Krauss,?,?,?
distillery,Kurayoshi,Japan,Chūgoku,2015
brand,Kyro,?,?,?
brand,"Lakes, The",?,?,?
brand,"Lark Distillery, The",?,?,?
brand,Launceston,?,?,?
brand,Le Breuil,?,?,?
brand,Leiper's Fork,?,?,?
brand,Limeburners,?,?,?
brand,London Distillery Co.,?,?,?
brand,Lot No. 40,?,?,?
brand,Ludlow,?,?,?
brand,Macaloney's,?,?,?
brand,Masthouse,?,?,?
brand,MB Roland,?,?,?
brand,McConnell's,?,?,?
brand,Mccormick,?,?,?
brand,Mercer + Prince,?,?,?
brand,Michter's,?,?,?
brand,Milk & Honey,?,?,?
brand,Morris,?,?,?
brand,Mosgaard,?,?,?
brand,Myken,?,?,?
distillery,Nantou,Taiwan,Nantou,1978 (2008)
brand,Nevada Distilling,?,?,?
brand,New Riff,?,?,?
brand,New York Distilling,?,?,?
brand,Nikka,?,?,?
brand,Nikka Miyagikyo,?,?,?
brand,Nikka Taketsuru,?,?,?
brand,Nikka Yoichi,?,?,?
brand,Okami,?,?,?
brand,Old Forester,?,?,?
brand,Old Grand-Dad,?,?,?
brand,Old Potrero,?,?,?
brand,Ontake,?,?,?
brand,Overeem,?,?,?
brand,Oxford Artisan Whisky,?,?,?
brand,Pappy Van Winkle,?,?,?
brand,Paul John,?,?,?
brand,Peaky Blinders,?,?,?
distillery,Pearse Lyons,Ireland,Dublin,2017
brand,Peerless,?,?,?
brand,Pikesville,?,?,?
brand,"Pogues, The",?,?,?
brand,Pokeno,?,?,?
brand,Powers,?,?,?
brand,Pradlo (Silent),?,?,?
brand,Prakaan,?,?,?
brand,Puni,?,?,?
brand,"Pyrenean Drinks Co., The",?,?,?
brand,Rabbit Hole,?,?,?
brand,Rammstein,?,?,?
brand,Rampur,?,?,?
brand,Rare Hare,?,?,?
brand,Red Bank,?,?,?
brand,Red Spot,?,?,?
brand,Riverbourne,?,?,?
brand,Rosemaund Farm,?,?,?
brand,Sagamore,?,?,?
brand,Sailors Home,?,?,?
brand,Samuel Gelston's,?,?,?
brand,Santis,?,?,?
brand,Sazerac,?,?,?
brand,Scapegrace,?,?,?
brand,Scilly Spirit,?,?,?
brand,Scorpions,?,?,?
brand,Seagram's,?,?,?
brand,Sexton,?,?,?
distillery,Shindo,Japan,Kyūshū,2021
brand,Shinju,?,?,?
distillery,Shinobu,Japan,Chūbu,2016-2017
brand,Shirakawa (Silent),?,?,?
distillery,Shizuoka,Japan,Chūbu,2016
brand,Silkie,?,?,?
brand,SirDavis,?,?,?
brand,Sixtowns,?,?,?
brand,Slyrs,?,?,?
brand,Smogen,?,?,?
brand,Smooth Ambler,?,?,?
brand,Spirit of Birmingham,?,?,?
brand,Spirit of Yorkshire,?,?,?
brand,Stagg Jr,?,?,?
brand,Starward,?,?,?
brand,Stauning,?,?,?
brand,Stork House,?,?,?
