entity_type,name,assigned_id
whisky,Aberfeldy 12,W003558
whisky,Aberfeldy 16,W003559
whisky,Aberfeldy 18 French Red Wine casks from Pauillac,W003560
whisky,Aberlour 12,W003561
whisky,Aberlour 16 Double Cask,W003562
whisky,Akashi Blended Nas White Oak,W003563
whisky,Akashi Red,W003564
whisky,Amrut Indian Cask Strength,W003565
whisky,"Amrut Indian Fusion Single 50,0%",W003566
whisky,anCnoc 12,W003567
whisky,anCnoc 18,W003568
whisky,anCnoc peatheart 46%,W003569
whisky,anCnoc Sherry Cask Finish Peated Edition,W003570
whisky,Ardbeg 10,W003571
whisky,Ardbeg 8Y For Discussion,W003572
whisky,Ardbeg Smoketrails Cote Rotie,W003573
whisky,Ardbeg Spectacular,W003574
whisky,Ardbeg Twenty Something 23YO,W003575
whisky,Ardbeg Wee Beastie 5,W003576
whisky,Arran 10,W003577
whisky,Arran Amarone Cask Finish,W003578
whisky,Arran Port Cask Finish,W003579
whisky,Arran Quarter Cask Whisky 'The Bothy',W003580
whisky,Arran Sauternes Cask Finish,W003581
whisky,Arran Sherry Cask - The Bodega,W003582
whisky,Auchentoshan 12,W003583
whisky,Auchentoshan Blood Oak,W003584
whisky,Baker's 7 Y,W003585
whisky,Balblair 12,W003586
whisky,Balblair 15,W003587
whisky,Balblair 18,W003588
whisky,Ballantine's 10,W003589
whisky,Ballantine's 12,W003590
whisky,Ballantine's 17,W003591
whisky,Ballantine's 21,W003592
whisky,Ballantine's 7,W003593
whisky,Ballantine's Glenburgie 15,W003594
whisky,Ballantine's Glentaucher 15,W003595
whisky,Ballantine's Miltonduff 15,W003596
whisky,Ballyhoo 4,W003597
whisky,Balvenie 12 DoubleWood,W003598
whisky,Balvenie 14 Caribbean Cask,W003599
whisky,Balvenie 16 French Oak,W003600
whisky,Balvenie 21 Port Wood,W003601
whisky,Bearface Elementally Aged,W003602
whisky,Ben Bracken Highland Single Malt Blue,W003603
whisky,Ben Bracken Speyside Single Malt Red,W003604
whisky,BenRiach 10,W003605
whisky,Benriach 10 - The Smoky Ten,W003606
whisky,BenRiach Peated Quarter Cask,W003607
whisky,Benriach The Twelve,W003608
whisky,Benromach 10,W003609
whisky,Benromach 15,W003610
whisky,Benromach Wood Finish Chateau Cissac,W003611
whisky,Black Bottle 10Y,W003612
whisky,Black Bottle Blended Scotch,W003613
whisky,Black Bull Peated,W003614
whisky,Black Ram,W003615
whisky,Blairmhor 8,W003616
whisky,Booker’s Bourbon Kentucky Straight Bourbon 2024-03,W003617
whisky,Bowmore 12,W003618
whisky,Buffalo Trace Kentucky Straight Bourbon Whiskey,W003619
whisky,Bulleit BN 45%,W003620
whisky,Bunnahabhain 12,W003621
whisky,Bunnahabhain 18,W003622
whisky,"Bunnahabhain Fìon Canasta 51,2%",W003623
whisky,Bunnahabhain Moine,W003624
whisky,Bunnahabhain Stiùireadair,W003625
whisky,Bushmills 10,W003626
whisky,Bushmills 12 - Three Woods - 2024,W003627
whisky,Bushmills 12 Causeway Collection,W003628
whisky,Bushmills 14,W003629
whisky,Bushmills 16,W003630
whisky,Bushmills Caribbean Rum,W003631
whisky,Bushmills The Original,W003632
whisky,Canadian Club Classic 12,W003633
whisky,Canadian Club Original 1858,W003634
whisky,Caol Ila 12,W003635
whisky,Cardhu Gold Reserve,W003636
whisky,Cedar Ridge Iowa Bourbon Whiskey,W003637
whisky,Cedar Ridge Malted Rye Whiskey,W003638
whisky,Chivas Regal 12,W003639
whisky,Chivas Regal 18 Gold Signature,W003640
whisky,Chivas Regal Extra,W003641
whisky,Clynelish 14,W003642
whisky,Connemara 12,W003643
whisky,Connemara Distillers Edition,W003644
whisky,Connemara Original,W003645
whisky,Cotswold Single Malt,W003646
whisky,Cotswolds Peated Cask Single Malt,W003647
whisky,Cragganmore 12,W003648
whisky,Cragganmore The Distillers Edition 2023,W003649
whisky,Craigellachie 13,W003650
whisky,Dalmore 12,W003651
whisky,Dalmore 12 Sherry Cask Select,W003652
whisky,Dalmore 15,W003653
whisky,Dalwhinnie 15,W003654
whisky,Darkness Tennessee Rye Whisky 5Y,W003655
whisky,Daviess County Straight Bourbon,W003656
whisky,Daviess County Straight Bourbon Whiskey Finished in Cabernet Sauvignon Casks,W003657
whisky,Deanston 18,W003658
whisky,Dewar's 12 The Ancestor,W003659
whisky,Dewar's White Label Blended Scotch,W003660
whisky,Elements of Islay Pure Islay,W003661
whisky,Elijah Craig 12 Barrel Proof,W003662
whisky,Elijah Craig Small Batch Ryder Cup 94,W003663
whisky,Elijah Craig Straight Rye 94,W003664
whisky,Finlaggan Original,W003665
whisky,Four Roses Kentucky Straight Bourbon,W003666
whisky,Four Roses Single Barrel,W003667
whisky,Four Roses Small Batch,W003668
whisky,Glen Breton Rare 10,W003669
whisky,Glen Garioch 12,W003670
whisky,Glen Keith 21,W003671
whisky,Glen Moray 15,W003672
whisky,Glen Moray Elgin Classic Chardonnay Cask Finish,W003673
whisky,Glen Moray Elgin Hearitage 12,W003674
whisky,Glen Moray Our Classic Smouth & Balanced,W003675
whisky,Glen Moray Peated,W003676
whisky,Glen Moray Port Cask Finish,W003677
whisky,Glen Moray Sherry Cask Finish,W003678
whisky,Glen Scotia Campbeltown Harbour,W003679
whisky,Glen Stag,W003680
whisky,Glen Turner Heritage,W003681
whisky,Glenalba 19,W003682
whisky,Glenallachie 10 batch 10,W003683
whisky,Glenallachie 10 batch 12,W003684
whisky,GlenAllachie 11 Palo Cortado Sherry Cask Matured,W003685
whisky,Glenallachie 12,W003686
whisky,Glenallachie 15,W003687
whisky,Glenallachie 25,W003688
whisky,GlenAllachie 8 - From the Valley of the Rocks,W003689
whisky,Glenallachie 9 Rye Wood Finish,W003690
whisky,Glencadam 10,W003691
whisky,Glendalough Pot Still Peated Irish Whiskey,W003692
whisky,Glendronach 12,W003693
whisky,Glendronach 15 Revival,W003694
whisky,Glenfarclas 10,W003695
whisky,Glenfarclas 12,W003696
whisky,Glenfarclas 15,W003697
whisky,Glenfarclas 18,W003698
whisky,Glenfarclas 8,W003699
whisky,Glenfarclas Heritage,W003700
whisky,Glenfiddich 12,W003701
whisky,Glenfiddich 14 Bourbon Barrel Reserve,W003702
whisky,Glenfiddich 15 Solera,W003703
whisky,Glenfiddich 18,W003704
whisky,Glenfiddich 18 Yeard Old Small Batch Limited Edition,W003705
whisky,Glenfiddich Fire & Cane Experimental series #04,W003706
whisky,Glenfiddich IPA Experimental series #01,W003707
whisky,Glenfiddich Orchard Experimental series #05,W003708
whisky,Glenfiddich Perpetual Collection VAT 01 Smooth & Mellow,W003709
whisky,Glenfiddich Perpetual Collection VAT 02 Rich & Dark,W003710
whisky,Glenfiddich Perpetual Collection VAT 03 Cumulative Time,W003711
whisky,Glenfiddich Perpetual Collection VAT 04 Rich & Complex,W003712
whisky,Glenfiddich Project XX Experimental series #02,W003713
whisky,Glenfiddich Winter Storm Experimental series #03,W003714
whisky,Glenglassaugh 12,W003715
whisky,Glenglassaugh Portsoy,W003716
whisky,Glenlivet 12,W003717
whisky,"Glenlivet Founder's Reserve, The",W003718
whisky,Glenmorangie 10,W003719
whisky,Glenmorangie 12,W003720
whisky,Glenmorangie Quinta Ruban 14,W003721
whisky,Glenmorangie X,W003722
whisky,Gold Bar Original Blended American Whiskey,W003723
whisky,Grand Macnish Blended Scotch Whisky,W003724
whisky,Grant's Triple Wood,W003725
whisky,Greign 20,W003726
whisky,Hankey Bannister 12,W003727
whisky,Hazelburn 10,W003728
whisky,Hazelburn 12,W003729
whisky,Hazelburn 8 Years Old (2025),W003730
whisky,Hibiki Suntory Whisky Japanese Harmony,W003731
whisky,Highland Journey Blended Malt,W003732
whisky,Highland Park 10 Viking Scars,W003733
