entity_type,name,class
whisky,Aberfeldy 12,VERIFIED_NEW
whisky,Aberfeldy 16,VERIFIED_NEW
whisky,Aberfeldy 18 French Red Wine casks from Pauillac,VERIFIED_NEW
whisky,Aberlour 12,VERIFIED_NEW
whisky,Aberlour 16 Double Cask,VERIFIED_NEW
whisky,Akashi Blended Nas White Oak,VERIFIED_NEW
whisky,Akashi Red,VERIFIED_NEW
whisky,Amrut Indian Cask Strength,VERIFIED_NEW
whisky,"Amrut Indian Fusion Single 50,0%",VERIFIED_NEW
whisky,anCnoc 12,VERIFIED_NEW
whisky,anCnoc 18,VERIFIED_NEW
whisky,anCnoc peatheart 46%,VERIFIED_NEW
whisky,anCnoc Sherry Cask Finish Peated Edition,VERIFIED_NEW
whisky,Ardbeg 10,VERIFIED_NEW
whisky,Ardbeg 8Y For Discussion,VERIFIED_NEW
whisky,Ardbeg Smoketrails Cote Rotie,VERIFIED_NEW
whisky,Ardbeg Spectacular,VERIFIED_NEW
whisky,Ardbeg Twenty Something 23YO,VERIFIED_NEW
whisky,Ardbeg Wee Beastie 5,VERIFIED_NEW
whisky,Arran 10,VERIFIED_NEW
whisky,Arran Amarone Cask Finish,VERIFIED_NEW
whisky,Arran Port Cask Finish,VERIFIED_NEW
whisky,Arran Quarter Cask Whisky 'The Bothy',VERIFIED_NEW
whisky,Arran Sauternes Cask Finish,VERIFIED_NEW
whisky,Arran Sherry Cask - The Bodega,VERIFIED_NEW
whisky,Auchentoshan 12,VERIFIED_NEW
whisky,Auchentoshan Blood Oak,VERIFIED_NEW
whisky,Baker's 7 Y,VERIFIED_NEW
whisky,Balblair 12,VERIFIED_NEW
whisky,Balblair 15,VERIFIED_NEW
whisky,Balblair 18,VERIFIED_NEW
whisky,Ballantine's 10,VERIFIED_NEW
whisky,Ballantine's 12,VERIFIED_NEW
whisky,Ballantine's 17,VERIFIED_NEW
whisky,Ballantine's 21,VERIFIED_NEW
whisky,Ballantine's 7,VERIFIED_NEW
