entity_type,name,abv,bottle_size,country,region
whisky,Kamiki Sakura Wood Whisky,48.0,0.5,Japan,
whisky,Kamiki Blended Malt Whisky,48.0,0.5,Japan,
whisky,Watt Whisky Distilled at Strathmill Distillery,56.4,0.7,Scotland,
whisky,Watt Whisky Distilled at Miltonduff Distillery,57.1,0.7,Scotland,
whisky,Mackmyra Svensk Ek Single Malt Whisky,46.1,0.7,Sweden,
whisky,Mackmyra Svensk Rök Single Malt Whisky,46.1,0.7,Sweden,
whisky,Nikka 9 Decades Premimum Blended Whisky,48.0,0.7,Japan,
whisky,Watt Whisky Distilled at Royal Brackla Distillery,57.2,0.7,Scotland,
whisky,Edinburgh Whisky Discovery Collection Speyside 7 YO,46.3,0.7,Scotland,
whisky,Edinburgh Whisky Discovery Collection Islay 9 YO,46.3,0.7,Scotland,
whisky,Nikka Miyagikyo Discovery Peated Single Malt Whisky,48.0,0.7,Japan,
whisky,The Ileach Islay Single Malt Scotch Whisky,40.0,0.7,Scotland,
whisky,Lordly Whisky,40.0,0.7,France,
whisky,Whatt Whisky Distilled at Bunnahabhain Distillery (Staoisha),57.1,0.7,Scotland,
whisky,Robson Canadian Whisky,40.0,0.5,Canada,
whisky,Hiernagla Lotherus whisky,46.0,0.5,Norway,
whisky,Suntory Whisky Toki,43.0,0.7,Japan,
whisky,Black Ram Whisky,40.0,0.7,Bulgaria,
whisky,Stauning Whisky Rye,48.0,0.7,Danmark,
whisky,Fielden Rye Whisky,48.0,0.7,England,
whisky,Canadian Club Whisky (PET),40.0,1.75,Canada,
whisky,Arran 26 Year Old Single Malt Whisky,48.0,0.7,United Kingdom,
whisky,Clynelish 10 Year Old,57.5,0.75,United Kingdom,
whisky,John Walker & Sons King George V Scotch Whisky,43.0,0.75,United Kingdom,
whisky,Crown Royal Whisky,40.0,0.75,Canada,
whisky,Amrut Fusion Single Malt Whisky,50.0,0.7,India,
whisky,Highland Park 15 Year Old,44.0,0.75,United Kingdom,
whisky,The Glenlivet 12 Year Old Single Malt Scotch Whisky,40.0,0.75,United Kingdom,
whisky,Proper No. Twelve,40.0,0.75,Ireland,
whisky,Nikka Whisky Miyagikyo Single Malt,45.0,0.7,Japan,
whisky,The Glenlivet 18YO Single Malt Scotch Whisky,40.0,0.75,United Kingdom,
whisky,The Macallan Double Cask 15 yr,43.0,0.75,United Kingdom,
whisky,The Famous Grouse Scotch Whisky,40.0,1.14,United Kingdom,
whisky,Auchentoshan 12 Year Old Single Malt Scotch Whisky,40.0,0.75,United Kingdom,
whisky,Dewar's Caribbean Smooth Rum Cask Finish,40.0,0.75,United Kingdom,
whisky,Chivas Regal 12 Year Old Scotch Whisky,40.0,1.14,United Kingdom,
whisky,J & B Rare Scotch Whisky,40.0,1.14,United Kingdom,
whisky,The Macallan Harmony 2025 Release,43.9,0.75,United Kingdom,
whisky,The Macallan Distil Your World Mexico,48.0,0.7,United Kingdom,
