whisky_id,whisky_name,old_distillery_id,new_distillery_id,reason
W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)",,D0006,Matched to The Macallan
W000035,balvenie tun 1401 (all batches),,D0007,Matched to The Balvenie
W000059,macallan cask strength,,D0006,Matched to The Macallan
W000092,glenlivet alpha,,D0003,Matched to The Glenlivet
W000100,macallan 10yo sherry oak cask strength,,D0006,Matched to The Macallan
W000105,macallan 18yo sherry oak,,D0006,Matched to The Macallan
W000108,balvenie tun 1509 (all batches),,D0007,Matched to The Balvenie
W000114,glenlivet xxv 25yo,,D0003,Matched to The Glenlivet
W000129,macallan 25yo sherry oak,,D0006,Matched to The Macallan
W000130,macallan reflexion,,D0006,Matched to The Macallan
W000151,glenlivet nadurra 16yo,,D0003,Matched to The Glenlivet
W000168,glenlivet nadurra cask strength (nas),,D0003,Matched to The Glenlivet
W000187,balvenie 21yo port wood,,D0007,Matched to The Balvenie
W000201,macallan classic cut (all editions),,D0006,Matched to The Macallan
W000207,macallan ruby,,D0006,Matched to The Macallan
W000224,macallan rare cask (all batches),,D0006,Matched to The Macallan
W000225,macallan sienna,,D0006,Matched to The Macallan
W000258,balvenie 17yo doublewood,,D0007,Matched to The Balvenie
W000271,macallan 25yo fine oak,,D0006,Matched to The Macallan
W000279,balvenie 16yo triple cask,,D0007,Matched to The Balvenie
W000289,macallan 12yo sherry oak,,D0006,Matched to The Macallan
W000302,macallan 30yo fine oak,,D0006,Matched to The Macallan
W000306,macallan whisky maker's edition,,D0006,Matched to The Macallan
W000312,glenlivet nadurra oloroso,,D0003,Matched to The Glenlivet
W000338,macallan 10yo sherry oak,,D0006,Matched to The Macallan
W000340,balvenie 12yo doublewood,,D0007,Matched to The Balvenie
W000362,balvenie 12yo triple cask,,D0007,Matched to The Balvenie
W000386,macallan select oak,,D0006,Matched to The Macallan
W000422,macallan edition no. 6,,D0006,Matched to The Macallan
W000435,glenlivet nadurra first fill (white oak),,D0003,Matched to The Glenlivet
W000443,macallan edition no. 2,,D0006,Matched to The Macallan
W000451,macallan edition no. 4,,D0006,Matched to The Macallan
W000462,glenlivet 21yo archive (all batches),,D0003,Matched to The Glenlivet
W000477,macallan edition no. 1,,D0006,Matched to The Macallan
W000492,macallan edition no. 3,,D0006,Matched to The Macallan
W000501,balvenie 12yo single barrel,,D0007,Matched to The Balvenie
W000512,macallan 18yo fine oak,,D0006,Matched to The Macallan
W000513,balvenie 25yo single barrel,,D0007,Matched to The Balvenie
W000520,macallan edition no. 5,,D0006,Matched to The Macallan
W000545,glenlivet cipher,,D0003,Matched to The Glenlivet
W000546,glenlivet 18yo,,D0003,Matched to The Glenlivet
W000554,balvenie 14yo carribean cask,,D0007,Matched to The Balvenie
W000579,macallan 21yo fine oak,,D0006,Matched to The Macallan
W000582,macallan 15yo fine oak,,D0006,Matched to The Macallan
W000600,glenlivet captain's reserve,,D0003,Matched to The Glenlivet
W000629,macallan 10yo fine oak,,D0006,Matched to The Macallan
W000634,macallan amber,,D0006,Matched to The Macallan
W000660,glenlivet 12yo,,D0003,Matched to The Glenlivet
W000671,glenlivet founder's reserve,,D0003,Matched to The Glenlivet
W000716,macallan 17yo fine oak,,D0006,Matched to The Macallan
W000719,balvenie 15yo single barrel (cask),,D0007,Matched to The Balvenie
W000794,macallan 12yo fine oak,,D0006,Matched to The Macallan
W000863,macallan gold,,D0006,Matched to The Macallan
W000898,macallan gold double cask,,D0006,Matched to The Macallan
W000977,glenlivet nadurra peated cask finish,,D0003,Matched to The Glenlivet
W001022,balvenie 14yo peat week,,D0007,Matched to The Balvenie
