distillery_id,name,country,region,owner,parent_company,founded_year,founder,status,location,coordinates,official_website,wikidata_id,wikipedia_url,data_confidence,notes_for_review,whisky_com_url,source_metadata_whisky_com_rating,source_metadata_whisky_com_bottle_count
D0001,Aberlour,Scotland,Speyside,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/aberlour.html,,388.0
D0002,Laphroaig,Scotland,Islay,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/laphroaig.html,,562.0
D0003,The Glenlivet,Scotland,Speyside,,,,,,,,,,,high,,,,
D0004,Talisker,Scotland,Islands,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/talisker.html,,338.0
D0005,Midleton,Ireland,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/midleton.html,,268.0
D0006,The Macallan,Scotland,Speyside,,,,,,,,,,,high,,,,
D0007,The Balvenie,Scotland,Speyside,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/balvenie.html,,242.0
D0008,Glengoyne,Scotland,Highland,,,,,,,,,,,high,,,,
D0009,Deanston,Scotland,Highland,,,,,,,,,,,high,,,,
D0010,Glenfiddich,Scotland,Speyside,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/glenfiddich.html,,365.0
D0011,Glen Scotia,Scotland,Campbeltown,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/glen-scotia.html,,227.0
D0012,Bowmore,Scotland,Islay,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/bowmore.html,,614.0
D0013,Glenmorangie,Scotland,Highland,,,,,,,,,,,high,,,,
D0014,Glen Grant,Scotland,Speyside,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/glen-grant.html,,256.0
D0015,Auchentoshan,Scotland,Lowland,,,,,,,,,,,high,,,,
D0016,Ardmore,Scotland,Highland,,,,,,,,,,,high,,,,
D0017,Chivas Brothers,Scotland,Harman,,,,,,,,,,,high,,,,
D0018,Tamnavulin,Scotland,Speyside,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/tamnavulin.html,,61.0
D0019,"Kininvie, Balvenie, Glenfiddich",Scotland,Blended Malt,,,,,,,,,,,high,,,,
D0020,Çeşitli,Scotland,Blended Malt,,,,,,,,,,,high,,,,
D0021,Amrut,India,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/amrut.html,,59.0
D0022,Kavalan,Taiwan,,,,,,,,,,,,high,,,,
D0023,Yamazaki,Japan,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/yamazaki.html,,84.0
D0024,Karuizawa,Japan,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/karuizawa.html,,34.0
D0025,Bushmills,Ireland,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/bushmills.html,,148.0
D0026,Hakushu,Japan,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/hakushu.html,,20.0
D0027,Smögen Whisky,Sweden,,,,,,,,,,,,high,,,,
D0028,Teerenpeli,Finland,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/teerenpeli.html,,26.0
D0029,Ohishi Distillery,Japan,,,,,,,,,,,,high,,,,
D0030,Sullivans Cove,Tasmania,,,,,,,,,,,,high,,,,
D0031,Mackmyra,Sweden,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/mackmyra.html,,211.0
D0032,Penderyn,Wales,,,,,,,,,,,,high,,,,
D0033,Westland Distillery,Usa,,,,,,,,,,,,high,,,,
D0034,Teeling Whiskey Company,Ireland,,,,,,,,,,,,high,,,,
D0035,Nantou Distillery,Taiwan,,,,,,,,,,,,high,,https://www.whisky.com/whisky-database/distilleries/details/nantou-distillery.html,,9.0
