whisky_id,issue,db_name,flavor_csv_name,bottle_name
18,ID did not match but Name matched (Fallback avoided),Auchentoshan American Oak,auchentoshan american oak,Auchentoshan American Oak
23,ID did not match but Name matched (Fallback avoided),Monkey Shoulder,monkey shoulder,Monkey Shoulder
55,ID did not match but Name matched (Fallback avoided),Kavalan Solist Vinho Barrique,kavalan solist vinho barrique,Kavalan Solist Vinho Barrique
86,ID did not match but Name matched (Fallback avoided),Kilchoman Port Cask Matured,kilchoman port cask matured,Kilchoman Port Cask Matured
88,ID did not match but Name matched (Fallback avoided),Amrut Portonova,amrut portonova,Amrut Portonova
96,ID did not match but Name matched (Fallback avoided),Glenmorangie Signet,glenmorangie signet,Glenmorangie Signet
116,ID did not match but Name matched (Fallback avoided),Amrut Kadhambam,amrut kadhambam,Amrut Kadhambam
136,ID did not match but Name matched (Fallback avoided),Kilchoman Loch Gorm,kilchoman loch gorm,Kilchoman Loch Gorm
159,ID did not match but Name matched (Fallback avoided),Glenmorangie Companta,glenmorangie companta,Glenmorangie Companta
171,ID did not match but Name matched (Fallback avoided),Glenfiddich Snow Phoenix,glenfiddich snow phoenix,Glenfiddich Snow Phoenix
195,ID did not match but Name matched (Fallback avoided),Arran Malt Amarone Cask Finish,arran malt amarone cask finish,Arran Amarone Cask Finish
212,ID did not match but Name matched (Fallback avoided),Glenmorangie Nectar d'Or,glenmorangie nectar d'or,Glenmorangie Nectar D'Or
224,ID did not match but Name matched (Fallback avoided),Macallan Sienna,macallan sienna,Macallan Sienna
250,ID did not match but Name matched (Fallback avoided),Ardbeg Galileo,ardbeg galileo,Ardbeg Galileo
266,ID did not match but Name matched (Fallback avoided),Arran Malt Port Cask Finish,arran malt port cask finish,Arran Port Cask Finish
280,ID did not match but Name matched (Fallback avoided),Glenmorangie Quinta Ruban,glenmorangie quinta ruban,Glenmorangie Quinta Ruban
302,ID did not match but Name matched (Fallback avoided),Talisker Port Ruighe,talisker port ruighe,Talisker Port Ruighe
315,ID did not match but Name matched (Fallback avoided),Arran Malt Sherry Single Cask,arran malt sherry single cask,Arran Sherry Single Cask
326,ID did not match but Name matched (Fallback avoided),Highland Park Dark Origins,highland park dark origins,Highland Park Dark Origins
343,ID did not match but Name matched (Fallback avoided),Glenmorangie Lasanta,glenmorangie lasanta,Glenmorangie Lasanta
345,ID did not match but Name matched (Fallback avoided),Bruichladdich Rocks,bruichladdich rocks,Bruichladdich Rocks
352,ID did not match but Name matched (Fallback avoided),Bushmills Black Bush,bushmills black bush,Bushmills Black Bush
359,ID did not match but Name matched (Fallback avoided),Dalmore King Alexander III,dalmore king alexander iii,Dalmore 1263 King Alexander III
369,ID did not match but Name matched (Fallback avoided),Auchentoshan Three Wood,auchentoshan three wood,Auchentoshan Three Wood
385,ID did not match but Name matched (Fallback avoided),Macallan Select Oak,macallan select oak,Macallan Select Oak
436,ID did not match but Name matched (Fallback avoided),Tomatin Decades,tomatin decades,Tomatin Decades
