record_id,record_type,canonical_name,whisky_name,distillery,brand_or_company,country,region,origin_raw,type,class,age_years,age_raw,abv_percent,bottle_size,cask_type,finish_type,smoke_level,peat_level,sweetness,spiciness,body,aroma_tags,nose_notes,palate_notes,finish_notes,pairing_notes,general_notes,user_score_100,meta_critic,score_stdev,review_count,value_score_10,beginner_score_10,cost_tier,super_cluster,cluster,current_price,price_currency,price_date,availability,repeat_buy,overrated,underrated,alternative_suggestions,distillery_status,founded,closed,capacity,spirit_still,wash_still,owner,views,ranking,votes,wishlist,distillery_rating,distillery_whisky_count,collection_count,specialist_count,address,longitude,latitude,source_files,source_match_notes,source_distillery_index,source_tr_tasting_index,source_meta_index,norm_canonical,norm_whisky_name,norm_name
WDB-00001,whisky_product,Aberlour A'bunadh,Aberlour A'bunadh,Aberlour,Aberlour,Scotland,Speyside,İskoçya (Speyside),,,,NAS,,,İlk Dolum İspanyol Oloroso Şeri,,,,,,,,"Bitter çikolata, kuru üzüm pekmezi, portakal kabuğu","Şurup gibi kalın gövde, karanfil, yoğun kuru meyve, yüksek alkol","Çok uzun, dakikalarca süren şeri ve baharat patlaması","Mavi küflü peynir, %70+ bitter çikolata, kalın kesim T-Bone",,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.930,,1,,aberlour a bunadh,aberlour a bunadh,
WDB-00002,whisky_product,Laphroaig The Cask Legacy,Laphroaig The Cask Legacy,Laphroaig,Laphroaig,Scotland,Islay,İskoçya (Islay),,,,NAS,,,Burbon ve Yeni Avrupa Meşesi,,,,,,,,"Tentürdiyot, deniz yosunu, yanık şeker, odun kömürü","Hastanemsi iyot, karamelize koyu meyveler, deri, yoğun turba dumanı","Çok uzun, tuzlu is, ceviz, yağlanmış ahşap","İsli Çerkez peyniri, yoğun tütsülü etler",,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.757,,2,,laphroaig the cask legacy,laphroaig the cask legacy,
WDB-00003,whisky_product,The Glenlivet 15Y French Oak,Glenlivet 15yo French Oak,The Glenlivet,The Glenlivet,Scotland,Speyside,İskoçya (Speyside),Malt,SingleMalt-like,15,15,,,Fransız Limousin Meşesi,,,,,,,,"Olgun armut, krema, tarçın ve karanfil","Tereyağlı doku, Fransız meşesi baharatları, zengin meyve","Uzun, pürüzsüz ve sıcak",Üzerine baharat serpilmiş ızgara tavuk pirzola,,95,8.37,0.27,22,,,$$$$,EF,F,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv;whisky3.csv,meta_match_score=0.980,,3,583,the glenlivet 15y french oak,glenlivet 15yo french oak,
WDB-00004,whisky_product,Talisker 10Y,Talisker 10Y,Talisker,Talisker,Scotland,Islands,İskoçya (Islands),,,10,10,,,Amerikan Meşe,,,,,,,,"Keskin deniz tuzu, okyanus dumanı, istiridye","Yoğun karabiber sıcaklığı, turba dumanı, yağlı doku","Çok uzun, biberli ve sıcak isli",Deniz tuzu ve biberiyeli ızgara hindi külbastı,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.960,,4,,talisker 10y,talisker 10y,
WDB-00005,whisky_product,Redbreast 12Y,Redbreast 12Y,Midleton,Midleton,Ireland,,İrlanda,,,12,12,,,Burbon ve Oloroso Şeri,,,,,,,,"Kompleks meyveler, fırınlanmış elma, hafif baharat","Yağlı pot still dokusu, baharat, kremsi vanilya","Çok uzun, karmaşık baharat dengesi","İsli Çerkez peyniri, çiğ badem",,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.963,,5,,redbreast 12y,redbreast 12y,
WDB-00006,whisky_product,Aberlour Casg Annamh,Aberlour Casg Annamh,Aberlour,Aberlour,Scotland,Speyside,İskoçya (Speyside),Malt,SingleMalt-like,,NAS,,,1 Avrupa Şeri 2 Amerikan Meşe,,,,,,,,"Karanfil, tarçın, kuru üzüm","Yağlı gövde, yoğun zencefil, kuru meyve, güçlü şeri baharatları","Çok uzun, ısıtıcı, meşe ve baharat","İsli Çerkez peyniri, kuru incir, ceviz",,94,8.52,0.31,10,,,$$$$,ABC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv;whisky3.csv,meta_match_score=1.000,,6,277,aberlour casg annamh,aberlour casg annamh,
WDB-00007,whisky_product,Macallan 12Y Double Cask,Macallan 12yo Double Cask,The Macallan,The Macallan,Scotland,Speyside,İskoçya (Speyside),Malt,SingleMalt-like,12,12,,,Amerikan ve Avrupa Şeri,,,,,,,,"Kuru meyveler, dengeli karamel, meşe","Kristal netliğinde vanilya, narenciye, zarif şeri dokunuşu","Uzun, sıcak, kuru meşe ve tatlı baharat",Dışı karabiberle mühürlenmiş dana bonfile,,94,8.42,0.34,15,,,$$$$,EF,E,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv;whisky3.csv,meta_match_score=0.980,,7,564,macallan 12y double cask,macallan 12yo double cask,
WDB-00008,whisky_product,Aberlour 14Y,Aberlour 14Y,Aberlour,Aberlour,Scotland,Speyside,İskoçya (Speyside),,,14,14,,,Burbon ve Oloroso Şeri,,,,,,,,"Siyah kiraz, böğürtlen pekmezi, olgun meşe","İpeksi doku, vanilya kreması, dengeli ve yoğun şeri tatlılığı","Uzun, kadifemsi, çok pürüzsüz",Baharatlı ızgara tavuk pirzola,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.880,,8,,aberlour 14y,aberlour 14y,
WDB-00009,whisky_product,Aberlour 12Y,Aberlour 12Y,Aberlour,Aberlour,Scotland,Speyside,İskoçya (Speyside),,,12,12,,,Burbon ve Oloroso Şeri,,,,,,,,"Tatlı baharatlar, kuru meyveler, elma","Dengeli pekmez, şeri yoğunluğu, hafif çikolata","Orta, şeri tatlılığı, ısıtıcı",Izgara dana antrikot,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.930,,9,,aberlour 12y,aberlour 12y,
WDB-00010,whisky_product,Balvenie 14Y Caribbean Cask,Balvenie 14Y Caribbean Cask,The Balvenie,The Balvenie,Scotland,Speyside,İskoçya (Speyside),,,14,14,,,Burbon + Karayip Romu Bitişli,,,,,,,,"Tropikal meyveler, esmer şeker, yoğun vanilya","Toffee tatlılığı, kremamsı vanilya, sıcak meşe","Uzun, sıcak, tatlı egzotik dokunuşlar","Izgara hindi, hafif baharatlı proteinler",,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whisky2.csv,no_safe_meta_match;best_score=0.945,,10,,balvenie 14y caribbean cask,balvenie 14y caribbean cask,
