whisky_id,old_whisky_id,whisky_name,production_bottle_name,mapped_name,mapping_score,mapping_method,flavor_profile,flavor_vector,flavor_tags,flavor_source,flavor_match_score,flavor_data_confidence,notes_for_review
WDB-00441,W000441,amrut fusion,Amrut Fusion,Amrut Fusion,100,exact,"{""fruity"": 0.0, ""sweet"": 9.0, ""spicy"": 0.0, ""smoky_peaty"": 2.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 7.0}","{""complex"": 1.0, ""mild"": 1.0, ""barley"": 2.0, ""malty"": 1.0, ""sugar"": 1.0, ""tobacco"": 1.0, ""vanilla"": 3.0, ""creamy"": 2.0, ""smokey"": 2.0, ""sweet"": 4.0, ""caramel"": 1.0}","[""sweet"", ""vanilla"", ""barley"", ""creamy"", ""smokey""]",production_data.csv,100,high,MAPPED
WDB-00117,W000117,amrut kadhambam,Amrut Kadhambam,Amrut Kadhambam,100,exact,"{""fruity"": 7.0, ""sweet"": 21.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 4.0, ""floral_herbal"": 0.0, ""malty_cereal"": 19.0}","{""cherry"": 1.0, ""fruity"": 2.0, ""orange"": 2.0, ""raisins"": 2.0, ""old"": 2.0, ""chocolate"": 10.0, ""cocoa"": 2.0, ""toffee"": 2.0, ""coffee"": 2.0, ""vanilla"": 3.0, ""sherry"": 4.0, ""bitter"": 2.0, ""oak"": 2.0, ""rich"": 4.0, ""salty"": 4.0, ""sweet"": 2.0, ""amber"": 3.0, ""caramel"": 2.0}","[""chocolate"", ""sherry"", ""rich"", ""salty"", ""vanilla""]",production_data.csv,100,high,MAPPED
WDB-00089,W000089,amrut portonova,Amrut Portonova,Amrut Portonova,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 2.0, ""floral_herbal"": 0.0, ""malty_cereal"": 8.0}","{""raisins"": 2.0, ""old"": 2.0, ""chocolate"": 2.0, ""tobacco"": 2.0, ""sherry"": 2.0, ""bitter"": 2.0, ""rich"": 2.0, ""spicy"": 1.0, ""sweet"": 3.0, ""caramel"": 1.0}","[""sweet"", ""raisins"", ""old"", ""chocolate"", ""tobacco""]",production_data.csv,100,high,MAPPED
WDB-00822,W000822,amrut indian single malt,Amrut Single Malt Whisky,Amrut Indian Single Malt,100,exact,"{""fruity"": 1.0, ""sweet"": 1.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 4.0}","{""fruity"": 1.0, ""malty"": 2.0, ""bitter"": 2.0, ""sweet"": 1.0}","[""malty"", ""bitter"", ""fruity"", ""sweet""]",production_data.csv,100,high,MAPPED
WDB-01151,W001151,ancnoc rutter,AnCnoc Rutter,AnCnoc Rutter,100,exact,"{""fruity"": 2.0, ""sweet"": 0.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 2.0, ""floral_herbal"": 1.0, ""malty_cereal"": 4.0}","{""apple"": 2.0, ""earthy"": 2.0, ""light"": 4.0, ""floral"": 1.0, ""spices"": 1.0}","[""light"", ""apple"", ""earthy"", ""floral"", ""spices""]",production_data.csv,100,high,MAPPED
WDB-01654,W001654,angel's envy cask strength,Angel's Envy Cask Strength,Angel's Envy Cask Strength,100,exact,"{""fruity"": 0.0, ""sweet"": 13.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 4.0, ""floral_herbal"": 0.0, ""malty_cereal"": 16.0}","{""dry"": 2.0, ""mild"": 2.0, ""butterscotch"": 1.0, ""sugar"": 4.0, ""bitter"": 10.0, ""oak"": 4.0, ""sweet"": 6.0, ""brown"": 2.0, ""caramel"": 2.0}","[""bitter"", ""sweet"", ""sugar"", ""oak"", ""dry""]",production_data.csv,100,high,MAPPED
WDB-01112,W001112,ardbeg alligator,Ardbeg Alligator,Ardbeg Alligator,100,exact,"{""fruity"": 2.0, ""sweet"": 19.0, ""spicy"": 4.0, ""smoky_peaty"": 2.0, ""oak_cask"": 13.0, ""floral_herbal"": 2.0, ""malty_cereal"": 29.0}","{""orange"": 2.0, ""dry"": 10.0, ""earthy"": 1.0, ""cinnamon"": 3.0, ""honey"": 1.0, ""toffee"": 3.0, ""coffee"": 1.0, ""licorice"": 1.0, ""peaty"": 2.0, ""sugar"": 1.0, ""tobacco"": 2.0, ""vanilla"": 4.0, ""wood"": 9.0, ""sherry"": 4.0, ""bitter"": 6.0, ""herbal"": 2.0, ""maple"": 2.0, ""salty"": 7.0, ""sweet"": 6.0, ""brown"": 2.0, ""caramel"": 2.0}","[""dry"", ""wood"", ""salty"", ""bitter"", ""sweet""]",production_data.csv,100,high,MAPPED
WDB-01116,W001116,ardbeg ardbog,Ardbeg Ardbog,Ardbeg Ardbog,100,exact,"{""fruity"": 0.0, ""sweet"": 3.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 2.0, ""floral_herbal"": 0.0, ""malty_cereal"": 3.0}","{""earthy"": 2.0, ""heavy"": 2.0, ""honey"": 2.0, ""sweet"": 1.0, ""brown"": 1.0}","[""earthy"", ""heavy"", ""honey"", ""sweet"", ""brown""]",production_data.csv,100,high,MAPPED
WDB-01164,W001164,ardbeg auriverdes,Ardbeg Auriverdes,Ardbeg Auriverdes,100,exact,"{""fruity"": 2.0, ""sweet"": 19.0, ""spicy"": 4.0, ""smoky_peaty"": 2.0, ""oak_cask"": 13.0, ""floral_herbal"": 2.0, ""malty_cereal"": 29.0}","{""orange"": 2.0, ""dry"": 10.0, ""earthy"": 1.0, ""cinnamon"": 3.0, ""honey"": 1.0, ""toffee"": 3.0, ""coffee"": 1.0, ""licorice"": 1.0, ""peaty"": 2.0, ""sugar"": 1.0, ""tobacco"": 2.0, ""vanilla"": 4.0, ""wood"": 9.0, ""sherry"": 4.0, ""bitter"": 6.0, ""herbal"": 2.0, ""maple"": 2.0, ""salty"": 7.0, ""sweet"": 6.0, ""brown"": 2.0, ""caramel"": 2.0}","[""dry"", ""wood"", ""salty"", ""bitter"", ""sweet""]",production_data.csv,100,high,MAPPED
WDB-01109,W001109,ardbeg corryvreckan,Ardbeg Corryvreckan,Ardbeg Corryvreckan,100,exact,"{""fruity"": 6.0, ""sweet"": 7.0, ""spicy"": 0.0, ""smoky_peaty"": 4.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 17.0}","{""citrus"": 3.0, ""lemon"": 1.0, ""orange"": 2.0, ""complex"": 4.0, ""light"": 5.0, ""smooth"": 1.0, ""peaty"": 4.0, ""vanilla"": 3.0, ""sherry"": 2.0, ""brine"": 2.0, ""salty"": 3.0, ""sweet"": 3.0, ""caramel"": 1.0}","[""light"", ""complex"", ""peaty"", ""citrus"", ""vanilla""]",production_data.csv,100,high,MAPPED
