raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,typo_candidate,suggested_correction
Allt-a-bhainne,16yo/1995,16.0,1995.0,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Allt-a-bhainne,Alte Brennerei,57,No close match found,,
Ancestral,14yo,14.0,,False,40,7,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ancestral,Alt Enderle,50,No close match found,,
Ardbeg,10yo,10.0,,False,46,6,False,"The Ardbeg 10 is extremely peaty, smoky and complex. This whisky is non-chill filtered and comes in at 46%abv. A powerful Islay malt.’ MK",2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg,Ardbeg 21yo,71,No close match found,,
Arran,10yo,10.0,,False,46,6,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Arran,Glan Iarran,62,No close match found,,
Auchroisk,10yo,10.0,,False,43,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchroisk,Auchroisk 10yo (F&F),67,No close match found,,
Auchriosk,10yo/1989,10.0,1989.0,False,60.8,11,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchriosk,Auchroisk 10yo (F&F),59,No close match found,,
Ardmore,1997,,1997.0,False,40,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ardmore,Ardmore Legacy,67,No close match found,,
As we get it,8yo,8.0,,False,58,7,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,As we get it,Matsui The Peated,55,No close match found,,
Balblair,1997,,1997.0,False,46,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balblair,Balblair 1989,76,No close match found,,
Balmenach,15yo/1981,15.0,1981.0,False,61.9,9,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balmenach,Bolanachi,67,No close match found,,
Balvenie D’Wood,12yo,12.0,,False,40,6,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie D’Wood,Balvenie 21yo Port Wood,74,No close match found,,
Balvenie Signature,12yo,12.0,,False,40,6,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie Signature,Jameson Signature Reserve,65,No close match found,,
Balvenie,17yo,17.0,,False,43,10,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie,Brenne,57,No close match found,,
Banff,1976,,1976.0,False,43,11,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Banff,Branger,50,No close match found,,
