raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Allt-a-bhainne,16yo/1995,16.0,1995.0,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Allt-a-bhainne,Alte Brennerei,14,No close match found,,,,,,W001407,lot 40,REJECTED
Ancestral,14yo,14.0,,False,40,7,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ancestral,Alt Enderle,14,No close match found,,,,,,W001407,lot 40,REJECTED
Ardbeg,10yo,10.0,,False,46,6,False,"The Ardbeg 10 is extremely peaty, smoky and complex. This whisky is non-chill filtered and comes in at 46%abv. A powerful Islay malt.’ MK",2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg,Ardbeg 21yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Ardbeg Uigeadail,,,,False,51.2,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg Uigeadail,Ardbeg Uigeadail,14,ABV mismatch or missing,,,WDB-01095,,,W001407,lot 40,REJECTED
Arran,10yo,10.0,,False,46,6,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Arran,Glan Iarran,14,No close match found,,,,,,W001407,lot 40,REJECTED
Auchentoshan,12yo,12.0,,False,40,6,False,Classic lowland distillery just outside Glasgow. The only triple distilled malt. Creates a smooth and delicate malt.’ MK,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,14,Fuzzy match threshold,12.0,,WDB-00018,,,W001407,lot 40,REJECTED
Auchentoshan,18yo,18.0,,False,58.1,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,14,Fuzzy match threshold,12.0,,WDB-00018,,,W001407,lot 40,REJECTED
Auchentoshan,3wood,,,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,14,ABV mismatch or missing,12.0,,WDB-00018,,,W001407,lot 40,REJECTED
Auchroisk,10yo,10.0,,False,43,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchroisk,Auchroisk 10yo (F&F),14,No close match found,,,,,,W001407,lot 40,REJECTED
Auchriosk,10yo/1989,10.0,1989.0,False,60.8,11,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchriosk,Auchroisk 10yo (F&F),14,No close match found,,,,,,W001407,lot 40,REJECTED
Aultmore,12yo,12.0,,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Aultmore,Altore,14,Fuzzy match threshold,,,WDB-01865,,,W001407,lot 40,REJECTED
Ardmore,1997,,1997.0,False,40,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ardmore,Ardmore Legacy,14,No close match found,,,,,,W001407,lot 40,REJECTED
As we get it,8yo,8.0,,False,58,7,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,As we get it,Matsui The Peated,14,No close match found,,,,,,W001407,lot 40,REJECTED
Balblair,1997,,1997.0,False,46,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balblair,Balblair 1989,14,No close match found,,,,,,W001407,lot 40,REJECTED
Balmenach,15yo/1981,15.0,1981.0,False,61.9,9,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balmenach,Bolanachi,14,No close match found,,,,,,W001407,lot 40,REJECTED
Balvenie D’Wood,12yo,12.0,,False,40,6,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie D’Wood,Balvenie 21yo Port Wood,14,No close match found,,,,,,W001407,lot 40,REJECTED
Balvenie Signature,12yo,12.0,,False,40,6,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie Signature,Jameson Signature Reserve,14,No close match found,,,,,,W001407,lot 40,REJECTED
Balvenie,17yo,17.0,,False,43,10,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie,Brenne,14,No close match found,,,,,,W001407,lot 40,REJECTED
Banff,1976,,1976.0,False,43,11,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Banff,Branger,14,No close match found,,,,,,W001407,lot 40,REJECTED
Bennachie,10yo,10.0,,False,40,7,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Bennachie,Bolanachi,14,No close match found,,,,,,W001407,lot 40,REJECTED
