raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,norm_candidate,match1_id,match1_name,match1_ts_ratio,match1_w_ratio,match1_conflicts,match2_id,match2_name,match2_ts_ratio,match2_w_ratio,match2_conflicts,match3_id,match3_name,match3_ts_ratio,match3_w_ratio,match3_conflicts,match4_id,match4_name,match4_ts_ratio,match4_w_ratio,match4_conflicts,match5_id,match5_name,match5_ts_ratio,match5_w_ratio,match5_conflicts,best_match_id,best_match_name,ts_ratio,w_ratio,conflicts,match_status
Allt-a-bhainne,16yo/1995,16.0,1995.0,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Allt-a-bhainne,Alte Brennerei,57,No close match found,,,,,,allt a bhainne,W000126,compass box this is not a luxury whisky,30.188679245283012,85.5,,W000300,glenmorangie a midwinter night’s dram,31.372549019607845,85.5,,W001423,"forty creek confederation oak (batch a, b)",36.0,85.5,,W000248,redbreast mano a lámh,40.0,85.5,,W001193,bunnahabhain toiteach a dha,43.90243902439025,85.5,,W000126,compass box this is not a luxury whisky,30.188679245283012,85.5,,MANUAL_REVIEW
Ancestral,14yo,14.0,,False,40,7,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ancestral,Alt Enderle,50,No close match found,,,,,,ancestral,W001230,compass box the general,37.5,64.28571428571429,,W000754,westland garryana,46.15384615384615,60.00000000000001,,W000965,talisker 8yo (special releases),31.578947368421055,60.00000000000001,,W000184,longrow red 11yo australian shiraz,27.906976744186053,60.00000000000001,,W000256,tamdhu batch strength (all batches),33.33333333333333,60.00000000000001,,W001230,compass box the general,37.5,64.28571428571429,,REJECTED_LOW_SCORE
Ardbeg,10yo,10.0,,False,46,6,False,"The Ardbeg 10 is extremely peaty, smoky and complex. This whisky is non-chill filtered and comes in at 46%abv. A powerful Islay malt.’ MK",2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg,Ardbeg 21yo,71,No close match found,,,,,,ardbeg,W000251,ardbeg galileo,100.0,90.0,,W001094,ardbeg 23yo twenty something,100.0,60.0,,W001095,ardbeg uigeadail,100.0,90.0,,W001097,ardbeg 21yo,100.0,90.0,,W001099,ardbeg 19yo traigh bhan,100.0,90.0,,W000251,ardbeg galileo,100.0,90.0,,HIGH_CONFIDENCE
Ardbeg Uigeadail,,,,False,51.2,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ardbeg Uigeadail,Ardbeg Uigeadail,100,ABV mismatch or missing,,,WDB-01095,,,ardbeg uigeadail,W001095,ardbeg uigeadail,100.0,90.0,,W000251,ardbeg galileo,73.33333333333333,85.5,,W001094,ardbeg 23yo twenty something,54.54545454545455,85.5,,W001099,ardbeg 19yo traigh bhan,54.54545454545455,85.5,,W001106,ardbeg supernova 2014,54.54545454545455,85.5,,W001095,ardbeg uigeadail,100.0,90.0,,HIGH_CONFIDENCE
Arran,10yo,10.0,,False,46,6,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Arran,Glan Iarran,62,No close match found,,,,,,arran,W000078,arran malt 21st anniversary edition,100.0,60.0,,W000193,arran malt sassicaia wine cask finish,100.0,60.0,,W000196,arran malt amarone cask finish,100.0,60.0,,W000235,arran malt madeira wine cask,100.0,60.0,,W000267,arran malt port cask finish,100.0,60.0,,W000078,arran malt 21st anniversary edition,100.0,60.0,,HIGH_CONFIDENCE
Auchentoshan,12yo,12.0,,False,40,6,False,Classic lowland distillery just outside Glasgow. The only triple distilled malt. Creates a smooth and delicate malt.’ MK,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,Fuzzy match threshold,12.0,,WDB-00018,,,auchentoshan,W000018,auchentoshan 12yo,100.0,90.0,,W000019,auchentoshan american oak,100.0,90.0,,W000370,auchentoshan three wood,100.0,90.0,,W000475,auchentoshan 21yo,100.0,90.0,,W000566,auchentoshan bartender's malt,100.0,90.0,,W000018,auchentoshan 12yo,100.0,90.0,,HIGH_CONFIDENCE
Auchentoshan,18yo,18.0,,False,58.1,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,Fuzzy match threshold,12.0,,WDB-00018,,,auchentoshan,W000018,auchentoshan 12yo,100.0,90.0,,W000019,auchentoshan american oak,100.0,90.0,,W000370,auchentoshan three wood,100.0,90.0,,W000475,auchentoshan 21yo,100.0,90.0,,W000566,auchentoshan bartender's malt,100.0,90.0,,W000018,auchentoshan 12yo,100.0,90.0,,HIGH_CONFIDENCE
Auchentoshan,3wood,,,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan,Auchentoshan 12Y,86,ABV mismatch or missing,12.0,,WDB-00018,,,auchentoshan,W000018,auchentoshan 12yo,100.0,90.0,,W000019,auchentoshan american oak,100.0,90.0,,W000370,auchentoshan three wood,100.0,90.0,,W000475,auchentoshan 21yo,100.0,90.0,,W000566,auchentoshan bartender's malt,100.0,90.0,,W000018,auchentoshan 12yo,100.0,90.0,,HIGH_CONFIDENCE
Auchroisk,10yo,10.0,,False,43,9,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchroisk,Auchroisk 10yo (F&F),67,No close match found,,,,,,auchroisk,W000646,auchroisk 10yo (f&f),100.0,90.0,,W000018,auchentoshan 12yo,46.15384615384615,60.00000000000001,,W000019,auchentoshan american oak,41.1764705882353,60.00000000000001,,W000370,auchentoshan three wood,37.5,60.00000000000001,,W000475,auchentoshan 21yo,46.15384615384615,60.00000000000001,,W000646,auchroisk 10yo (f&f),100.0,90.0,,HIGH_CONFIDENCE
Auchriosk,10yo/1989,10.0,1989.0,False,60.8,11,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchriosk,Auchroisk 10yo (F&F),59,No close match found,,,,,,auchriosk,W000646,auchroisk 10yo (f&f),64.0,80.0,,W000018,auchentoshan 12yo,46.15384615384615,60.00000000000001,,W000019,auchentoshan american oak,41.1764705882353,60.00000000000001,,W000370,auchentoshan three wood,37.5,60.00000000000001,,W000475,auchentoshan 21yo,46.15384615384615,60.00000000000001,,W000646,auchroisk 10yo (f&f),64.0,80.0,,MANUAL_REVIEW
