raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,norm_candidate,match1_id,match1_name,match1_ts_ratio,match1_w_ratio,match1_conflicts,match2_id,match2_name,match2_ts_ratio,match2_w_ratio,match2_conflicts,match3_id,match3_name,match3_ts_ratio,match3_w_ratio,match3_conflicts,match4_id,match4_name,match4_ts_ratio,match4_w_ratio,match4_conflicts,match5_id,match5_name,match5_ts_ratio,match5_w_ratio,match5_conflicts,best_match_id,best_match_name,ts_ratio,w_ratio,conflicts,match_status
Allt-a-bhainne,16yo/1995,16.0,1995.0,False,43,8,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Allt-a-bhainne,Alte Brennerei,57,No close match found,,,,,,allt a bhainne,W000126,compass box this is not a luxury whisky,30.188679245283012,85.5,,W000300,glenmorangie a midwinter night’s dram,31.372549019607845,85.5,,W001423,"forty creek confederation oak (batch a, b)",36.0,85.5,,W000248,redbreast mano a lámh,40.0,85.5,,W001193,bunnahabhain toiteach a dha,43.90243902439025,85.5,,W000126,compass box this is not a luxury whisky,30.188679245283012,85.5,,MANUAL_REVIEW
Auchriosk,10yo/1989,10.0,1989.0,False,60.8,11,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Auchriosk,Auchroisk 10yo (F&F),59,No close match found,,,,,,auchriosk,W000646,auchroisk 10yo (f&f),64.0,80.0,,W000018,auchentoshan 12yo,46.15384615384615,60.00000000000001,,W000019,auchentoshan american oak,41.1764705882353,60.00000000000001,,W000370,auchentoshan three wood,37.5,60.00000000000001,,W000475,auchentoshan 21yo,46.15384615384615,60.00000000000001,,W000646,auchroisk 10yo (f&f),64.0,80.0,,MANUAL_REVIEW
Balvenie Signature,12yo,12.0,,False,40,6,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Balvenie Signature,Jameson Signature Reserve,65,No close match found,,,,,,balvenie signature,W000010,balvenie 14y caribbean cask,61.53846153846154,85.5,,W001747,jim beam 12yo signature craft,66.66666666666666,85.5,,W000035,balvenie tun 1401 (all batches),61.53846153846154,85.5,,W000108,balvenie tun 1509 (all batches),61.53846153846154,85.5,,W000187,balvenie 21yo port wood,61.53846153846154,85.5,,W000010,balvenie 14y caribbean cask,61.53846153846154,85.5,,MANUAL_REVIEW
Bowmore Surf,,,,False,40,6,False,Braes of Glenlivet (CS) 10yo 61.7% 12.,3,The_Malt_List.pdf,historical_bar_menu,medium,Bowmore Surf,Bowmore Gold Reef,69,No close match found,,,,,,bowmore surf,W000015,bowmore 12y,77.77777777777777,85.5,,W000053,bowmore springtide,73.6842105263158,85.5,,W000090,bowmore 15yo laimrig,73.6842105263158,85.5,,W000166,bowmore 25yo,73.6842105263158,85.5,,W000219,bowmore 10yo devil's cask (all batches),73.6842105263158,85.5,,W000015,bowmore 12y,77.77777777777777,85.5,,MANUAL_REVIEW
Cameron Brig (grain),,,,False,40,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cameron Brig (grain),Ivy Mountain,53,No close match found,,,,,,cameron brig grain,W001269,teeling single grain (wine cask finish),43.47826086956522,85.5,,W001309,kilbeggan 8yo single grain (greenore),43.47826086956522,85.5,,W001315,suntory the chita single grain,43.47826086956522,85.5,,W001400,gooderham & worts eleven souls four grain (2018),43.47826086956522,85.5,,W001447,gooderham & worts 17yo little trinity three grain (2017),43.47826086956522,85.5,,W001269,teeling single grain (wine cask finish),43.47826086956522,85.5,,MANUAL_REVIEW
Dallas Dhu last cask,1983,,1983.0,False,48,50,False,A bottle filled from the last cask ever filled at the Dallas Dhu distillery in Forres. Closed in 1983 and reopened in 1988 but only as a historic building. A very special malt from a dearly departed distillery.’ MK,5,The_Malt_List.pdf,historical_bar_menu,medium,Dallas Dhu last cask,Kavalan Solist Rum Cask,65,No close match found,,,,,,dallas dhu last cask,W000002,laphroaig the cask legacy,53.333333333333336,85.5,,W000007,macallan 12yo double cask,48.888888888888886,85.5,,W000010,balvenie 14y caribbean cask,38.297872340425535,85.5,,W000022,tamnavulin white wine cask,43.47826086956522,85.5,,W000023,tamnavulin double cask,47.61904761904762,85.5,,W000002,laphroaig the cask legacy,53.333333333333336,85.5,,MANUAL_REVIEW
Edradour (Pitlochry),10yo/1998,10.0,1998.0,False,46,9,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Edradour (Pitlochry),Brauerei Locher,61,No close match found,,,,,,edradour pitlochry,W000633,edradour 10yo,76.19047619047619,85.5,,W001014,edradour ballechin 10yo,61.53846153846154,85.5,,W001587,rich and rare,51.61290322580645,46.03846153846154,,,,,,,,,,,,W000633,edradour 10yo,76.19047619047619,85.5,,MANUAL_REVIEW
Faculty of Advocates,8yo,8.0,,False,40,7,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Faculty of Advocates,Gutshof Andres,53,No close match found,,,,,,faculty of advocates,W000240,compass box the story of the spaniard,41.509433962264154,85.5,,W000292,spirit of hven sankt claus,39.130434782608695,85.5,,W000323,glenfiddich 19yo age of discovery (madeira cask),30.303030303030297,85.5,,W000497,glenfiddich 19yo age of discovery (bourbon cask),33.33333333333333,85.5,,W000498,glenfiddich cask of dreams,43.47826086956522,85.5,,W000240,compass box the story of the spaniard,41.509433962264154,85.5,,MANUAL_REVIEW
Glen Albyn,21yo,21.0,,False,40,40,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Albyn,Glen Els,67,No close match found,,,,,,glen albyn,W000014,glen scotia 10y,57.142857142857146,85.5,,W000017,glen grant 10yo,57.142857142857146,85.5,,W000365,glen scotia double cask,57.142857142857146,85.5,,W000450,glen grant 25yo,57.142857142857146,85.5,,W000467,glen grant five decades,57.142857142857146,85.5,,W000014,glen scotia 10y,57.142857142857146,85.5,,MANUAL_REVIEW
Glen Avon,8yo,8.0,,False,40,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Avon,Glen Els,59,No close match found,,,,,,glen avon,W000014,glen scotia 10y,61.53846153846154,85.5,,W000017,glen grant 10yo,61.53846153846154,85.5,,W000365,glen scotia double cask,61.53846153846154,85.5,,W000450,glen grant 25yo,61.53846153846154,85.5,,W000467,glen grant five decades,61.53846153846154,85.5,,W000014,glen scotia 10y,61.53846153846154,85.5,,MANUAL_REVIEW
Glendronach (Huntly),8yo,8.0,,False,40,20,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendronach (Huntly),GlenDronach Peated,72,No close match found,,,,,,glendronach huntly,W000055,glendronach cask strength (batch 1),75.86206896551724,85.5,,W000058,glendronach cask strength (batch 2),75.86206896551724,85.5,,W000067,glendronach vintage 20yo single cask (all vintages),75.86206896551724,85.5,,W000083,glendronach vintage 19yo single cask (all vintages),75.86206896551724,85.5,,W000109,glendronach cask strength (batch 4),75.86206896551724,85.5,,W000055,glendronach cask strength (batch 1),75.86206896551724,85.5,,MANUAL_REVIEW
Glen Forres,8yo,8.0,,False,40,6,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forres,Glen Els,74,No close match found,,,,,,glen forres,W000014,glen scotia 10y,53.333333333333336,85.5,,W000017,glen grant 10yo,53.84615384615385,85.5,,W000365,glen scotia double cask,53.333333333333336,85.5,,W000450,glen grant 25yo,53.84615384615385,85.5,,W000467,glen grant five decades,53.333333333333336,85.5,,W000014,glen scotia 10y,53.333333333333336,85.5,,MANUAL_REVIEW
Glen Forsa,12yo,12.0,,False,43,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forsa,Glen Els,67,No close match found,,,,,,glen forsa,W000014,glen scotia 10y,57.142857142857146,85.5,,W000017,glen grant 10yo,64.0,85.5,,W000365,glen scotia double cask,57.142857142857146,85.5,,W000450,glen grant 25yo,64.0,85.5,,W000467,glen grant five decades,57.142857142857146,85.5,,W000014,glen scotia 10y,57.142857142857146,85.5,,MANUAL_REVIEW
Glen Mhor,1980,,1980.0,False,43,12,False,,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,67,No close match found,,,,,,glen mhor,W000014,glen scotia 10y,61.53846153846154,85.5,,W000017,glen grant 10yo,61.53846153846154,85.5,,W000365,glen scotia double cask,61.53846153846154,85.5,,W000450,glen grant 25yo,61.53846153846154,85.5,,W000467,glen grant five decades,61.53846153846154,85.5,,W000014,glen scotia 10y,61.53846153846154,85.5,,MANUAL_REVIEW
