raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,norm_candidate,match1_id,match1_name,match1_ts_ratio,match1_w_ratio,match1_conflicts,match2_id,match2_name,match2_ts_ratio,match2_w_ratio,match2_conflicts,match3_id,match3_name,match3_ts_ratio,match3_w_ratio,match3_conflicts,match4_id,match4_name,match4_ts_ratio,match4_w_ratio,match4_conflicts,match5_id,match5_name,match5_ts_ratio,match5_w_ratio,match5_conflicts,best_match_id,best_match_name,ts_ratio,w_ratio,conflicts,match_status
Ancestral,14yo,14.0,,False,40,7,False,,2,The_Malt_List.pdf,historical_bar_menu,medium,Ancestral,Alt Enderle,50,No close match found,,,,,,ancestral,W001230,compass box the general,37.5,64.28571428571429,,W000754,westland garryana,46.15384615384615,60.00000000000001,,W000965,talisker 8yo (special releases),31.578947368421055,60.00000000000001,,W000184,longrow red 11yo australian shiraz,27.906976744186053,60.00000000000001,,W000256,tamdhu batch strength (all batches),33.33333333333333,60.00000000000001,,W001230,compass box the general,37.5,64.28571428571429,,REJECTED_LOW_SCORE
As we get it,8yo,8.0,,False,58,7,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,As we get it,Matsui The Peated,55,No close match found,,,,,,as we get it,W001257,compass box great king st artist's blend,34.61538461538461,57.0,,W000810,wemyss malts the hive,42.42424242424242,57.0,,W001064,wemyss malts peat chimney,43.24324324324324,57.0,,W001194,big peat christmas edition (all editions),39.21568627450981,57.0,,W001219,kilchoman winter 2010 release,34.14634146341463,57.0,,W001257,compass box great king st artist's blend,34.61538461538461,57.0,,REJECTED_LOW_SCORE
Balmenach,15yo/1981,15.0,1981.0,False,61.9,9,True,,2,The_Malt_List.pdf,historical_bar_menu,medium,Balmenach,Bolanachi,67,No close match found,,,,,,balmenach,W001176,bunnahabhain ceòbanach,38.70967741935484,72.0,,W000111,benriach 35yo,54.54545454545455,63.52941176470588,,W000143,benriach 18yo latada,41.37931034482759,63.52941176470588,,W000239,benriach 21yo tawny port finish,30.0,63.52941176470588,,W000334,benriach 15yo tawny port finish,30.0,63.52941176470588,,W001176,bunnahabhain ceòbanach,38.70967741935484,72.0,,REJECTED_LOW_SCORE
Banff,1976,,1976.0,False,43,11,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Banff,Branger,50,No close match found,,,,,,banff,W000952,oban 21yo,42.857142857142854,64.125,,W000985,oban 18yo,42.857142857142854,64.125,,W001053,oban 14yo,42.857142857142854,64.125,,W001059,oban little bay,30.0,64.125,,W001280,blandnoch pure scot,25.0,60.00000000000001,,W000952,oban 21yo,42.857142857142854,64.125,,REJECTED_LOW_SCORE
Bennachie,10yo,10.0,,False,40,7,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Bennachie,Bolanachi,67,No close match found,,,,,,bennachie,W000850,glenkinchie 12yo,56.0,70.00000000000001,,W000736,stronachie 18yo,50.0,68.4,,W000806,stronachie 10yo,50.0,68.4,,W000856,stronachie 12yo,50.0,68.4,,W000111,benriach 35yo,54.54545454545455,63.52941176470588,,W000850,glenkinchie 12yo,56.0,70.00000000000001,,REJECTED_LOW_SCORE
Bennachie,17yo,17.0,,False,40,8,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Bennachie,Bolanachi,67,No close match found,,,,,,bennachie,W000850,glenkinchie 12yo,56.0,70.00000000000001,,W000736,stronachie 18yo,50.0,68.4,,W000806,stronachie 10yo,50.0,68.4,,W000856,stronachie 12yo,50.0,68.4,,W000111,benriach 35yo,54.54545454545455,63.52941176470588,,W000850,glenkinchie 12yo,56.0,70.00000000000001,,REJECTED_LOW_SCORE
Caperdonich,1994,,1994.0,False,46,8,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Caperdonich,Lobangernich,61,No close match found,,,,,,caperdonich,W000466,bruichladdich 21yo cuvée 640 eroica,30.434782608695656,59.85,,W000868,cardhu amber rock,42.857142857142854,56.25,,W000875,cardhu 12yo,45.45454545454545,56.25,,W001511,prichard’s rye,40.0,56.25,,W000844,st george's chapter 6 (unpeated),34.14634146341463,54.4090909090909,,W000466,bruichladdich 21yo cuvée 640 eroica,30.434782608695656,59.85,,REJECTED_LOW_SCORE
Coleburn,1981,,1981.0,False,43,11,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Coleburn,Limeburners,63,No close match found,,,,,,coleburn,W000831,wolfburn (nas),60.0,68.4,,W000874,speyburn 10yo,57.142857142857146,61.07142857142858,,W000837,high coast (box) quercus i robur,31.578947368421055,60.00000000000001,,W000655,glenburgie 10yo (gordon & macphail),35.8974358974359,60.00000000000001,,W001726,corner creek reserve bourbon,22.22222222222223,60.00000000000001,,W000831,wolfburn (nas),60.0,68.4,,REJECTED_LOW_SCORE
Convalmore,1981,,1981.0,False,40,10,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Convalmore,Dalmore 18yo,64,No close match found,,,,,,convalmore,W000311,dalmore 18yo,63.63636363636363,64.125,,W000347,dalmore 15yo,63.63636363636363,64.125,,W000608,dalmore 12yo,63.63636363636363,64.125,,W000274,dalmore port wood reserve,34.28571428571429,63.52941176470588,,W000337,dalmore cigar malt,50.0,63.52941176470588,,W000311,dalmore 18yo,63.63636363636363,64.125,,REJECTED_LOW_SCORE
Glenallachie,1989,,1989.0,False,62.5,8,True,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenallachie,Glen Kella,64,No close match found,,,,,,glenallachie,W000436,craigellachie 23yo,60.0,73.28571428571429,,W000535,craigellachie 17yo,60.0,73.28571428571429,,W000602,craigellachie 14yo,60.0,73.28571428571429,,W000800,craigellachie 13yo,60.0,73.28571428571429,,W000335,glentauchers 1991 18yo (gordon & macphail),36.0,65.45454545454547,,W000436,craigellachie 23yo,60.0,73.28571428571429,,REJECTED_LOW_SCORE
