whisky_id,historical_menu_price,source,currency
W000251,6,The_Malt_List.pdf,GBP
W001095,8,The_Malt_List.pdf,GBP
W000078,6,The_Malt_List.pdf,GBP
W000018,6,The_Malt_List.pdf,GBP
W000018,9,The_Malt_List.pdf,GBP
W000018,8,The_Malt_List.pdf,GBP
W000646,9,The_Malt_List.pdf,GBP
W000427,8,The_Malt_List.pdf,GBP
W000020,9,The_Malt_List.pdf,GBP
W000146,9,The_Malt_List.pdf,GBP
W000187,6,The_Malt_List.pdf,GBP
W000010,10,The_Malt_List.pdf,GBP
W000132,10,The_Malt_List.pdf,GBP
W000373,8,The_Malt_List.pdf,GBP
W000074,6,The_Malt_List.pdf,GBP
W000567,6,The_Malt_List.pdf,GBP
W000082,9,The_Malt_List.pdf,GBP
W000082,9,The_Malt_List.pdf,GBP
W000015,7,The_Malt_List.pdf,GBP
W000015,12,The_Malt_List.pdf,GBP
W001092,10,The_Malt_List.pdf,GBP
W000964,6,The_Malt_List.pdf,GBP
W000346,6,The_Malt_List.pdf,GBP
W001172,11,The_Malt_List.pdf,GBP
W000445,8,The_Malt_List.pdf,GBP
W000868,12,The_Malt_List.pdf,GBP
W000868,17,The_Malt_List.pdf,GBP
W000476,7,The_Malt_List.pdf,GBP
W000409,6,The_Malt_List.pdf,GBP
W000409,7,The_Malt_List.pdf,GBP
W000274,7,The_Malt_List.pdf,GBP
W000274,9,The_Malt_List.pdf,GBP
W000337,6,The_Malt_List.pdf,GBP
W000297,6,The_Malt_List.pdf,GBP
W001221,8,The_Malt_List.pdf,GBP
W000655,10,The_Malt_List.pdf,GBP
W000655,8,The_Malt_List.pdf,GBP
W000655,12,The_Malt_List.pdf,GBP
W000242,11,The_Malt_List.pdf,GBP
W000669,7,The_Malt_List.pdf,GBP
W000565,8,The_Malt_List.pdf,GBP
W000588,9,The_Malt_List.pdf,GBP
W000029,7,The_Malt_List.pdf,GBP
W000029,9,The_Malt_List.pdf,GBP
W000199,7,The_Malt_List.pdf,GBP
W000013,7,The_Malt_List.pdf,GBP
W000563,7,The_Malt_List.pdf,GBP
W000877,9,The_Malt_List.pdf,GBP
W000032,9,The_Malt_List.pdf,GBP
W000032,14,The_Malt_List.pdf,GBP
W000789,7,The_Malt_List.pdf,GBP
W000222,7,The_Malt_List.pdf,GBP
W001074,6,The_Malt_List.pdf,GBP
W001254,8,The_Malt_List.pdf,GBP
W000891,6,The_Malt_List.pdf,GBP
W000087,7,The_Malt_List.pdf,GBP
W000634,6,The_Malt_List.pdf,GBP
W000863,6,The_Malt_List.pdf,GBP
W000007,15,The_Malt_List.pdf,GBP
W000034,7,The_Malt_List.pdf,GBP
W000669,9,The_Malt_List.pdf,GBP
W000826,7,The_Malt_List.pdf,GBP
W000663,8,The_Malt_List.pdf,GBP
W000216,7,The_Malt_List.pdf,GBP
W000216,10,The_Malt_List.pdf,GBP
W000216,8,The_Malt_List.pdf,GBP
W000216,9,The_Malt_List.pdf,GBP
W000229,6,The_Malt_List.pdf,GBP
W000229,7,The_Malt_List.pdf,GBP
W000431,6,The_Malt_List.pdf,GBP
W000431,6,The_Malt_List.pdf,GBP
W000170,10,The_Malt_List.pdf,GBP
W000170,12,The_Malt_List.pdf,GBP
W000374,6,The_Malt_List.pdf,GBP
W000617,9,The_Malt_List.pdf,GBP
W000064,9,The_Malt_List.pdf,GBP
W000321,20,The_Malt_List.pdf,GBP
W000321,6,The_Malt_List.pdf,GBP
W000076,7,The_Malt_List.pdf,GBP
W000076,9,The_Malt_List.pdf,GBP
