malt_list_candidate_name,matched_master_whisky_id,historical_menu_price,currency,volume_context,can_be_current_price,price_source,price_context
Ardbeg,W000251,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Ardbeg Uigeadail,W001095,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Arran,W000078,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Auchentoshan,W000018,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Auchentoshan,W000018,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Auchentoshan,W000018,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Auchroisk,W000646,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Aultmore,W000427,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Ardmore,W000020,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Balblair,W000146,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Balvenie D’Wood,W000187,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Balvenie,W000010,10,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Ben Nevis,W000132,10,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Benrinnes,W000373,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Benromach,W000074,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Benromach Organic,W000567,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bladnoch,W000082,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bladnoch,W000082,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bowmore,W000015,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bowmore,W000015,12,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Brora,W001092,10,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bruichladdich,W000964,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bruichladdich Rocks,W000346,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Bruichladdich Octomore 06.1,W001172,11,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
