whisky_id,master_name,malt_list_name,historical_menu_price,currency,pour_size_ml,price_context,source_name,source_file,source_confidence,match_score,risk_level,import_recommendation
W000251,ardbeg galileo,Ardbeg,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000078,arran malt 21st anniversary edition,Arran,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000018,auchentoshan 12yo,Auchentoshan,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000427,aultmore 25yo,Aultmore,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000020,ardmore legacy,Ardmore,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000146,balblair 1990 (all releases),Balblair,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000010,balvenie 14y caribbean cask,Balvenie,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000132,ben nevis 10yo (post-2017),Ben Nevis,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000074,benromach 10yo cask strength (100 proof),Benromach,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000082,bladnoch 12yo sherry cask (sheep label),Bladnoch,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000082,bladnoch 12yo sherry cask (sheep label),Bladnoch,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000082,bladnoch 12yo sherry cask (sheep label),Bladnoch,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000082,bladnoch 12yo sherry cask (sheep label),Bladnoch,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000015,bowmore 12y,Bowmore,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
