pattern_matched,filename,full_path,row_count,columns,size_bytes
*.zip,3270754484.zip,C:\Users\eltun\Documents\3270754484.zip,,,1904596
*tasting_notes*.csv,33_tasting_notes_candidate.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\33_tasting_notes_candidate.csv,25,whisky_id|normalized_name|distillery_id|source_url|source_name|data_confidence|notes_for_review|nose_notes|palate_notes|finish_notes|aroma_tags,4868
*import_ready_distilleries*.csv,34_import_ready_distilleries.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\34_import_ready_distilleries.csv,990,distillery_id|name|country|region|owner|parent_company|founded_year|founder|status|location|coordinates|official_website|wikidata_id|wikipedia_url|data_confidence|notes_for_review,54700
*import_ready_whiskies*.csv,35_import_ready_whiskies.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\35_import_ready_whiskies.csv,2986,whisky_id|name|original_name|distillery_id|country|region|type|age|age_statement|nas|abv|bottle_size|cask_type|finish_type|cask_strength|meta_critic_score|user_score|data_confidence|completed_fields|notes_for_review,320708
*tasting_notes*.csv,37_import_ready_tasting_notes.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\37_import_ready_tasting_notes.csv,25,whisky_id|normalized_name|distillery_id|source_url|source_name|data_confidence|notes_for_review|nose_notes|palate_notes|finish_notes|aroma_tags,4868
*import_ready_whiskies*.csv,39_corrected_import_ready_whiskies.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\39_corrected_import_ready_whiskies.csv,1829,whisky_id|name|original_name|distillery_id|country|region|type|age|age_statement|nas|abv|bottle_size|cask_type|finish_type|cask_strength|meta_critic_score|user_score|data_confidence|completed_fields|notes_for_review,203424
*import_ready_distilleries*.csv,40_corrected_import_ready_distilleries.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\40_corrected_import_ready_distilleries.csv,990,distillery_id|name|country|region|owner|parent_company|founded_year|founder|status|location|coordinates|official_website|wikidata_id|wikipedia_url|data_confidence|notes_for_review,54700
*import_ready_whiskies*.csv,54_FINAL_import_ready_whiskies.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\54_FINAL_import_ready_whiskies.csv,1829,whisky_id|name|original_name|distillery_id|country|region|type|age|age_statement|nas|abv|bottle_size|cask_type|finish_type|cask_strength|meta_critic_score|user_score|data_confidence|completed_fields|notes_for_review|brand,232128
*55_final_import_ready_distilleries.csv,55_FINAL_import_ready_distilleries.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\55_FINAL_import_ready_distilleries.csv,990,distillery_id|name|country|region|owner|parent_company|founded_year|founder|status|location|coordinates|official_website|wikidata_id|wikipedia_url|data_confidence|notes_for_review,54700
*tasting_notes*.csv,56_FINAL_import_ready_tasting_notes.csv,C:\Users\eltun\Documents\antigravity\radiant-bardeen\output\56_FINAL_import_ready_tasting_notes.csv,25,whisky_id|normalized_name|distillery_id|source_url|source_name|data_confidence|notes_for_review|nose_notes|palate_notes|finish_notes|aroma_tags,4868
