whisky_id,whisky_name,distillery_name,category,region,country,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,quality_flags,review_decision,review_note
W000001,aberlour a'bunadh,Aberlour,Unknown,Speyside,Unknown,18.0,5.0,0.0,0.0,6.0,high,exact,ok,approved,
W000042,aberlour a'bunadh (batch 40),Aberlour,Malt,Speyside,Unknown,28.0,23.0,0.0,22.0,0.0,high,exact,ok,approved,
W000060,aberlour a'bunadh (batch 39),Aberlour,Malt,Speyside,Unknown,28.0,23.0,0.0,22.0,0.0,high,exact,ok,approved,
W000077,aberlour a'bunadh (batch 45),Aberlour,Malt,Speyside,Unknown,1.0,4.0,0.0,1.0,1.0,high,exact,ok,approved,
W000088,aberlour a'bunadh (batch 36),Aberlour,Malt,Speyside,Unknown,28.0,23.0,0.0,22.0,0.0,high,exact,ok,approved,
W000094,aberlour a'bunadh (batch 42),Aberlour,Malt,Speyside,Unknown,2.0,14.0,0.0,1.0,1.0,high,exact,ok,approved,
W000124,aberlour a'bunadh (batch 46),Aberlour,Malt,Speyside,Unknown,0.0,1.0,0.0,4.0,0.0,high,exact,ok,approved,
W000131,aberlour a'bunadh (batch 47),Aberlour,Malt,Speyside,Unknown,3.0,4.0,0.0,5.0,0.0,high,exact,ok,approved,
W000714,amrut cask strength,Amrut,Malt,Unknown,Unknown,7.0,15.0,0.0,7.0,12.0,high,exact,ok,approved,
W001030,talisker storm,Talisker,Malt,Islands,Unknown,2.0,8.0,0.0,5.0,0.0,high,exact,ok,approved,
W001102,laphroaig cairdeas 2015,Laphroaig,Malt,Islay,Unknown,2.0,1.0,1.0,1.0,0.0,high,exact,ok,approved,
W001110,amrut peated cask strength,Amrut,Malt,Unknown,Unknown,2.0,2.0,0.0,0.0,0.0,high,exact,ok,approved,
W001132,laphroaig cairdeas 2014 amontillado,Laphroaig,Malt,Islay,Unknown,7.0,21.0,12.0,7.0,3.0,high,exact,ok,approved,
W001241,high west campfire,High West Distillery,Blend,Unknown,Unknown,5.0,10.0,0.0,8.0,5.0,high,exact,ok,approved,
W001437,high west bourye,High West Distillery,Blend,Unknown,Unknown,0.0,2.0,0.0,2.0,2.0,high,exact,ok,approved,
W001485,alberta premium dark horse,Dark Horse,Blend,Unknown,Unknown,0.0,6.0,0.0,3.0,1.0,high,exact,ok,manual_review,"entity_normalization_review: whisky is Alberta Premium Dark Horse; correct distillery appears to be Alberta Distillers Ltd., not Dark Horse. Verify before import."
W001513,high west son of bourye,High West Distillery,Blend,Unknown,Unknown,0.0,0.0,0.0,2.0,1.0,high,exact,ok,approved,
W001735,jack daniel's single barrel,Jack Daniel'S,Bourbon,Unknown,Unknown,0.0,14.0,0.0,1.0,3.0,high,exact,ok,approved,
W001819,jack daniel's old no. 7,Jack Daniel'S,Bourbon,Unknown,Unknown,2.0,8.0,0.0,0.0,0.0,high,exact,ok,approved,
W000863,macallan gold,The Macallan,Malt,Unknown,Unknown,0.0,1.0,0.0,1.0,0.0,high,exact,ok,approved,
