whisky_id,whisky_name,distillery_name,category,region,country,age_statement,source_name,source_url,raw_tasting_notes,raw_flavor_tags,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,review_status,quality_flags
W000001,aberlour a'bunadh,Aberlour,Unknown,Speyside,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000001.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",18.0,5.0,0.0,0.0,6.0,high,exact,auto_candidate,ok
W000002,laphroaig the cask legacy,Laphroaig,Unknown,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000002.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,9.0,0.0,1.0,8.0,medium,fuzzy_token,manual_review,ok
W000003,glenlivet 15yo french oak,The Glenlivet,Malt,Speyside,Unknown,15,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000004,talisker 10y,Talisker,Unknown,Islands,Unknown,10,original_production_data,https://www.whisky.com/whisky-database/details/W000004.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000005,redbreast 12y,Midleton,Unknown,Unknown,Unknown,12,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000006,aberlour casg annamh,Aberlour,Malt,Speyside,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000006.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,4.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000007,macallan 12yo double cask,The Macallan,Malt,Speyside,Unknown,12,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000008,aberlour 14y,Aberlour,Unknown,Speyside,Unknown,14,original_production_data,https://www.whisky.com/whisky-database/details/W000008.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,4.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000009,aberlour 12y,Aberlour,Unknown,Speyside,Unknown,12,original_production_data,https://www.whisky.com/whisky-database/details/W000009.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,4.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000010,balvenie 14y caribbean cask,The Balvenie,Unknown,Speyside,Unknown,14,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
