whisky_id,whisky_name,distillery_name,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,source_name,source_url,import_action,import_blocked_reason
W000001,aberlour a'bunadh,Aberlour,18.0,5.0,0.0,0.0,6.0,original_production_data,,would_insert_or_update_flavor_profile,
W000042,aberlour a'bunadh (batch 40),Aberlour,28.0,23.0,0.0,22.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000060,aberlour a'bunadh (batch 39),Aberlour,28.0,23.0,0.0,22.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000077,aberlour a'bunadh (batch 45),Aberlour,1.0,4.0,0.0,1.0,1.0,original_production_data,,would_insert_or_update_flavor_profile,
W000088,aberlour a'bunadh (batch 36),Aberlour,28.0,23.0,0.0,22.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000094,aberlour a'bunadh (batch 42),Aberlour,2.0,14.0,0.0,1.0,1.0,original_production_data,,would_insert_or_update_flavor_profile,
W000124,aberlour a'bunadh (batch 46),Aberlour,0.0,1.0,0.0,4.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000131,aberlour a'bunadh (batch 47),Aberlour,3.0,4.0,0.0,5.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000714,amrut cask strength,Amrut,7.0,15.0,0.0,7.0,12.0,original_production_data,,would_insert_or_update_flavor_profile,
W001030,talisker storm,Talisker,2.0,8.0,0.0,5.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W001102,laphroaig cairdeas 2015,Laphroaig,2.0,1.0,1.0,1.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W001110,amrut peated cask strength,Amrut,2.0,2.0,0.0,0.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W001132,laphroaig cairdeas 2014 amontillado,Laphroaig,7.0,21.0,12.0,7.0,3.0,original_production_data,,would_insert_or_update_flavor_profile,
W001241,high west campfire,High West Distillery,5.0,10.0,0.0,8.0,5.0,original_production_data,,would_insert_or_update_flavor_profile,
W001437,high west bourye,High West Distillery,0.0,2.0,0.0,2.0,2.0,original_production_data,,would_insert_or_update_flavor_profile,
W001485,alberta premium dark horse,Dark Horse,0.0,6.0,0.0,3.0,1.0,original_production_data,,blocked,manual_review
W001513,high west son of bourye,High West Distillery,0.0,0.0,0.0,2.0,1.0,original_production_data,,would_insert_or_update_flavor_profile,
W001735,jack daniel's single barrel,Jack Daniel'S,0.0,14.0,0.0,1.0,3.0,original_production_data,,would_insert_or_update_flavor_profile,
W001819,jack daniel's old no. 7,Jack Daniel'S,2.0,8.0,0.0,0.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
W000863,macallan gold,The Macallan,0.0,1.0,0.0,1.0,0.0,original_production_data,,would_insert_or_update_flavor_profile,
