ref_name,ref_slug,ref_country,ref_region,match_confidence,best_score,master_name,master_uuid
Aberfeldy,aberfeldy,Scotland,Highland,no_match,0,,
Aberlour,aberlour,Scotland,Speyside,high_confidence,100,,
Amrut,amrut,India,Bangalore,high_confidence,100,,
Angel's Envy,angels-envy,United States,Kentucky,no_match,0,,
Ardbeg,ardbeg,Scotland,Islay,no_match,0,,
Arran,arran,Scotland,Islands,no_match,0,,
Auchentoshan,auchentoshan,Scotland,Lowland,high_confidence,100,,
Balcones,balcones,United States,Texas,no_match,0,,
Ben Nevis,ben-nevis,Scotland,Highland,no_match,0,,
Bladnoch,bladnoch,Scotland,Lowland,no_match,0,,
Blair Athol,blair-athol,Scotland,Highland,no_match,0,,
Bowmore,bowmore,Scotland,Islay,high_confidence,100,,
Breckenridge,breckenridge,United States,Colorado,high_confidence,100,,
Bruichladdich,bruichladdich,Scotland,Islay,no_match,0,,
Buffalo Trace,buffalo-trace,United States,Kentucky,high_confidence,100,,
Bunnahabhain,bunnahabhain,Scotland,Islay,no_match,0,,
Bushmills,bushmills,Ireland,Ulster,high_confidence,100,,
Canadian Club (Hiram Walker),canadian-club,Canada,,no_match,0,,
Caol Ila,caol-ila,Scotland,Islay,no_match,0,,
Cardhu,cardhu,Scotland,Speyside,no_match,0,,
Castle & Key,castle-and-key,United States,Kentucky,no_match,0,,
Chichibu,chichibu,Japan,Honshu,high_confidence,100,,
Clynelish,clynelish,Scotland,Highland,no_match,0,,
Cragganmore,cragganmore,Scotland,Speyside,no_match,0,,
Craigellachie,craigellachie,Scotland,Speyside,no_match,0,,
Crown Royal,crown-royal,Canada,,no_match,0,,
Dalwhinnie,dalwhinnie,Scotland,Highland,no_match,0,,
Deanston,deanston,Scotland,Highland,high_confidence,100,,
Dingle,dingle,Ireland,Munster,no_match,0,,
Edradour,edradour,Scotland,Highland,no_match,0,,
Eigashima (White Oak),eigashima,Japan,Honshu,no_match,0,,
Four Roses,four-roses,United States,Kentucky,high_confidence,100,,
George Dickel,george-dickel,United States,Tennessee,no_match,0,,
GlenAllachie,glenallachie,Scotland,Speyside,no_match,0,,
GlenDronach,glendronach,Scotland,Speyside,no_match,0,,
Glenfarclas,glenfarclas,Scotland,Speyside,no_match,0,,
Glenfiddich,glenfiddich,Scotland,Speyside,high_confidence,100,,
Glengoyne,glengoyne,Scotland,Highland,high_confidence,100,,
Glen Grant,glen-grant,Scotland,Speyside,high_confidence,100,,
Glenkinchie,glenkinchie,Scotland,Lowland,no_match,0,,
Glenmorangie,glenmorangie,Scotland,Highland,high_confidence,100,,
Glen Scotia,glen-scotia,Scotland,Campbeltown,high_confidence,100,,
Hakushu,hakushu,Japan,Honshu,high_confidence,100,,
Heaven Hill,heaven-hill,United States,Kentucky,no_match,0,,
Hellyers Road,hellyers-road,Australia,Tasmania,high_confidence,100,,
Highland Park,highland-park,Scotland,Islands,no_match,0,,
Hudson,hudson,United States,New York,no_match,0,,
Jack Daniel's,jack-daniels,United States,Tennessee,high_confidence,100,,
Jim Beam,jim-beam,United States,Kentucky,high_confidence,100,,
Jura,jura,Scotland,Islands,no_match,0,,
