ref_name,ref_slug,ref_country,ref_region,match_confidence,best_score,master_name,master_uuid
Aberfeldy,aberfeldy,Scotland,Highland,no_match,0,,
Angel's Envy,angels-envy,United States,Kentucky,no_match,0,,
Ardbeg,ardbeg,Scotland,Islay,no_match,0,,
Arran,arran,Scotland,Islands,no_match,0,,
Balcones,balcones,United States,Texas,no_match,0,,
Ben Nevis,ben-nevis,Scotland,Highland,no_match,0,,
Bladnoch,bladnoch,Scotland,Lowland,no_match,0,,
Blair Athol,blair-athol,Scotland,Highland,no_match,0,,
Bruichladdich,bruichladdich,Scotland,Islay,no_match,0,,
Bunnahabhain,bunnahabhain,Scotland,Islay,no_match,0,,
Canadian Club (Hiram Walker),canadian-club,Canada,,no_match,0,,
Caol Ila,caol-ila,Scotland,Islay,no_match,0,,
Cardhu,cardhu,Scotland,Speyside,no_match,0,,
Castle & Key,castle-and-key,United States,Kentucky,no_match,0,,
Clynelish,clynelish,Scotland,Highland,no_match,0,,
Cragganmore,cragganmore,Scotland,Speyside,no_match,0,,
Craigellachie,craigellachie,Scotland,Speyside,no_match,0,,
Crown Royal,crown-royal,Canada,,no_match,0,,
Dalwhinnie,dalwhinnie,Scotland,Highland,no_match,0,,
Dingle,dingle,Ireland,Munster,no_match,0,,
Edradour,edradour,Scotland,Highland,no_match,0,,
Eigashima (White Oak),eigashima,Japan,Honshu,no_match,0,,
George Dickel,george-dickel,United States,Tennessee,no_match,0,,
GlenAllachie,glenallachie,Scotland,Speyside,no_match,0,,
GlenDronach,glendronach,Scotland,Speyside,no_match,0,,
Glenfarclas,glenfarclas,Scotland,Speyside,no_match,0,,
Glenkinchie,glenkinchie,Scotland,Lowland,no_match,0,,
Heaven Hill,heaven-hill,United States,Kentucky,no_match,0,,
Highland Park,highland-park,Scotland,Islands,no_match,0,,
Hudson,hudson,United States,New York,no_match,0,,
Jura,jura,Scotland,Islands,no_match,0,,
