api_id,api_slug,api_name,match_category,master_id,master_name
620,nc-nean-huntress-malted-teacake-2017-2026,Nc'Nean Huntress Malted Teacake (2017/2026),rejected,,amrut portpipe peated single cask #4668 (2017)
619,dalmore-2007-2017-10-years-a-d-rattray,Dalmore 10 Years (2007/2017) - A.D. Rattray,rejected,,dalmore gran reserva
618,littlemill-1991-2016-gordon-and-company,Littlemill (1991/2016) - Gordon & Company,rejected,,glenmorangie companta
617,springbank-26-years-1991-2018-berry-bros-rudd,Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,rejected,,karuizawa 1990 sherry butt
616,bunnahabhain-31-years-1987-2019-wemyss-malts,Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,rejected,,bunnahabhain moine (all bottlings)
615,talisker-24-years-1953-gordon-macphail,Talisker 24 Years (1953) - Gordon & MacPhail,rejected,,talisker dark storm
614,brigantia-10-years-2014-2024-chardonnay-single-cask-distillery-exclusive,Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,rejected,,amrut px sherry single cask (all casks)
613,brigantia-5-years-2018-2023-cognac-single-cask,Brigantia 5 Years (2018/2023) Cognac Single Cask,rejected,,laphroaig cairdeas 2020 port & wine casks
609,st-kilian-sonderabfullung-ex-apricot-brandy,St. Kilian Sonderabfüllung ex Apricot Brandy,rejected,,kavalan concertmaster port cask
612,st-kilian-ex-tokaji-aszu-single-cask,St. Kilian ex Tokaji Aszú Single Cask (2019/2026),rejected,,amrut portpipe peated single cask #2712 (2016)
611,st-kilian-signature-edition-seventeen,St. Kilian Signature Edition Seventeen,rejected,,jameson signature reserve
610,st-kilian-exceptional-range-ex-mugi-shochu-mild,St. Kilian Exceptional Range ex Mugi Shochu – Mild,rejected,,the irishman original clan irish whiskey
561,aberfeldy-25-year-old-2023,Aberfeldy 25 Year Old (2023) 125th Anniversary,rejected,,compass box peat monster 2014 - 10th anniversary
151,st-kilian-rich-smoky,St. Kilian Rich & Smoky (2022),rejected,,highland park magnus (2017)
139,st-kilian-mild-fruity,St. Kilian Mild & Fruity (2022),rejected,,westland winter 2016
608,invergordon-35-years-1987-2023-murray-mcdavid,Invergordon 35 Years (1987/2023) - Murray McDavid,rejected,,barrell bourbon new years (all batches)
607,benromach-11-years-2010-2022-contrasts-peat-smoke,Benromach 11 Years (2010/2022) Contrasts Peat Smoke,rejected,,benromach peat smoke
606,benromach-12-years-2012-2024-contrasts-high-enzyme,Benromach 12 Years (2012/2024) Contrasts High Enzyme,rejected,,benromach traditional
