api_id,name,age,abv
620,Nc'Nean Huntress Malted Teacake (2017/2026),0,48.5
619,Dalmore 10 Years (2007/2017) - A.D. Rattray,10,55.6
618,Littlemill (1991/2016) - Gordon & Company,25,52.8
617,Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,26,44.9
616,Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,31,44.7
615,Talisker 24 Years (1953) - Gordon & MacPhail,24,43
614,Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,10,53.2
613,Brigantia 5 Years (2018/2023) Cognac Single Cask,5,58
609,St. Kilian Sonderabfüllung ex Apricot Brandy,4,50.7
612,St. Kilian ex Tokaji Aszú Single Cask (2019/2026),6,58.8
611,St. Kilian Signature Edition Seventeen,0,54.6
610,St. Kilian Exceptional Range ex Mugi Shochu – Mild,6,55.5
561,Aberfeldy 25 Year Old (2023) 125th Anniversary,25,46
151,St. Kilian Rich & Smoky (2022),0,46
139,St. Kilian Mild & Fruity (2022),0,46
608,Invergordon 35 Years (1987/2023) - Murray McDavid,35,48.1
607,Benromach 11 Years (2010/2022) Contrasts Peat Smoke,11,46
606,Benromach 12 Years (2012/2024) Contrasts High Enzyme,12,46
605,Benromach 9 Years (2014/2024) Contrasts unpeated,9,46
604,Kavalan Triple Sherry Cask (2021),0,40
603,Black Forest 8 Years (2014/2022) - vom Fass,8,41
602,Falken 5 Years (2022),5,43
601,Elsburn Rivesaltes Casks - Batch No. 001,0,46
600,Tormore 10 Years Blueprint Cream Sherry,10,48
599,Ardbeg 10 Years Cask Strength (2026),10,61.7
597,Thousand Mountains (2018/2022) Ex-Red Wine & Ex-Bourbon in Ex-Moscatel Finish - Genussraum Paderborn,4,58
598,Tormore 10 Years Blueprint Toasted Barrel,10,48
596,Longmorn 19 Years (1996/2015) - Signatory Vintage,19,53.9
592,Glencadam 15 Years (2006/2021),15,46
595,Kavalan Solist Brandy Cask (2014/2021),0,57.8
594,Glenfiddich IPA Experiment (2022),0,43
593,Smokehead 15 Years (2025) - Ian Mcleod,15,43
591,Bunnahabhain 11 Years (2018) - Gordon & MacPhail,11,43
590,Ledaig 17 Years (2006/2024) - Gordon & MacPhail,17,56.5
589,Nc'Nean Aon Amarone (2020/2025),0,59.3
588,Talisker 9 Years (2011/2020) - Hunter Laing,9,50
587,Daftmill 15 Years (2006/2022),15,55.7
586,Tamnavulin 11 Years (2013/2025) - James Eadie,11,57.4
584,Redbreast 21 Years,21,46
585,BenRiach 21 Years,21,46
583,Isle of Jura 30 Years (1994/2024) - Decadent Drinks,30,46
581,Teeling 21 Years - Rising Reserve No. 4 - White Wine Cask,21,46
540,Caol Ila (2011/2023) - Malts of Scotland,11,47.5
579,Mortlach 25 Years (2023) - Gordon & MacPhail,25,46
578,Linkwood 25 Years (2023) - Gordon & MacPhail,25,46
580,BenRiach 25 Years,25,46
507,Glenfarclas 21 Years,21,43
557,St. Kilian Exceptional Range Mizunara (2025) – Soft Peated,0,53.4
575,Glencadam Reserva Andalucia,0,46
550,St. Kilian Handfilled (2025) ex Dry Gin Heimat Distillers,0,59.7
538,St. Kilian Distiller's Choice Sonderedition 2 (2025),0,51.1
546,Deanston 12 Years (2012/2024) - The Cask Hound,12,57.8
543,GlenAllachie 10 Years CS Batch 8 (2022),10,57.2
549,Taketsuru Pure Malt,0,43
576,The Trinity - The Cask Wizard,12,55.5
577,Arran 25 Years (2020),25,46
547,Abasolo Mexican Corn Whisky,0,43
542,Wieser UUAHOUUA WIESky 7 Years - Pinot Noir,7,40
555,St. Kilian Whisky Bunker Reserve (2025) - Peated,0,56.1
567,Schlitzer Single Malt Klassisch,0,43
568,Nc'Nean Aon Calvados (2017/2025),7,60.1
560,Lot No. 40 Rye Whisky,0,43
556,St. Kilian Scorpions Crazy World – Unpeated,0,54
517,High West Double Rye Whiskey,0,46
506,Fettercairn (2006/2024) - Malts of Scotland,0,47.8
554,St. Kilian Signature Edition Sixteen,0,55.3
559,Islay (LA) 34 Years (1990/2025) - Signatory Vintage x Wu Dram Clan,34,51.7
545,Cameronbridge 14 Years Called to Submission - Brave New Spirits,14,50.3
551,Longmorn 40 Years (1975/2015) - Malts of Scotland,40,46.7
552,Strathisla 24 Years (1992/2016) - Malts of Scotland,24,56.2
539,GORFH Whiskey Oat (2025),7,48
536,Royal Brackla 11 Years (2009/2021) - van Wees,11,46
553,The Westfalian TW34,11,63.5
537,Glen Ord 10 Years (2011/2021) - van Wees,10,46
516,Gammelstilla Single Cask Nr. 2 (2024),7,53.5
535,Sherry Cask Matured Blended Malt Scotch Whisky - Berry Bros. & Rudd,0,44.2
532,Longmorn 11 Years (2014/2025) - James Eadie,11,52.4
548,Royal Brackla 10 Years (2014/2024) - Thompson Bros,10,55.3
292,The Westfalian TW86,10,56.5
307,The Westfalian TW256,4,59.1
533,Tormore 10 Years Blueprint Bourbon Barrel,10,48
534,Ardmore 12 Years (2012/2025) - Signatory Vintage,12,60.7
332,Mystic Lowlands (2011/2024) - Malts of Scotland,13,55.5
530,Turntable Spirits Unplugged,0,46
531,Finglassie 8 Years (2017/2025) - James Eadie,8,57.9
271,Aberfeldy 40 Years (1983/2023) - Malts of Scotland,40,47.2
529,Wolfburn 12 Years (2025),12,46
263,Old Pulteney 12 Years (2023),12,40
526,Och Aye the Coo,0,40
527,Glen Moray 14 Years (2007/2021) - Malts of Scotland,14,56.3
528,Oban The Macleans Young Teddy (2023),0,50.8
508,Blackwater The Full Irish (2024),0,48.5
525,Skellig Six18 Distillery (2024) Ruby Port Finish,6,58.7
524,Best Drinking Friends Release No. 3 (2018/2024),8,55.2
523,The Liberator Port 'n' Peat – Storehouse Special Batch 18,0,46
520,St. Kilian Scorpions – 60 Years of Rock,0,57.8
518,St. Kilian Scorpions - Rock Believer (2025),0,47
521,St. Kilian Signature Edition Fifteen,0,53.5
522,St. Kilian ex Sherry Oloroso Single Cask – Ultra Heavily Peated (2017/2024),6,58.9
519,St. Kilian Hedan (2021/2025),0,46
515,Ledaig 17 Years (2006/2024) - Gordon & MacPhail,17,56.5
513,Nc'Nean Aon White Port (2020/2025),0,61.1
514,Talisker Storm,0,45.8
512,Langatun 5 Years - Wajos,5,40
474,Tomatin Legacy,0,43
490,Bruichladdich 31 Years (1991) - Ralph Steadman X Cask 88,31,50.6
489,Glenburgie 24 Years (1997) - Ralph Steadman X Cask 88,24,55.2
488,Arran 24 Years (1996) - Ralph Steadman X Cask 88,24,44.7
510,Nc'nea Organic Batch 5 (2017/2021),0,46
511,Mortlach Midnight Dusk - Diageo Special Releases (2024),0,57.5
406,Ben Nevis 24 Years (1996/2020) - Sansibar,24,43.9
509,Caol Ila 11 Years Ambrosial Feast - Diageo Special Releases (2024),11,57.3
431,Cigar Malt 14 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,14,50.6
390,Teaninich (2016/2023) - Sansibar,7,60.2
290,Allt-a-Bhainne (2006) A dreamy nighttime drink Cask 108.34 - The Scotch Malt Whisky Society,14,64.4
389,Glen Spey (2015/2023) - Sansibar,7,60.1
433,Distilled in Australia 7 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,7,55.3
504,Glendronach Cask Strength Batch 12,0,58.2
501,Royal Brackla 12 Years,12,40
502,M&H APEX White Wine,0,61.2
505,Talisker 8 Years Tidal Churn - Diageo Special Releases (2024),8,58.7
503,GlenAllachie 14 Years (2010/2024) - Koval Bourbon Barrel,14,62.4
426,Glenlivet 13 Years 1st Fill American Oak,13,40
385,St. Kilian Double Trouble – Peated,0,59.5
404,Braeval (1994/2019) - Sansibar,0,44.5
500,Stauning Heather Distillery Edition (2017/2021),0,47.8
498,Eiskeller-Whisky 12 Years Single Cask Fass 4,12,56.6
499,Steinkeller-Whisky 12 Years Single Cask Fass 8,12,40
494,Wolfburn Langskip,0,58
496,Wolfburn Cognac Cask 8 Years (2017/2025),8,46
492,Wolfburn Vibrant Stills Sauternes Cask 8 Years (2016/2024),8,50
495,Wolfburn 10 Years (2023 Release),10,46
493,Wolfburn Vibrant Stills Bourbon Barrel 8 Years (2015/2023),8,50
497,Glen Garioch 21 Years (2003/2024) - Wu DRAM Clan,21,53.9
312,St. Kilian Single Cask – Ultra Heavily Peated,6,58.9
283,Ardmore (2010) A Dream Of Scotland - Brühler Whiskyhaus,12,56.2
435,Distilled at South Islay 13 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,13,56.9
374,St. Kilian Judas Priest Turbo – Unpeated (2024),0,48
343,Nc'Nean Organic Batch 20 (2019/2023),0,46
434,Highland Park 13 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,13,57.7
486,Baker's 7 (2015/2023),8,53.5
396,St. Kilian Handfilled Whisky – ex Champagner Vin Clair – Unpeated,0,60.9
387,Glen Moray (2015/2023) - Sansibar,7,62
432,Secret Speyside (M) 17 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,17,53.7
351,St. Kilian Handfilled Rye & Jack Daniels,4,50.7
386,Inchgower (2010/2023) - Sansibar,12,57.6
427,Balblair 33 Years (1989) Espresso romano Cask 70.48 - The Scotch Malt Whisky Society,33,62.3
491,Ardbeg 7 Years (2017/2025) Bohemian Schnapsidee - VAME Malts,7,57.1
420,Speyside Distillery 15 Years (2008/2024),15,46
418,Tomatin 17 Years (2006/2024),17,46
414,Tobermory 12 Years (2017),12,46.3
296,Nikka Coffey Malt Whisky,0,45
417,Port Charlotte 18 Years (2004/2023),18,54.3
395,St. Kilian Whisky Solera – Peated – III (2024),0,57.6
452,The Westfalian TW40,10,69.6
429,Distilled in Ireland 21 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,21,49.7
478,Glenlossie 19 Years (1997/2016) - Signatory Vintage,19,46
398,St. Kilian Terence Hill – The Hero – Whisky (mild),0,46
349,Schroll Tegelberg Laphroaig Cask,0,45
487,Nc'Nean Huntress Lemon Meadow (2019/2025),0,48.5
430,Caperdonich 27 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,27,52.1
375,St. Kilian Heavy Metal Edition Birmingham – Home of Metal – Unpeated,0,60.6
286,Allt-a-Bhainne (2008/2019) Scottish Roadsign Edition No. 11 - Flickenschild,10,59.1
394,St. Kilian Signature Edition Fourteen – Unpeated,0,49.8
403,Octomore 13 Years (2024) The Tasteful 8 - Brühler Whiskyhaus,13,58.1
341,Nc'Nean (2017/2024) STR Cask - Best Dram,6,54.3
391,Glen Elgin (2008/2020) - Sansibar,0,58.7
451,Ledaig 16 Years (2005/2022) - Signatory Vintage,16,66.1
450,Craigellachie 10 Years (2012/2023) - Signatory Vintage,10,67.4
