api_name,slug,distillery,bottler,country,region,age,abv,type,source_url,reason,triage_status
Nc'Nean Huntress Malted Teacake (2017/2026),,,,,,0,48.5,,,No matching master record,likely_new_product
Dalmore 10 Years (2007/2017) - A.D. Rattray,,,,,,10,55.6,,,No matching master record,likely_new_product
Littlemill (1991/2016) - Gordon & Company,,,,,,25,52.8,,,No matching master record,likely_new_product
Springbank 26 Years (1991/2018) - Berry Bros. & Rudd,,,,,,26,44.9,,,No matching master record,likely_new_product
Bunnahabhain 31 Years (1987/2019) - Wemyss Malts,,,,,,31,44.7,,,No matching master record,likely_new_product
Talisker 24 Years (1953) - Gordon & MacPhail,,,,,,24,43,,,No matching master record,likely_new_product
Brigantia 10 Years (2014/2024) Chardonnay Single Cask Distillery Exclusive,,,,,,10,53.2,,,No matching master record,independent_bottler_or_special_release
Brigantia 5 Years (2018/2023) Cognac Single Cask,,,,,,5,58,,,No matching master record,independent_bottler_or_special_release
St. Kilian Sonderabfüllung ex Apricot Brandy,,,,,,4,50.7,,,No matching master record,likely_new_product
St. Kilian ex Tokaji Aszú Single Cask (2019/2026),,,,,,6,58.8,,,No matching master record,independent_bottler_or_special_release
St. Kilian Signature Edition Seventeen,,,,,,0,54.6,,,No matching master record,likely_new_product
St. Kilian Exceptional Range ex Mugi Shochu – Mild,,,,,,6,55.5,,,No matching master record,likely_new_product
Aberfeldy 25 Year Old (2023) 125th Anniversary,,,,,,25,46,,,No matching master record,likely_new_product
St. Kilian Rich & Smoky (2022),,,,,,0,46,,,No matching master record,likely_new_product
St. Kilian Mild & Fruity (2022),,,,,,0,46,,,No matching master record,likely_new_product
Invergordon 35 Years (1987/2023) - Murray McDavid,,,,,,35,48.1,,,No matching master record,likely_new_product
Benromach 11 Years (2010/2022) Contrasts Peat Smoke,,,,,,11,46,,,No matching master record,likely_new_product
Benromach 12 Years (2012/2024) Contrasts High Enzyme,,,,,,12,46,,,No matching master record,likely_new_product
Benromach 9 Years (2014/2024) Contrasts unpeated,,,,,,9,46,,,No matching master record,likely_new_product
Kavalan Triple Sherry Cask (2021),,,,,,0,40,,,No matching master record,likely_new_product
Black Forest 8 Years (2014/2022) - vom Fass,,,,,,8,41,,,No matching master record,likely_new_product
Falken 5 Years (2022),,,,,,5,43,,,No matching master record,likely_new_product
Elsburn Rivesaltes Casks - Batch No. 001,,,,,,0,46,,,No matching master record,likely_new_product
Tormore 10 Years Blueprint Cream Sherry,,,,,,10,48,,,No matching master record,likely_new_product
Ardbeg 10 Years Cask Strength (2026),,,,,,10,61.7,,,No matching master record,likely_new_product
Thousand Mountains (2018/2022) Ex-Red Wine & Ex-Bourbon in Ex-Moscatel Finish - Genussraum Paderborn,,,,,,4,58,,,No matching master record,likely_new_product
Tormore 10 Years Blueprint Toasted Barrel,,,,,,10,48,,,No matching master record,likely_new_product
Longmorn 19 Years (1996/2015) - Signatory Vintage,,,,,,19,53.9,,,No matching master record,likely_new_product
Glencadam 15 Years (2006/2021),,,,,,15,46,,,No matching master record,likely_new_product
Kavalan Solist Brandy Cask (2014/2021),,,,,,0,57.8,,,No matching master record,likely_new_product
Glenfiddich IPA Experiment (2022),,,,,,0,43,,,No matching master record,likely_new_product
