whisky_id,whisky_name,current_distillery_id,proposed_distillery_id,proposed_brand_id,proposed_bottler_id,proposed_company_id,proposed_entity_type,match_source,match_score,match_reason,confidence,requires_manual_review
W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)",,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000035,balvenie tun 1401 (all batches),,D0007,,,,distillery,Prefix: 'balvenie',100.0,Matched to The Balvenie,high_confidence,False
W000059,macallan cask strength,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000092,glenlivet alpha,,D0003,,,,distillery,Prefix: 'glenlivet',100.0,Matched to The Glenlivet,high_confidence,False
W000100,macallan 10yo sherry oak cask strength,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000105,macallan 18yo sherry oak,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000108,balvenie tun 1509 (all batches),,D0007,,,,distillery,Prefix: 'balvenie',100.0,Matched to The Balvenie,high_confidence,False
W000114,glenlivet xxv 25yo,,D0003,,,,distillery,Prefix: 'glenlivet',100.0,Matched to The Glenlivet,high_confidence,False
W000129,macallan 25yo sherry oak,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000130,macallan reflexion,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000151,glenlivet nadurra 16yo,,D0003,,,,distillery,Prefix: 'glenlivet',100.0,Matched to The Glenlivet,high_confidence,False
W000168,glenlivet nadurra cask strength (nas),,D0003,,,,distillery,Prefix: 'glenlivet',100.0,Matched to The Glenlivet,high_confidence,False
W000187,balvenie 21yo port wood,,D0007,,,,distillery,Prefix: 'balvenie',100.0,Matched to The Balvenie,high_confidence,False
W000201,macallan classic cut (all editions),,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000207,macallan ruby,,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
W000224,macallan rare cask (all batches),,D0006,,,,distillery,Prefix: 'macallan',100.0,Matched to The Macallan,high_confidence,False
